mul.tree	node	dups
0	DMELA	244
0	BMORI	96
0	ISCAP	69
0	VDEST	99
0	MOCCI	157
0	CROTU	415
0	LPOLY	286
0	SMIMO	54
0	NCLAV	75
0	TANTI	114
0	PTEPI	206
0	LHESP	13
0	LRECL	29
0	CSCUL	685
0	SSCAB	41
0	TURTI	343
0	<1>	38
0	<2>	118
0	<3>	11
0	<4>	2005
0	<5>	59
0	<6>	5
0	<7>	168
0	<8>	427
0	<9>	41
0	<10>	19
0	<11>	9
0	<12>	143
0	<13>	647
0	<14>	505
0	<15>	102
677	DMELA	244
677	BMORI	96
677	ISCAP	69
677	VDEST	99
677	MOCCI	157
677	CROTU	415
677	LPOLY	286
677	SMIMO	54
677	NCLAV	51
677	TANTI	100
677	PTEPI	172
677	LHESP	9
677	LRECL	29
677	NCLAV*	24
677	TANTI*	14
677	PTEPI*	34
677	LHESP*	4
677	CSCUL	685
677	SSCAB	41
677	TURTI	343
677	<1>	38
677	<2>	118
677	<3>	11
677	<4>	2005
677	<5>	57
677	<6>	5
677	<7>	50
677	<8>	144
677	<9>	2
677	<10>	0
677	<11>	19
677	<12>	5
677	<13>	24
677	<14>	19
677	<15>	9
677	<16>	143
677	<17>	647
677	<18>	505
677	<19>	102
323	DMELA	244
323	BMORI	96
323	ISCAP	69
323	VDEST	99
323	MOCCI	157
323	CROTU	415
323	LPOLY	286
323	SMIMO	54
323	NCLAV	75
323	TANTI	114
323	PTEPI	176
323	LHESP	13
323	LRECL	29
323	PTEPI*	30
323	CSCUL	685
323	SSCAB	41
323	TURTI	343
323	<1>	38
323	<2>	118
323	<3>	11
323	<4>	2005
323	<5>	59
323	<6>	5
323	<7>	125
323	<8>	285
323	<9>	0
323	<10>	72
323	<11>	19
323	<12>	9
323	<13>	143
323	<14>	647
323	<15>	505
323	<16>	102
650	DMELA	244
650	BMORI	96
650	ISCAP	69
650	VDEST	99
650	MOCCI	157
650	CROTU	415
650	LPOLY	286
650	SMIMO	54
650	NCLAV	75
650	TANTI	114
650	PTEPI	176
650	LHESP	12
650	LRECL	29
650	PTEPI*	30
650	LHESP*	1
650	CSCUL	685
650	SSCAB	41
650	TURTI	343
650	<1>	38
650	<2>	118
650	<3>	11
650	<4>	2005
650	<5>	59
650	<6>	5
650	<7>	122
650	<8>	271
650	<9>	0
650	<10>	0
650	<11>	63
650	<12>	19
650	<13>	9
650	<14>	143
650	<15>	647
650	<16>	505
650	<17>	102
621	DMELA	244
621	BMORI	96
621	ISCAP	69
621	VDEST	99
621	MOCCI	157
621	CROTU	415
621	LPOLY	286
621	SMIMO	54
621	NCLAV	24
621	TANTI	105
621	PTEPI	206
621	LHESP	13
621	LRECL	29
621	NCLAV*	51
621	TANTI*	9
621	CSCUL	685
621	SSCAB	41
621	TURTI	343
621	<1>	38
621	<2>	118
621	<3>	11
621	<4>	2005
621	<5>	57
621	<6>	5
621	<7>	148
621	<8>	351
621	<9>	1
621	<10>	1
621	<11>	29
621	<12>	19
621	<13>	9
621	<14>	143
621	<15>	647
621	<16>	505
621	<17>	102
292	DMELA	244
292	BMORI	96
292	ISCAP	69
292	VDEST	99
292	MOCCI	157
292	CROTU	415
292	LPOLY	286
292	SMIMO	54
292	NCLAV	75
292	TANTI	103
292	PTEPI	206
292	LHESP	13
292	LRECL	29
292	TANTI*	11
292	CSCUL	685
292	SSCAB	41
292	TURTI	343
292	<1>	38
292	<2>	118
292	<3>	11
292	<4>	2005
292	<5>	58
292	<6>	5
292	<7>	155
292	<8>	381
292	<9>	0
292	<10>	49
292	<11>	19
292	<12>	9
292	<13>	143
292	<14>	647
292	<15>	505
292	<16>	102
