mul.tree	node	dups
0	DMELA	295
0	BMORI	98
0	ISCAP	73
0	VDEST	104
0	MOCCI	163
0	CROTU	427
0	LPOLY	287
0	SMIMO	54
0	NCLAV	75
0	TANTI	115
0	PTEPI	216
0	LHESP	13
0	LRECL	29
0	CSCUL	708
0	SSCAB	42
0	TURTI	383
0	<1>	42
0	<2>	121
0	<3>	18
0	<4>	2015
0	<5>	60
0	<6>	5
0	<7>	171
0	<8>	429
0	<9>	41
0	<10>	21
0	<11>	12
0	<12>	144
0	<13>	654
0	<14>	510
0	<15>	110
11	DMELA	295
11	BMORI	98
11	ISCAP	73
11	VDEST	104
11	MOCCI	163
11	CROTU	422
11	LPOLY	284
11	SMIMO	54
11	NCLAV	75
11	TANTI	115
11	PTEPI	216
11	LHESP	13
11	LRECL	29
11	CROTU*	5
11	LPOLY*	3
11	CSCUL	708
11	SSCAB	42
11	TURTI	383
11	<1>	42
11	<2>	121
11	<3>	18
11	<4>	1982
11	<5>	60
11	<6>	5
11	<7>	171
11	<8>	429
11	<9>	33
11	<10>	0
11	<11>	45
11	<12>	21
11	<13>	12
11	<14>	154
11	<15>	540
11	<16>	510
11	<17>	110
10	DMELA	295
10	BMORI	98
10	ISCAP	73
10	VDEST	104
10	MOCCI	163
10	CROTU	427
10	LPOLY	287
10	SMIMO	54
10	NCLAV	75
10	TANTI	115
10	PTEPI	216
10	LHESP	13
10	CROTU*	0
10	LPOLY*	0
10	LRECL	29
10	CSCUL	708
10	SSCAB	42
10	TURTI	383
10	<1>	42
10	<2>	121
10	<3>	18
10	<4>	2013
10	<5>	60
10	<6>	2
10	<7>	0
10	<8>	5
10	<9>	172
10	<10>	431
10	<11>	41
10	<12>	21
10	<13>	12
10	<14>	144
10	<15>	646
10	<16>	510
10	<17>	110
7	DMELA	295
7	BMORI	98
7	ISCAP	73
7	VDEST	104
7	MOCCI	163
7	CROTU	427
7	LPOLY	287
7	SMIMO	54
7	NCLAV	75
7	CROTU*	0
7	LPOLY*	0
7	TANTI	115
7	PTEPI	216
7	LHESP	13
7	LRECL	29
7	CSCUL	708
7	SSCAB	42
7	TURTI	383
7	<1>	42
7	<2>	121
7	<3>	18
7	<4>	2013
7	<5>	2
7	<6>	0
7	<7>	60
7	<8>	5
7	<9>	171
7	<10>	431
7	<11>	41
7	<12>	21
7	<13>	12
7	<14>	144
7	<15>	646
7	<16>	510
7	<17>	110
18	DMELA	295
18	BMORI	98
18	ISCAP	73
18	VDEST	104
18	MOCCI	163
18	CROTU	271
18	LPOLY	179
18	CROTU*	91
18	LPOLY*	66
18	SMIMO	54
18	NCLAV	75
18	TANTI	115
18	PTEPI	216
18	LHESP	13
18	LRECL	29
18	CSCUL	708
18	SSCAB	42
18	TURTI	383
18	<1>	42
18	<2>	121
18	<3>	18
18	<4>	485
18	<5>	65
18	<6>	111
18	<7>	60
18	<8>	5
18	<9>	171
18	<10>	429
18	<11>	41
18	<12>	21
18	<13>	12
18	<14>	144
18	<15>	654
18	<16>	510
18	<17>	110
13	DMELA	295
13	BMORI	98
13	ISCAP	73
13	VDEST	104
13	MOCCI	163
13	CROTU	424
13	LPOLY	280
13	SMIMO	54
13	NCLAV	75
13	TANTI	115
13	PTEPI	216
13	LHESP	13
13	LRECL	29
13	CSCUL	708
13	SSCAB	42
13	CROTU*	3
13	LPOLY*	7
13	TURTI	383
13	<1>	42
13	<2>	121
13	<3>	18
13	<4>	2006
13	<5>	60
13	<6>	5
13	<7>	171
13	<8>	429
13	<9>	41
13	<10>	9
13	<11>	0
13	<12>	21
13	<13>	13
13	<14>	158
13	<15>	586
13	<16>	510
13	<17>	110
