mul.tree	node	dups
60	NCLAV	58
60	TANTI	89
60	PTEPI	174
60	LHESP	12
60	SMIMO	43
60	LRECL	21
60	CSCUL	465
60	LPOLY	223
60	CROTU	340
60	MOCCI	163
60	VDEST	104
60	ISCAP	74
60	TURTI	387
60	SSCAB	44
60	NCLAV*	17
60	TANTI*	26
60	PTEPI*	42
60	LHESP*	1
60	SMIMO*	10
60	LRECL*	6
60	CSCUL*	110
60	LPOLY*	65
60	CROTU*	83
60	DMELA	290
60	BMORI	96
60	<1>	47
60	<2>	3
60	<3>	119
60	<4>	256
60	<5>	33
60	<6>	68
60	<7>	1405
60	<8>	333
60	<9>	121
60	<10>	18
60	<11>	131
60	<12>	22
60	<13>	13
60	<14>	2
60	<15>	37
60	<16>	124
60	<17>	8
60	<18>	26
60	<19>	528
60	<20>	77
60	<21>	143
60	<22>	370
60	<23>	41
60	<24>	118
0	NCLAV	75
0	TANTI	115
0	PTEPI	216
0	LHESP	13
0	SMIMO	53
0	LRECL	27
0	CSCUL	575
0	LPOLY	288
0	CROTU	423
0	MOCCI	163
0	VDEST	104
0	ISCAP	74
0	TURTI	387
0	SSCAB	44
0	DMELA	290
0	BMORI	96
0	<1>	60
0	<2>	5
0	<3>	156
0	<4>	380
0	<5>	41
0	<6>	94
0	<7>	1933
0	<8>	416
0	<9>	121
0	<10>	18
0	<11>	154
0	<12>	22
0	<13>	1472
0	<14>	41
0	<15>	118
6	NCLAV	75
6	TANTI	115
6	PTEPI	216
6	LHESP	13
6	SMIMO	53
6	LRECL	27
6	LPOLY*	2
6	CROTU*	4
6	CSCUL	575
6	LPOLY	286
6	CROTU	419
6	MOCCI	163
6	VDEST	104
6	ISCAP	74
6	TURTI	387
6	SSCAB	44
6	DMELA	290
6	BMORI	96
6	<1>	60
6	<2>	5
6	<3>	156
6	<4>	380
6	<5>	19
6	<6>	0
6	<7>	47
6	<8>	99
6	<9>	1914
6	<10>	349
6	<11>	121
6	<12>	18
6	<13>	154
6	<14>	22
6	<15>	1472
6	<16>	41
6	<17>	118
4	NCLAV	75
4	TANTI	115
4	PTEPI	216
4	LHESP	13
4	LPOLY*	0
4	CROTU*	0
4	SMIMO	53
4	LRECL	27
4	CSCUL	575
4	LPOLY	288
4	CROTU	423
4	MOCCI	163
4	VDEST	104
4	ISCAP	74
4	TURTI	387
4	SSCAB	44
4	DMELA	290
4	BMORI	96
4	<1>	60
4	<2>	0
4	<3>	0
4	<4>	5
4	<5>	157
4	<6>	382
4	<7>	41
4	<8>	94
4	<9>	1933
4	<10>	411
4	<11>	121
4	<12>	18
4	<13>	154
4	<14>	22
4	<15>	1472
4	<16>	41
4	<17>	118
53	NCLAV	66
53	TANTI	105
53	PTEPI	202
53	LHESP	13
53	SMIMO	52
53	LRECL	25
53	CSCUL	538
53	LPOLY	264
53	CROTU	399
53	MOCCI	163
53	VDEST	104
53	ISCAP	74
53	TURTI	387
53	SSCAB	44
53	NCLAV*	9
53	TANTI*	10
53	PTEPI*	14
53	LHESP*	0
53	SMIMO*	1
53	LRECL*	2
53	CSCUL*	37
53	LPOLY*	24
53	CROTU*	24
53	DMELA	290
53	BMORI	96
53	<1>	58
53	<2>	4
53	<3>	144
53	<4>	341
53	<5>	38
53	<6>	87
53	<7>	1750
53	<8>	387
53	<9>	121
53	<10>	18
53	<11>	135
53	<12>	2
53	<13>	1
53	<14>	12
53	<15>	39
53	<16>	3
53	<17>	7
53	<18>	183
53	<19>	29
53	<20>	11
53	<21>	27
53	<22>	1085
53	<23>	41
53	<24>	118
52	NCLAV	67
52	TANTI	100
52	PTEPI	200
52	LHESP	13
52	SMIMO	49
52	LRECL	24
52	CSCUL	526
52	LPOLY	260
52	CROTU	388
52	MOCCI	163
52	VDEST	104
52	ISCAP	74
52	TURTI	387
52	NCLAV*	8
52	TANTI*	15
52	PTEPI*	16
52	LHESP*	0
52	SMIMO*	4
52	LRECL*	3
52	CSCUL*	49
52	LPOLY*	28
52	CROTU*	35
52	SSCAB	44
52	DMELA	290
52	BMORI	96
52	<1>	55
52	<2>	4
52	<3>	139
52	<4>	336
52	<5>	37
52	<6>	83
52	<7>	1710
52	<8>	377
52	<9>	121
52	<10>	18
52	<11>	135
52	<12>	5
52	<13>	1
52	<14>	17
52	<15>	44
52	<16>	4
52	<17>	11
52	<18>	223
52	<19>	39
52	<20>	38
52	<21>	26
52	<22>	1058
52	<23>	41
52	<24>	118
