mul.tree	node	dups
0	NCLAV	75
0	TANTI	115
0	PTEPI	217
0	LHESP	13
0	SMIMO	53
0	LRECL	27
0	CSCUL	578
0	LPOLY	288
0	CROTU	424
0	MOCCI	164
0	VDEST	104
0	ISCAP	74
0	TURTI	387
0	SSCAB	44
0	DMELA	290
0	BMORI	96
0	<1>	60
0	<2>	5
0	<3>	156
0	<4>	381
0	<5>	41
0	<6>	94
0	<7>	1946
0	<8>	417
0	<9>	121
0	<10>	18
0	<11>	154
0	<12>	22
0	<13>	1473
0	<14>	42
0	<15>	121
7	NCLAV	66
7	TANTI	105
7	PTEPI	208
7	LHESP	13
7	SMIMO	52
7	LRECL	26
7	CSCUL	556
7	LPOLY	288
7	CROTU	424
7	MOCCI	164
7	VDEST	104
7	ISCAP	74
7	TURTI	387
7	SSCAB	44
7	NCLAV*	9
7	TANTI*	10
7	PTEPI*	9
7	LHESP*	0
7	SMIMO*	1
7	LRECL*	1
7	CSCUL*	22
7	DMELA	290
7	BMORI	96
7	<1>	58
7	<2>	3
7	<3>	151
7	<4>	368
7	<5>	41
7	<6>	89
7	<7>	1946
7	<8>	382
7	<9>	121
7	<10>	18
7	<11>	135
7	<12>	2
7	<13>	2
7	<14>	5
7	<15>	13
7	<16>	0
7	<17>	5
7	<18>	2
7	<19>	142
7	<20>	1274
7	<21>	42
7	<22>	121
16	NCLAV	59
16	TANTI	104
16	PTEPI	204
16	LHESP	13
16	SMIMO	51
16	LRECL	26
16	CSCUL	544
16	LPOLY	288
16	CROTU	424
16	MOCCI	164
16	VDEST	104
16	ISCAP	74
16	TURTI	387
16	SSCAB	44
16	NCLAV*	16
16	TANTI*	11
16	PTEPI*	13
16	LHESP*	0
16	SMIMO*	2
16	LRECL*	1
16	CSCUL*	34
16	DMELA	290
16	BMORI	96
16	<1>	57
16	<2>	3
16	<3>	150
16	<4>	364
16	<5>	38
16	<6>	87
16	<7>	1946
16	<8>	382
16	<9>	121
16	<10>	18
16	<11>	135
16	<12>	22
16	<13>	3
16	<14>	2
16	<15>	6
16	<16>	17
16	<17>	3
16	<18>	7
16	<19>	8
16	<20>	1274
16	<21>	42
16	<22>	121
6	NCLAV	66
6	TANTI	105
6	PTEPI	208
6	LHESP	13
6	SMIMO	52
6	LRECL	26
6	CSCUL	556
6	LPOLY	288
6	CROTU	424
6	MOCCI	164
6	VDEST	104
6	ISCAP	74
6	TURTI	387
6	NCLAV*	9
6	TANTI*	10
6	PTEPI*	9
6	LHESP*	0
6	SMIMO*	1
6	LRECL*	1
6	CSCUL*	22
6	SSCAB	44
6	DMELA	290
6	BMORI	96
6	<1>	58
6	<2>	3
6	<3>	151
6	<4>	368
6	<5>	41
6	<6>	89
6	<7>	1946
6	<8>	382
6	<9>	121
6	<10>	18
6	<11>	135
6	<12>	2
6	<13>	2
6	<14>	5
6	<15>	13
6	<16>	0
6	<17>	5
6	<18>	3
6	<19>	140
6	<20>	1274
6	<21>	42
6	<22>	121
5	NCLAV	72
5	TANTI	111
5	PTEPI	208
5	LHESP	13
5	SMIMO	50
5	LRECL	26
5	CSCUL	563
5	LPOLY	288
5	CROTU	424
5	MOCCI	164
5	VDEST	104
5	ISCAP	74
5	NCLAV*	3
5	TANTI*	4
5	PTEPI*	9
5	LHESP*	0
5	SMIMO*	3
5	LRECL*	1
5	CSCUL*	15
5	TURTI	387
5	SSCAB	44
5	DMELA	290
5	BMORI	96
5	<1>	55
5	<2>	5
5	<3>	154
5	<4>	372
5	<5>	36
5	<6>	94
5	<7>	1946
5	<8>	352
5	<9>	121
5	<10>	5
5	<11>	0
5	<12>	2
5	<13>	9
5	<14>	5
5	<15>	0
5	<16>	0
5	<17>	23
5	<18>	132
5	<19>	22
5	<20>	1473
5	<21>	42
5	<22>	121
9	NCLAV	70
9	TANTI	114
9	PTEPI	215
9	LHESP	13
9	SMIMO	52
9	LRECL	27
9	CSCUL	570
9	LPOLY	288
9	CROTU	424
9	MOCCI	164
9	VDEST	104
9	ISCAP	74
9	TURTI	387
9	SSCAB	44
9	DMELA	290
9	BMORI	96
9	NCLAV*	5
9	TANTI*	1
9	PTEPI*	2
9	LHESP*	0
9	SMIMO*	1
9	LRECL*	0
9	CSCUL*	8
9	<1>	59
9	<2>	5
9	<3>	155
9	<4>	379
9	<5>	38
9	<6>	92
9	<7>	1946
9	<8>	417
9	<9>	121
9	<10>	18
9	<11>	153
9	<12>	22
9	<13>	1473
9	<14>	1
9	<15>	0
9	<16>	1
9	<17>	2
9	<18>	3
9	<19>	2
9	<20>	0
9	<21>	42
9	<22>	121
