mul.tree	node	dups
0	NCLAV	75
0	TANTI	115
0	PTEPI	216
0	LHESP	13
0	SMIMO	54
0	LRECL	27
0	CSCUL	665
0	MOCCI	163
0	VDEST	104
0	ISCAP	74
0	TURTI	390
0	SSCAB	44
0	LPOLY	288
0	CROTU	426
0	DMELA	290
0	BMORI	96
0	<1>	60
0	<2>	5
0	<3>	171
0	<4>	380
0	<5>	50
0	<6>	138
0	<7>	123
0	<8>	19
0	<9>	32
0	<10>	19
0	<11>	148
0	<12>	2064
0	<13>	1993
0	<14>	41
0	<15>	118
6	NCLAV	75
6	TANTI	115
6	PTEPI	216
6	LHESP	13
6	SMIMO	54
6	LRECL	27
6	LPOLY*	8
6	CROTU*	11
6	CSCUL	665
6	MOCCI	163
6	VDEST	104
6	ISCAP	74
6	TURTI	390
6	SSCAB	44
6	LPOLY	280
6	CROTU	415
6	DMELA	290
6	BMORI	96
6	<1>	60
6	<2>	5
6	<3>	171
6	<4>	380
6	<5>	48
6	<6>	0
6	<7>	62
6	<8>	193
6	<9>	123
6	<10>	19
6	<11>	75
6	<12>	19
6	<13>	193
6	<14>	2016
6	<15>	1766
6	<16>	41
6	<17>	118
45	NCLAV	63
45	TANTI	99
45	PTEPI	181
45	LHESP	11
45	SMIMO	45
45	LRECL	25
45	CSCUL	584
45	MOCCI	163
45	VDEST	104
45	ISCAP	74
45	TURTI	390
45	SSCAB	44
45	LPOLY	288
45	CROTU	426
45	NCLAV*	12
45	TANTI*	16
45	PTEPI*	35
45	LHESP*	2
45	SMIMO*	9
45	LRECL*	2
45	CSCUL*	81
45	DMELA	290
45	BMORI	96
45	<1>	49
45	<2>	5
45	<3>	155
45	<4>	328
45	<5>	45
45	<6>	121
45	<7>	123
45	<8>	19
45	<9>	31
45	<10>	19
45	<11>	144
45	<12>	2064
45	<13>	11
45	<14>	0
45	<15>	16
45	<16>	52
45	<17>	5
45	<18>	16
45	<19>	22
45	<20>	1379
45	<21>	41
45	<22>	118
4	NCLAV	75
4	TANTI	115
4	PTEPI	216
4	LHESP	13
4	LPOLY*	3
4	CROTU*	0
4	SMIMO	54
4	LRECL	27
4	CSCUL	665
4	MOCCI	163
4	VDEST	104
4	ISCAP	74
4	TURTI	390
4	SSCAB	44
4	LPOLY	285
4	CROTU	426
4	DMELA	290
4	BMORI	96
4	<1>	60
4	<2>	6
4	<3>	0
4	<4>	5
4	<5>	175
4	<6>	386
4	<7>	50
4	<8>	149
4	<9>	123
4	<10>	19
4	<11>	36
4	<12>	19
4	<13>	155
4	<14>	2058
4	<15>	1946
4	<16>	41
4	<17>	118
1	NCLAV	75
1	LPOLY*	3
1	CROTU*	0
1	TANTI	115
1	PTEPI	216
1	LHESP	13
1	SMIMO	54
1	LRECL	27
1	CSCUL	665
1	MOCCI	163
1	VDEST	104
1	ISCAP	74
1	TURTI	390
1	SSCAB	44
1	LPOLY	285
1	CROTU	426
1	DMELA	290
1	BMORI	96
1	<1>	4
1	<2>	0
1	<3>	60
1	<4>	5
1	<5>	174
1	<6>	386
1	<7>	50
1	<8>	149
1	<9>	123
1	<10>	19
1	<11>	36
1	<12>	19
1	<13>	151
1	<14>	2060
1	<15>	1950
1	<16>	41
1	<17>	118
26	NCLAV	75
26	TANTI	115
26	PTEPI	216
26	LHESP	13
26	SMIMO	54
26	LRECL	27
26	CSCUL	665
26	MOCCI	163
26	VDEST	104
26	ISCAP	74
26	TURTI	390
26	SSCAB	44
26	LPOLY	182
26	CROTU	266
26	LPOLY*	64
26	CROTU*	99
26	DMELA	290
26	BMORI	96
26	<1>	60
26	<2>	5
26	<3>	171
26	<4>	380
26	<5>	50
26	<6>	138
26	<7>	123
26	<8>	19
26	<9>	32
26	<10>	19
26	<11>	148
26	<12>	501
26	<13>	65
26	<14>	130
26	<15>	1993
26	<16>	41
26	<17>	118
