# Summarize FastOrtho
# PYTHON VERSION: 3.7.12
# Script call:    03_summarize_fastortho.py
# Runtime:        06/09/2023 14:41:55
# ----------------
# Ortholog directory:/n/holylfs05/LABS/informatics/Users/gthomas/spiders/fastortho/18spec/
# Output file:      ../data/18spec/fastortho-summary-18spec.csv
# ----------------
inflation,genes,taxa
2,636,1
2,538,2
2,348,1
2,304,17
2,293,18
2,268,18
2,224,3
2,211,1
2,182,3
2,162,1
2,160,17
2,159,1
2,142,18
2,141,1
2,140,1
2,133,18
2,133,16
2,132,2
2,129,3
2,128,18
2,123,3
2,119,2
2,119,18
2,117,2
2,117,2
2,110,3
2,110,1
2,106,1
2,106,2
2,106,1
2,103,4
2,95,18
2,95,2
2,93,4
2,92,18
2,91,17
2,91,2
2,90,17
2,89,18
2,89,3
2,88,15
2,88,18
2,87,1
2,86,18
2,85,1
2,85,3
2,85,1
2,84,15
2,83,16
2,83,3
2,83,1
2,82,18
2,82,1
2,81,1
2,80,2
2,79,18
2,79,17
2,78,18
2,78,17
2,77,2
2,76,18
2,76,16
2,76,2
2,74,1
2,74,3
2,74,3
2,73,17
2,73,18
2,73,5
2,73,1
2,72,7
2,72,17
2,72,18
2,72,1
2,72,1
2,71,17
2,71,1
2,71,1
2,71,1
2,70,18
2,70,5
2,69,17
2,69,1
2,68,18
2,68,18
2,68,10
2,68,1
2,67,1
2,66,1
2,66,2
2,65,18
2,65,18
2,65,2
2,63,17
2,62,18
2,62,2
2,61,17
2,61,14
2,61,1
2,61,1
2,60,17
2,60,18
2,60,17
2,60,7
2,59,18
2,59,16
2,59,3
2,59,1
2,58,2
2,57,18
2,57,18
2,57,2
2,57,2
2,57,1
2,56,16
2,56,7
2,56,2
2,56,2
2,55,17
2,54,18
2,54,18
2,54,2
2,53,16
2,53,14
2,53,1
2,53,2
2,53,1
2,53,1
2,52,18
2,52,17
2,52,18
2,52,18
2,52,17
2,52,1
2,52,1
2,52,2
2,52,2
2,52,3
2,51,6
2,51,13
2,51,2
2,51,1
2,50,17
2,50,18
2,50,17
2,50,18
2,49,16
2,49,14
2,49,17
2,49,2
2,49,1
2,48,17
2,48,18
2,48,17
2,48,16
2,48,17
2,48,1
2,48,2
2,48,1
2,48,1
2,48,1
2,47,18
2,47,18
2,47,1
2,47,1
2,47,3
2,46,15
2,46,15
2,46,17
2,46,1
2,46,2
2,46,1
2,46,1
2,46,1
2,45,18
2,45,17
2,45,18
2,45,17
2,45,18
2,45,18
2,45,1
2,45,1
2,45,1
2,44,17
2,44,18
2,44,1
2,44,5
2,44,1
2,43,16
2,43,17
2,43,18
2,43,3
2,43,17
2,43,17
2,43,5
2,43,13
2,43,13
2,43,13
2,43,17
2,43,16
2,43,17
2,43,18
2,43,16
2,43,18
2,42,18
2,42,3
2,42,18
2,42,18
2,42,17
2,42,16
2,42,18
2,42,17
2,42,17
2,42,18
2,42,18
2,42,1
2,42,2
2,42,1
2,41,7
2,41,16
2,41,16
2,41,16
2,41,18
2,41,17
2,41,16
2,41,17
2,41,16
2,41,17
2,41,16
2,41,18
2,41,17
2,41,16
2,41,18
2,41,2
2,41,1
2,40,18
2,40,16
2,40,16
2,40,17
2,40,6
2,40,18
2,40,17
2,40,17
2,40,18
2,40,16
2,40,17
2,40,18
2,40,10
2,40,1
2,40,1
2,39,18
2,39,16
2,39,17
2,39,18
2,39,18
2,39,18
2,39,17
2,39,14
2,39,17
2,39,17
2,39,16
2,39,18
2,39,18
2,39,17
2,39,18
2,39,16
2,39,18
2,39,1
2,39,2
2,39,1
2,38,18
2,38,16
2,38,18
2,38,3
2,38,17
2,38,18
2,38,18
2,38,17
2,38,18
2,38,18
2,38,18
2,38,17
2,38,18
2,38,16
2,38,18
2,38,16
2,38,14
2,38,18
2,38,17
2,38,3
2,38,1
2,38,2
2,37,1
2,37,17
2,37,16
2,37,17
2,37,16
2,37,16
2,37,18
2,37,17
2,37,18
2,37,13
2,37,18
2,37,18
2,37,18
2,37,16
2,37,14
2,37,18
2,37,16
2,37,18
2,37,17
2,37,1
2,37,1
2,37,2
2,37,2
2,37,2
2,37,1
2,37,1
2,36,18
2,36,17
2,36,18
2,36,18
2,36,1
2,36,17
2,36,15
2,36,17
2,36,18
2,36,17
2,36,17
2,36,16
2,36,18
2,36,11
2,36,15
2,36,17
2,36,18
2,36,15
2,36,16
2,36,18
2,36,17
2,36,16
2,36,16
2,36,2
2,36,1
2,36,1
2,36,2
2,36,1
2,35,17
2,35,18
2,35,17
2,35,18
2,35,5
2,35,17
2,35,18
2,35,17
2,35,18
2,35,13
2,35,16
2,35,15
2,35,16
2,35,16
2,35,17
2,35,15
2,35,18
2,35,15
2,35,16
2,35,12
2,35,18
2,35,17
2,35,17
2,35,18
2,35,17
2,35,17
2,35,18
2,35,17
2,35,18
2,35,12
2,35,17
2,35,15
2,35,18
2,35,14
2,35,16
2,35,17
2,35,18
2,35,18
2,35,17
2,35,18
2,35,15
2,35,18
2,35,1
2,35,1
2,35,1
2,35,1
2,35,1
2,35,2
2,35,1
2,35,1
2,34,3
2,34,18
2,34,16
2,34,17
2,34,18
2,34,18
2,34,18
2,34,17
2,34,18
2,34,18
2,34,16
2,34,17
2,34,17
2,34,18
2,34,16
2,34,17
2,34,18
2,34,17
2,34,14
2,34,18
2,34,16
2,34,18
2,34,18
2,34,15
2,34,15
