mul.tree	node	dups
0	BMORI	98
0	DMELA	332
0	VDEST	125
0	MOCCI	233
0	HLONG	132
0	ISCAP	53
0	CROTU	278
0	TGIGA	85
0	LPOLY	136
0	SSCAB	54
0	TURTI	452
0	CSCUL	655
0	LRECL	32
0	SMIMO	57
0	LHESP	15
0	ABRUE	127
0	NCLAV	94
0	TANTI	109
0	<1>	56
0	<2>	134
0	<3>	27
0	<4>	16
0	<5>	196
0	<6>	2464
0	<7>	16
0	<8>	54
0	<9>	112
0	<10>	36
0	<11>	308
0	<12>	60
0	<13>	165
0	<14>	461
0	<15>	1203
0	<16>	1001
0	<17>	437
17	BMORI	98
17	DMELA	332
17	VDEST	125
17	MOCCI	233
17	HLONG	132
17	ISCAP	53
17	CROTU	278
17	TGIGA	85
17	LPOLY	136
17	CSCUL*	179
17	LRECL*	7
17	SMIMO*	22
17	LHESP*	6
17	ABRUE*	34
17	NCLAV*	37
17	TANTI*	38
17	SSCAB	54
17	TURTI	452
17	CSCUL+	476
17	LRECL+	25
17	SMIMO+	35
17	LHESP+	9
17	ABRUE+	93
17	NCLAV+	57
17	TANTI+	71
17	<1>	56
17	<2>	134
17	<3>	27
17	<4>	16
17	<5>	196
17	<6>	2464
17	<7>	19
17	<8>	36
17	<9>	12
17	<10>	76
17	<11>	17
17	<12>	34
17	<13>	79
17	<14>	16
17	<15>	35
17	<16>	76
17	<17>	24
17	<18>	232
17	<19>	43
17	<20>	130
17	<21>	446
17	<22>	370
17	<23>	1001
17	<24>	437
5	BMORI	98
5	DMELA	332
5	VDEST	125
5	MOCCI	233
5	HLONG	132
5	CSCUL*	1
5	LRECL*	0
5	SMIMO*	2
5	LHESP*	0
5	ABRUE*	0
5	NCLAV*	1
5	TANTI*	3
5	ISCAP	53
5	CROTU	278
5	TGIGA	85
5	LPOLY	136
5	SSCAB	54
5	TURTI	452
5	CSCUL+	654
5	LRECL+	32
5	SMIMO+	55
5	LHESP+	15
5	ABRUE+	127
5	NCLAV+	93
5	TANTI+	106
5	<1>	56
5	<2>	134
5	<3>	2
5	<4>	2
5	<5>	0
5	<6>	1
5	<7>	4
5	<8>	0
5	<9>	0
5	<10>	35
5	<11>	17
5	<12>	196
5	<13>	2464
5	<14>	16
5	<15>	52
5	<16>	110
5	<17>	36
5	<18>	307
5	<19>	56
5	<20>	165
5	<21>	461
5	<22>	1158
5	<23>	952
5	<24>	437
10	BMORI	98
10	DMELA	332
10	VDEST	125
10	MOCCI	233
10	HLONG	132
10	ISCAP	53
10	CROTU	278
10	TGIGA	85
10	LPOLY	136
10	SSCAB	54
10	CSCUL*	37
10	LRECL*	1
10	SMIMO*	5
10	LHESP*	0
10	ABRUE*	15
10	NCLAV*	2
10	TANTI*	13
10	TURTI	452
10	CSCUL+	618
10	LRECL+	31
10	SMIMO+	52
10	LHESP+	15
10	ABRUE+	112
10	NCLAV+	92
10	TANTI+	96
10	<1>	56
10	<2>	134
10	<3>	27
10	<4>	16
10	<5>	196
10	<6>	2464
10	<7>	7
10	<8>	7
10	<9>	3
10	<10>	26
10	<11>	1
10	<12>	3
10	<13>	0
10	<14>	16
10	<15>	47
10	<16>	105
10	<17>	33
10	<18>	282
10	<19>	59
10	<20>	162
10	<21>	297
10	<22>	1203
10	<23>	1001
10	<24>	437
6	BMORI	98
6	DMELA	332
6	VDEST	125
6	MOCCI	233
6	HLONG	132
6	ISCAP	53
6	CSCUL*	1
6	LRECL*	0
6	SMIMO*	2
6	LHESP*	0
6	ABRUE*	0
6	NCLAV*	1
6	TANTI*	3
6	CROTU	278
6	TGIGA	85
6	LPOLY	136
6	SSCAB	54
6	TURTI	452
6	CSCUL+	654
6	LRECL+	32
6	SMIMO+	55
6	LHESP+	15
6	ABRUE+	127
6	NCLAV+	93
6	TANTI+	106
6	<1>	56
6	<2>	134
6	<3>	2
6	<4>	2
6	<5>	0
6	<6>	1
6	<7>	4
6	<8>	0
6	<9>	2
6	<10>	33
6	<11>	17
6	<12>	196
6	<13>	2464
6	<14>	16
6	<15>	52
6	<16>	110
6	<17>	36
6	<18>	307
6	<19>	56
6	<20>	165
6	<21>	461
6	<22>	1158
6	<23>	952
6	<24>	437
21	BMORI	98
21	DMELA	332
21	VDEST	125
21	MOCCI	233
21	HLONG	132
21	ISCAP	53
21	CROTU	278
21	TGIGA	85
21	LPOLY	136
21	SSCAB	54
21	TURTI	452
21	CSCUL+	513
21	LRECL+	21
21	SMIMO+	36
21	LHESP+	11
21	ABRUE+	92
21	NCLAV+	50
21	TANTI+	82
21	CSCUL*	142
21	LRECL*	11
21	SMIMO*	21
21	LHESP*	4
21	ABRUE*	35
21	NCLAV*	44
21	TANTI*	27
21	<1>	56
21	<2>	134
21	<3>	27
21	<4>	16
21	<5>	196
21	<6>	2464
21	<7>	16
21	<8>	39
21	<9>	87
21	<10>	28
21	<11>	258
21	<12>	38
21	<13>	141
21	<14>	445
21	<15>	907
21	<16>	15
21	<17>	25
21	<18>	8
21	<19>	50
21	<20>	22
21	<21>	23
21	<22>	68
21	<23>	1001
21	<24>	437
