mul.tree	node	dups
0	HLONG	132
0	ISCAP	53
0	LPOLY	136
0	CROTU	278
0	TGIGA	85
0	TURTI	454
0	SSCAB	56
0	CSCUL	668
0	LRECL	31
0	SMIMO	57
0	LHESP	15
0	ABRUE	128
0	NCLAV	94
0	TANTI	109
0	VDEST	121
0	MOCCI	227
0	DMELA	333
0	BMORI	99
0	<1>	26
0	<2>	194
0	<3>	2409
0	<4>	16
0	<5>	1
0	<6>	54
0	<7>	111
0	<8>	484
0	<9>	61
0	<10>	164
0	<11>	459
0	<12>	1206
0	<13>	122
0	<14>	159
0	<15>	1136
0	<16>	62
0	<17>	428
6	HLONG	132
6	ISCAP	53
6	LPOLY+	135
6	CROTU+	273
6	TGIGA+	74
6	TURTI	454
6	SSCAB	56
6	CSCUL	668
6	LRECL	31
6	LPOLY*	1
6	CROTU*	5
6	TGIGA*	11
6	SMIMO	57
6	LHESP	15
6	ABRUE	128
6	NCLAV	94
6	TANTI	109
6	VDEST	121
6	MOCCI	227
6	DMELA	333
6	BMORI	99
6	<1>	26
6	<2>	189
6	<3>	2313
6	<4>	16
6	<5>	5
6	<6>	96
6	<7>	0
6	<8>	1
6	<9>	54
6	<10>	111
6	<11>	484
6	<12>	89
6	<13>	189
6	<14>	472
6	<15>	899
6	<16>	122
6	<17>	159
6	<18>	1136
6	<19>	62
6	<20>	428
8	HLONG	132
8	ISCAP	53
8	LPOLY+	136
8	CROTU+	276
8	TGIGA+	75
8	TURTI	454
8	SSCAB	56
8	CSCUL	668
8	LRECL	31
8	SMIMO	57
8	LHESP	15
8	LPOLY*	0
8	CROTU*	2
8	TGIGA*	10
8	ABRUE	128
8	NCLAV	94
8	TANTI	109
8	VDEST	121
8	MOCCI	227
8	DMELA	333
8	BMORI	99
8	<1>	26
8	<2>	192
8	<3>	2366
8	<4>	16
8	<5>	2
8	<6>	43
8	<7>	0
8	<8>	1
8	<9>	54
8	<10>	111
8	<11>	495
8	<12>	64
8	<13>	179
8	<14>	465
8	<15>	1074
8	<16>	122
8	<17>	159
8	<18>	1136
8	<19>	62
8	<20>	428
45	HLONG	132
45	ISCAP	53
45	LPOLY	136
45	CROTU	278
45	TGIGA	85
45	CSCUL*	180
45	LRECL*	7
45	SMIMO*	22
45	LHESP*	6
45	ABRUE*	36
45	NCLAV*	37
45	TANTI*	38
45	TURTI	454
45	SSCAB	56
45	CSCUL+	488
45	LRECL+	24
45	SMIMO+	35
45	LHESP+	9
45	ABRUE+	92
45	NCLAV+	57
45	TANTI+	71
45	VDEST	121
45	MOCCI	227
45	DMELA	333
45	BMORI	99
45	<1>	26
45	<2>	194
45	<3>	2409
45	<4>	0
45	<5>	19
45	<6>	35
45	<7>	132
45	<8>	17
45	<9>	32
45	<10>	79
45	<11>	16
45	<12>	1
45	<13>	35
45	<14>	76
45	<15>	352
45	<16>	44
45	<17>	131
45	<18>	444
45	<19>	370
45	<20>	122
45	<21>	159
45	<22>	1136
45	<23>	62
45	<24>	428
32	HLONG	132
32	CSCUL*	8
32	LRECL*	4
32	SMIMO*	4
32	LHESP*	0
32	ABRUE*	6
32	NCLAV*	10
32	TANTI*	5
32	ISCAP	53
32	LPOLY	136
32	CROTU	278
32	TGIGA	85
32	TURTI	454
32	SSCAB	56
32	CSCUL+	660
32	LRECL+	27
32	SMIMO+	53
32	LHESP+	15
32	ABRUE+	122
32	NCLAV+	84
32	TANTI+	104
32	VDEST	121
32	MOCCI	227
32	DMELA	333
32	BMORI	99
32	<1>	0
32	<2>	2
32	<3>	5
32	<4>	13
32	<5>	6
32	<6>	1
32	<7>	0
32	<8>	44
32	<9>	194
32	<10>	2409
32	<11>	16
32	<12>	1
32	<13>	52
32	<14>	106
32	<15>	471
32	<16>	55
32	<17>	163
32	<18>	450
32	<19>	1158
32	<20>	122
32	<21>	152
32	<22>	1089
32	<23>	62
32	<24>	428
10	HLONG	132
10	ISCAP	53
10	LPOLY+	136
10	CROTU+	276
10	TGIGA+	76
10	TURTI	454
10	SSCAB	56
10	CSCUL	668
10	LRECL	31
10	SMIMO	57
10	LHESP	15
10	ABRUE	128
10	NCLAV	94
10	LPOLY*	0
10	CROTU*	2
10	TGIGA*	9
10	TANTI	109
10	VDEST	121
10	MOCCI	227
10	DMELA	333
10	BMORI	99
10	<1>	26
10	<2>	194
10	<3>	2400
10	<4>	16
10	<5>	1
10	<6>	0
10	<7>	9
10	<8>	3
10	<9>	55
10	<10>	111
10	<11>	489
10	<12>	64
10	<13>	179
10	<14>	463
10	<15>	1153
10	<16>	122
10	<17>	159
10	<18>	1136
10	<19>	62
10	<20>	428
