mul.tree	h1.node	h2.node	score	labeled.tree
0	NA	NA	60441	(((HLONG,ISCAP)<1>,(((LPOLY,(CROTU,TGIGA)<2>)<3>,((TURTI,SSCAB)<4>,(CSCUL,(LRECL,((SMIMO,LHESP)<5>,(ABRUE,(NCLAV,TANTI)<6>)<7>)<8>)<9>)<10>)<11>)<12>,(VDEST,MOCCI)<13>)<14>)<15>,(DMELA,BMORI)<16>)<17>
14	<10>	<3>	62051	(((HLONG,ISCAP)<1>,((((LPOLY,(CROTU,TGIGA)<2>)<3>,(CSCUL*,(LRECL*,((SMIMO*,LHESP*)<4>,(ABRUE*,(NCLAV*,TANTI*)<5>)<6>)<7>)<8>)<9>)<10>,((TURTI,SSCAB)<11>,(CSCUL+,(LRECL+,((SMIMO+,LHESP+)<12>,(ABRUE+,(NCLAV+,TANTI+)<13>)<14>)<15>)<16>)<17>)<18>)<19>,(VDEST,MOCCI)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
1	<10>	HLONG	62448	((((HLONG,(CSCUL*,(LRECL*,((SMIMO*,LHESP*)<1>,(ABRUE*,(NCLAV*,TANTI*)<2>)<3>)<4>)<5>)<6>)<7>,ISCAP)<8>,(((LPOLY,(CROTU,TGIGA)<9>)<10>,((TURTI,SSCAB)<11>,(CSCUL+,(LRECL+,((SMIMO+,LHESP+)<12>,(ABRUE+,(NCLAV+,TANTI+)<13>)<14>)<15>)<16>)<17>)<18>)<19>,(VDEST,MOCCI)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
7	<10>	SSCAB	63486	(((HLONG,ISCAP)<1>,(((LPOLY,(CROTU,TGIGA)<2>)<3>,((TURTI,(SSCAB,(CSCUL*,(LRECL*,((SMIMO*,LHESP*)<4>,(ABRUE*,(NCLAV*,TANTI*)<5>)<6>)<7>)<8>)<9>)<10>)<11>,(CSCUL+,(LRECL+,((SMIMO+,LHESP+)<12>,(ABRUE+,(NCLAV+,TANTI+)<13>)<14>)<15>)<16>)<17>)<18>)<19>,(VDEST,MOCCI)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
2	<10>	ISCAP	63705	(((HLONG,(ISCAP,(CSCUL*,(LRECL*,((SMIMO*,LHESP*)<1>,(ABRUE*,(NCLAV*,TANTI*)<2>)<3>)<4>)<5>)<6>)<7>)<8>,(((LPOLY,(CROTU,TGIGA)<9>)<10>,((TURTI,SSCAB)<11>,(CSCUL+,(LRECL+,((SMIMO+,LHESP+)<12>,(ABRUE+,(NCLAV+,TANTI+)<13>)<14>)<15>)<16>)<17>)<18>)<19>,(VDEST,MOCCI)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
12	<10>	<1>	63903	((((HLONG,ISCAP)<1>,(CSCUL*,(LRECL*,((SMIMO*,LHESP*)<2>,(ABRUE*,(NCLAV*,TANTI*)<3>)<4>)<5>)<6>)<7>)<8>,(((LPOLY,(CROTU,TGIGA)<9>)<10>,((TURTI,SSCAB)<11>,(CSCUL+,(LRECL+,((SMIMO+,LHESP+)<12>,(ABRUE+,(NCLAV+,TANTI+)<13>)<14>)<15>)<16>)<17>)<18>)<19>,(VDEST,MOCCI)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
18	<10>	<12>	64134	(((HLONG,ISCAP)<1>,((((LPOLY,(CROTU,TGIGA)<2>)<3>,((TURTI,SSCAB)<4>,(CSCUL+,(LRECL+,((SMIMO+,LHESP+)<5>,(ABRUE+,(NCLAV+,TANTI+)<6>)<7>)<8>)<9>)<10>)<11>)<12>,(CSCUL*,(LRECL*,((SMIMO*,LHESP*)<13>,(ABRUE*,(NCLAV*,TANTI*)<14>)<15>)<16>)<17>)<18>)<19>,(VDEST,MOCCI)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
6	<10>	TURTI	64207	(((HLONG,ISCAP)<1>,(((LPOLY,(CROTU,TGIGA)<2>)<3>,(((TURTI,(CSCUL*,(LRECL*,((SMIMO*,LHESP*)<4>,(ABRUE*,(NCLAV*,TANTI*)<5>)<6>)<7>)<8>)<9>)<10>,SSCAB)<11>,(CSCUL+,(LRECL+,((SMIMO+,LHESP+)<12>,(ABRUE+,(NCLAV+,TANTI+)<13>)<14>)<15>)<16>)<17>)<18>)<19>,(VDEST,MOCCI)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
19	<10>	<13>	64319	(((HLONG,ISCAP)<1>,(((LPOLY,(CROTU,TGIGA)<2>)<3>,((TURTI,SSCAB)<4>,(CSCUL+,(LRECL+,((SMIMO+,LHESP+)<5>,(ABRUE+,(NCLAV+,TANTI+)<6>)<7>)<8>)<9>)<10>)<11>)<12>,((VDEST,MOCCI)<13>,(CSCUL*,(LRECL*,((SMIMO*,LHESP*)<14>,(ABRUE*,(NCLAV*,TANTI*)<15>)<16>)<17>)<18>)<19>)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
17	<10>	<11>	64370	(((HLONG,ISCAP)<1>,(((LPOLY,(CROTU,TGIGA)<2>)<3>,(((TURTI,SSCAB)<4>,(CSCUL+,(LRECL+,((SMIMO+,LHESP+)<5>,(ABRUE+,(NCLAV+,TANTI+)<6>)<7>)<8>)<9>)<10>)<11>,(CSCUL*,(LRECL*,((SMIMO*,LHESP*)<12>,(ABRUE*,(NCLAV*,TANTI*)<13>)<14>)<15>)<16>)<17>)<18>)<19>,(VDEST,MOCCI)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
