mul.tree	h1.node	h2.node	score	labeled.tree
0	NA	NA	65575	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,LHESP)<3>,SMIMO)<4>,LRECL)<5>,CSCUL)<6>,((MOCCI,VDEST)<7>,(ISCAP,HLONG)<8>)<9>)<10>,(TURTI,SSCAB)<11>)<12>,(LPOLY,(CROTU,TGIGA)<13>)<14>)<15>,(DMELA,BMORI)<16>)<17>
6	<14>	LRECL	65942	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,LHESP)<3>,SMIMO)<4>,(LRECL,(LPOLY*,(CROTU*,TGIGA*)<5>)<6>)<7>)<8>,CSCUL)<9>,((MOCCI,VDEST)<10>,(ISCAP,HLONG)<11>)<12>)<13>,(TURTI,SSCAB)<14>)<15>,(LPOLY+,(CROTU+,TGIGA+)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
4	<14>	LHESP	66773	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(LHESP,(LPOLY*,(CROTU*,TGIGA*)<3>)<4>)<5>)<6>,SMIMO)<7>,LRECL)<8>,CSCUL)<9>,((MOCCI,VDEST)<10>,(ISCAP,HLONG)<11>)<12>)<13>,(TURTI,SSCAB)<14>)<15>,(LPOLY+,(CROTU+,TGIGA+)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
1	<14>	NCLAV	67972	(((((((((((NCLAV,(LPOLY*,(CROTU*,TGIGA*)<1>)<2>)<3>,TANTI)<4>,ABRUE)<5>,LHESP)<6>,SMIMO)<7>,LRECL)<8>,CSCUL)<9>,((MOCCI,VDEST)<10>,(ISCAP,HLONG)<11>)<12>)<13>,(TURTI,SSCAB)<14>)<15>,(LPOLY+,(CROTU+,TGIGA+)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
11	<14>	HLONG	68032	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,LHESP)<3>,SMIMO)<4>,LRECL)<5>,CSCUL)<6>,((MOCCI,VDEST)<7>,(ISCAP,(HLONG,(LPOLY*,(CROTU*,TGIGA*)<8>)<9>)<10>)<11>)<12>)<13>,(TURTI,SSCAB)<14>)<15>,(LPOLY+,(CROTU+,TGIGA+)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
28	<14>	<14>	68776	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,LHESP)<3>,SMIMO)<4>,LRECL)<5>,CSCUL)<6>,((MOCCI,VDEST)<7>,(ISCAP,HLONG)<8>)<9>)<10>,(TURTI,SSCAB)<11>)<12>,((LPOLY+,(CROTU+,TGIGA+)<13>)<14>,(LPOLY*,(CROTU*,TGIGA*)<15>)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
13	<14>	SSCAB	68945	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,LHESP)<3>,SMIMO)<4>,LRECL)<5>,CSCUL)<6>,((MOCCI,VDEST)<7>,(ISCAP,HLONG)<8>)<9>)<10>,(TURTI,(SSCAB,(LPOLY*,(CROTU*,TGIGA*)<11>)<12>)<13>)<14>)<15>,(LPOLY+,(CROTU+,TGIGA+)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
5	<14>	SMIMO	69133	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,LHESP)<3>,(SMIMO,(LPOLY*,(CROTU*,TGIGA*)<4>)<5>)<6>)<7>,LRECL)<8>,CSCUL)<9>,((MOCCI,VDEST)<10>,(ISCAP,HLONG)<11>)<12>)<13>,(TURTI,SSCAB)<14>)<15>,(LPOLY+,(CROTU+,TGIGA+)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
10	<14>	ISCAP	69312	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,LHESP)<3>,SMIMO)<4>,LRECL)<5>,CSCUL)<6>,((MOCCI,VDEST)<7>,((ISCAP,(LPOLY*,(CROTU*,TGIGA*)<8>)<9>)<10>,HLONG)<11>)<12>)<13>,(TURTI,SSCAB)<14>)<15>,(LPOLY+,(CROTU+,TGIGA+)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
7	<14>	CSCUL	69613	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,LHESP)<3>,SMIMO)<4>,LRECL)<5>,(CSCUL,(LPOLY*,(CROTU*,TGIGA*)<6>)<7>)<8>)<9>,((MOCCI,VDEST)<10>,(ISCAP,HLONG)<11>)<12>)<13>,(TURTI,SSCAB)<14>)<15>,(LPOLY+,(CROTU+,TGIGA+)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
