mul.tree	node	dups
0	NCLAV	94
0	TANTI	109
0	ABRUE	128
0	LHESP	15
0	SMIMO	57
0	LRECL	32
0	CSCUL	679
0	MOCCI	233
0	VDEST	126
0	ISCAP	53
0	HLONG	132
0	TURTI	455
0	SSCAB	56
0	LPOLY	131
0	CROTU	278
0	TGIGA	85
0	DMELA	325
0	BMORI	97
0	<1>	54
0	<2>	114
0	<3>	36
0	<4>	308
0	<5>	60
0	<6>	241
0	<7>	139
0	<8>	29
0	<9>	25
0	<10>	92
0	<11>	16
0	<12>	716
0	<13>	195
0	<14>	2506
0	<15>	2493
0	<16>	53
0	<17>	452
20	NCLAV+	57
20	TANTI+	79
20	ABRUE+	102
20	LHESP+	11
20	SMIMO+	39
20	LRECL+	25
20	CSCUL+	605
20	MOCCI	233
20	VDEST	126
20	ISCAP	53
20	HLONG	132
20	TURTI	455
20	SSCAB	56
20	LPOLY	131
20	CROTU	278
20	TGIGA	85
20	NCLAV*	37
20	TANTI*	30
20	ABRUE*	26
20	LHESP*	4
20	SMIMO*	18
20	LRECL*	7
20	CSCUL*	74
20	DMELA	325
20	BMORI	97
20	<1>	41
20	<2>	94
20	<3>	31
20	<4>	258
20	<5>	47
20	<6>	217
20	<7>	139
20	<8>	29
20	<9>	25
20	<10>	88
20	<11>	16
20	<12>	705
20	<13>	195
20	<14>	2506
20	<15>	13
20	<16>	20
20	<17>	5
20	<18>	50
20	<19>	13
20	<20>	23
20	<21>	48
20	<22>	1517
20	<23>	53
20	<24>	452
17	NCLAV+	87
17	TANTI+	88
17	ABRUE+	105
17	LHESP+	12
17	SMIMO+	48
17	LRECL+	29
17	CSCUL+	576
17	MOCCI	233
17	VDEST	126
17	ISCAP	53
17	HLONG	132
17	TURTI	455
17	SSCAB	56
17	NCLAV*	7
17	TANTI*	21
17	ABRUE*	23
17	LHESP*	3
17	SMIMO*	9
17	LRECL*	3
17	CSCUL*	103
17	LPOLY	131
17	CROTU	278
17	TGIGA	85
17	DMELA	325
17	BMORI	97
17	<1>	41
17	<2>	88
17	<3>	31
17	<4>	231
17	<5>	56
17	<6>	194
17	<7>	139
17	<8>	29
17	<9>	25
17	<10>	77
17	<11>	16
17	<12>	13
17	<13>	26
17	<14>	5
17	<15>	77
17	<16>	4
17	<17>	22
17	<18>	23
17	<19>	163
17	<20>	195
17	<21>	2506
17	<22>	2493
17	<23>	53
17	<24>	452
6	NCLAV+	91
6	TANTI+	102
6	ABRUE+	121
6	LHESP+	15
6	SMIMO+	54
6	LRECL+	32
6	CSCUL+	665
6	MOCCI	233
6	VDEST	126
6	ISCAP	53
6	HLONG	132
6	TURTI	455
6	SSCAB	56
6	NCLAV*	3
6	TANTI*	7
6	ABRUE*	7
6	LHESP*	0
6	SMIMO*	3
6	LRECL*	0
6	CSCUL*	14
6	LPOLY	131
6	CROTU	278
6	TGIGA	85
6	DMELA	325
6	BMORI	97
6	<1>	53
6	<2>	109
6	<3>	35
6	<4>	291
6	<5>	60
6	<6>	238
6	<7>	139
6	<8>	29
6	<9>	25
6	<10>	77
6	<11>	1
6	<12>	5
6	<13>	1
6	<14>	17
6	<15>	0
6	<16>	3
6	<17>	1
6	<18>	28
6	<19>	472
6	<20>	195
6	<21>	2506
6	<22>	2493
6	<23>	53
6	<24>	452
4	NCLAV+	93
4	TANTI+	105
4	ABRUE+	127
4	LHESP+	15
4	SMIMO+	55
4	LRECL+	32
4	CSCUL+	673
4	MOCCI	233
4	VDEST	126
4	ISCAP	53
4	HLONG	132
4	NCLAV*	1
4	TANTI*	4
4	ABRUE*	1
4	LHESP*	0
4	SMIMO*	2
4	LRECL*	0
4	CSCUL*	6
4	TURTI	455
4	SSCAB	56
4	LPOLY	131
4	CROTU	278
4	TGIGA	85
4	DMELA	325
4	BMORI	97
4	<1>	53
4	<2>	112
4	<3>	36
4	<4>	306
4	<5>	60
4	<6>	240
4	<7>	139
4	<8>	1
4	<9>	2
4	<10>	0
4	<11>	2
4	<12>	0
4	<13>	1
4	<14>	0
4	<15>	30
4	<16>	25
4	<17>	62
4	<18>	16
4	<19>	716
4	<20>	195
4	<21>	2506
4	<22>	2493
4	<23>	53
4	<24>	452
5	NCLAV+	91
5	TANTI+	104
5	ABRUE+	123
5	LHESP+	15
5	SMIMO+	56
5	LRECL+	32
5	CSCUL+	633
5	MOCCI	233
5	VDEST	126
5	ISCAP	53
5	HLONG	132
5	TURTI	455
5	NCLAV*	3
5	TANTI*	5
5	ABRUE*	5
5	LHESP*	0
5	SMIMO*	1
5	LRECL*	0
5	CSCUL*	46
5	SSCAB	56
5	LPOLY	131
5	CROTU	278
5	TGIGA	85
5	DMELA	325
5	BMORI	97
5	<1>	49
5	<2>	106
5	<3>	34
5	<4>	280
5	<5>	59
5	<6>	233
5	<7>	139
5	<8>	29
5	<9>	25
5	<10>	77
5	<11>	5
5	<12>	8
5	<13>	2
5	<14>	28
5	<15>	1
5	<16>	8
5	<17>	2
5	<18>	30
5	<19>	471
5	<20>	195
5	<21>	2506
5	<22>	2493
5	<23>	53
5	<24>	452
