mul.tree	node	dups
20	DMELA	318
20	BMORI	84
20	ISCAP	45
20	HLONG	118
20	VDEST	120
20	MOCCI	189
20	LPOLY	35
20	CROTU	206
20	TGIGA	49
20	CSCUL+	319
20	LRECL+	21
20	SMIMO+	35
20	ABRUE+	61
20	NCLAV+	61
20	TANTI+	66
20	PTEPI+	100
20	LHESP+	5
20	SSCAB	38
20	TURTI	425
20	CSCUL*	134
20	LRECL*	10
20	SMIMO*	14
20	ABRUE*	31
20	NCLAV*	27
20	TANTI*	30
20	PTEPI*	60
20	LHESP*	3
20	<1>	71
20	<2>	46
20	<3>	155
20	<4>	120
20	<5>	89
20	<6>	2977
20	<7>	30
20	<8>	32
20	<9>	9
20	<10>	224
20	<11>	1415
20	<12>	127
20	<13>	241
20	<14>	822
20	<15>	44
20	<16>	11
20	<17>	15
20	<18>	4
20	<19>	115
20	<20>	726
20	<21>	65
20	<22>	81
20	<23>	1302
20	<24>	1703
20	<25>	6130
20	<26>	2807
21	DMELA	318
21	BMORI	84
21	ISCAP	45
21	HLONG	118
21	VDEST	120
21	MOCCI	189
21	LPOLY	35
21	CROTU	206
21	TGIGA	49
21	CSCUL+	249
21	LRECL+	10
21	SMIMO+	27
21	ABRUE+	52
21	NCLAV+	36
21	TANTI+	54
21	PTEPI+	86
21	LHESP+	6
21	SSCAB	38
21	TURTI	425
21	CSCUL*	204
21	LRECL*	21
21	SMIMO*	22
21	ABRUE*	40
21	NCLAV*	52
21	TANTI*	42
21	PTEPI*	74
21	LHESP*	2
21	<1>	71
21	<2>	46
21	<3>	155
21	<4>	120
21	<5>	89
21	<6>	2977
21	<7>	29
21	<8>	28
21	<9>	9
21	<10>	194
21	<11>	1149
21	<12>	87
21	<13>	220
21	<14>	813
21	<15>	44
21	<16>	1419
21	<17>	12
21	<18>	19
21	<19>	4
21	<20>	145
21	<21>	992
21	<22>	105
21	<23>	104
21	<24>	1744
21	<25>	6130
21	<26>	2807
22	DMELA	318
22	BMORI	84
22	ISCAP	45
22	HLONG	118
22	VDEST	120
22	MOCCI	189
22	LPOLY	35
22	CROTU	206
22	TGIGA	49
22	CSCUL+	350
22	LRECL+	17
22	SMIMO+	35
22	ABRUE+	65
22	NCLAV+	49
22	TANTI+	65
22	PTEPI+	106
22	LHESP+	6
22	SSCAB	38
22	TURTI	425
22	CSCUL*	103
22	LRECL*	14
22	SMIMO*	14
22	ABRUE*	27
22	NCLAV*	39
22	TANTI*	31
22	PTEPI*	54
22	LHESP*	2
22	<1>	71
22	<2>	46
22	<3>	155
22	<4>	120
22	<5>	89
22	<6>	2977
22	<7>	33
22	<8>	30
22	<9>	8
22	<10>	251
22	<11>	1522
22	<12>	113
22	<13>	245
22	<14>	1166
22	<15>	44
22	<16>	3907
22	<17>	2948
22	<18>	8
22	<19>	17
22	<20>	5
22	<21>	88
22	<22>	619
22	<23>	79
22	<24>	96
22	<25>	2720
22	<26>	2807
10	DMELA	318
10	BMORI	84
10	ISCAP	45
10	HLONG	118
10	VDEST	120
10	MOCCI	189
10	LPOLY	35
10	CROTU	206
10	TGIGA	49
10	CSCUL+	381
10	LRECL+	28
10	SMIMO+	44
10	ABRUE+	80
10	NCLAV+	66
10	TANTI+	83
10	PTEPI+	134
10	LHESP+	7
10	SSCAB	38
10	CSCUL*	72
10	LRECL*	3
10	SMIMO*	5
10	ABRUE*	12
10	NCLAV*	22
10	TANTI*	13
10	PTEPI*	26
10	LHESP*	1
10	TURTI	425
10	<1>	71
10	<2>	46
10	<3>	155
10	<4>	120
10	<5>	89
10	<6>	2977
10	<7>	36
10	<8>	40
10	<9>	11
10	<10>	282
10	<11>	1810
10	<12>	159
10	<13>	301
10	<14>	836
10	<15>	5
10	<16>	7
10	<17>	2
10	<18>	57
10	<19>	331
10	<20>	33
10	<21>	40
10	<22>	237
10	<23>	128
10	<24>	3456
10	<25>	6130
10	<26>	2807
11	DMELA	318
11	BMORI	84
11	ISCAP	45
11	HLONG	118
11	VDEST	120
11	MOCCI	189
11	LPOLY	35
11	CROTU	206
11	TGIGA	49
11	CSCUL+	379
11	LRECL+	25
11	SMIMO+	44
11	ABRUE+	76
11	NCLAV+	67
11	TANTI+	79
11	PTEPI+	123
11	LHESP+	7
11	SSCAB	38
11	TURTI	425
11	CSCUL*	74
11	LRECL*	6
11	SMIMO*	5
11	ABRUE*	16
11	NCLAV*	21
11	TANTI*	17
11	PTEPI*	37
11	LHESP*	1
11	<1>	71
11	<2>	46
11	<3>	155
11	<4>	120
11	<5>	89
11	<6>	2977
11	<7>	37
11	<8>	39
11	<9>	11
11	<10>	279
11	<11>	1796
11	<12>	156
11	<13>	299
11	<14>	837
11	<15>	4
11	<16>	8
11	<17>	2
11	<18>	60
11	<19>	345
11	<20>	36
11	<21>	42
11	<22>	402
11	<23>	170
11	<24>	3277
11	<25>	6130
11	<26>	2807
0	DMELA	318
0	BMORI	84
0	ISCAP	45
0	HLONG	118
0	VDEST	120
0	MOCCI	189
0	LPOLY	35
0	CROTU	206
0	TGIGA	49
0	CSCUL	453
0	LRECL	31
0	SMIMO	49
0	ABRUE	92
0	NCLAV	88
0	TANTI	96
0	PTEPI	160
0	LHESP	8
0	SSCAB	38
0	TURTI	425
0	<1>	71
0	<2>	46
0	<3>	155
0	<4>	120
0	<5>	89
0	<6>	2977
0	<7>	41
0	<8>	47
0	<9>	13
0	<10>	339
0	<11>	2141
0	<12>	192
0	<13>	341
0	<14>	1412
0	<15>	44
0	<16>	4871
0	<17>	6130
0	<18>	2807
