mul.tree	node	dups
0	DMELA	338
0	BMORI	93
0	ISCAP	50
0	HLONG	134
0	VDEST	136
0	MOCCI	227
0	LPOLY	122
0	CROTU	264
0	TGIGA	78
0	CSCUL	592
0	LRECL	39
0	SMIMO	59
0	ABRUE	112
0	NCLAV	102
0	TANTI	107
0	PTEPI	213
0	LHESP	10
0	SSCAB	53
0	TURTI	460
0	<1>	62
0	<2>	33
0	<3>	134
0	<4>	27
0	<5>	189
0	<6>	2504
0	<7>	49
0	<8>	46
0	<9>	12
0	<10>	210
0	<11>	768
0	<12>	39
0	<13>	199
0	<14>	632
0	<15>	18
0	<16>	953
0	<17>	1040
0	<18>	452
8	DMELA	338
8	BMORI	93
8	ISCAP	50
8	HLONG	134
8	VDEST	136
8	MOCCI	227
8	LPOLY	119
8	CROTU	251
8	TGIGA	68
8	CSCUL	592
8	LRECL	39
8	LPOLY*	3
8	CROTU*	13
8	TGIGA*	10
8	SMIMO	59
8	ABRUE	112
8	NCLAV	102
8	TANTI	107
8	PTEPI	213
8	LHESP	10
8	SSCAB	53
8	TURTI	460
8	<1>	62
8	<2>	33
8	<3>	134
8	<4>	27
8	<5>	181
8	<6>	2402
8	<7>	8
8	<8>	102
8	<9>	0
8	<10>	49
8	<11>	46
8	<12>	12
8	<13>	210
8	<14>	768
8	<15>	58
8	<16>	203
8	<17>	378
8	<18>	18
8	<19>	953
8	<20>	1040
8	<21>	452
14	DMELA	338
14	BMORI	93
14	ISCAP	50
14	HLONG	134
14	VDEST	136
14	MOCCI	227
14	LPOLY	122
14	CROTU	263
14	TGIGA	75
14	CSCUL	592
14	LRECL	39
14	SMIMO	59
14	ABRUE	112
14	NCLAV	102
14	TANTI	107
14	PTEPI	213
14	LHESP	10
14	LPOLY*	0
14	CROTU*	1
14	TGIGA*	3
14	SSCAB	53
14	TURTI	460
14	<1>	62
14	<2>	33
14	<3>	134
14	<4>	27
14	<5>	189
14	<6>	2498
14	<7>	49
14	<8>	46
14	<9>	0
14	<10>	6
14	<11>	0
14	<12>	12
14	<13>	213
14	<14>	768
14	<15>	39
14	<16>	199
14	<17>	620
14	<18>	18
14	<19>	953
14	<20>	1040
14	<21>	452
53	DMELA	338
53	BMORI	93
53	ISCAP	50
53	HLONG	134
53	VDEST	136
53	MOCCI	227
53	LPOLY	122
53	CROTU	264
53	TGIGA	78
53	CSCUL	521
53	LRECL	33
53	SMIMO	55
53	ABRUE	92
53	NCLAV	88
53	TANTI	86
53	PTEPI	168
53	LHESP	8
53	SSCAB	53
53	TURTI	460
53	CSCUL*	71
53	LRECL*	6
53	SMIMO*	4
53	ABRUE*	20
53	NCLAV*	14
53	TANTI*	21
53	PTEPI*	45
53	LHESP*	2
53	<1>	62
53	<2>	33
53	<3>	134
53	<4>	27
53	<5>	189
53	<6>	2504
53	<7>	42
53	<8>	40
53	<9>	9
53	<10>	182
53	<11>	611
53	<12>	36
53	<13>	188
53	<14>	526
53	<15>	18
53	<16>	7
53	<17>	6
53	<18>	3
53	<19>	28
53	<20>	157
53	<21>	3
53	<22>	11
53	<23>	21
53	<24>	268
53	<25>	1040
53	<26>	452
60	DMELA	338
60	BMORI	93
60	ISCAP	50
60	HLONG	134
60	LPOLY*	2
60	CROTU*	10
60	TGIGA*	7
60	CSCUL*	21
60	LRECL*	0
60	SMIMO*	4
60	ABRUE*	2
60	NCLAV*	11
60	TANTI*	4
60	PTEPI*	8
60	LHESP*	0
60	VDEST	136
60	MOCCI	227
60	LPOLY	120
60	CROTU	254
60	TGIGA	71
60	CSCUL	571
60	LRECL	39
60	SMIMO	55
60	ABRUE	110
60	NCLAV	91
60	TANTI	103
60	PTEPI	205
60	LHESP	10
60	SSCAB	53
60	TURTI	460
60	<1>	62
60	<2>	3
60	<3>	44
60	<4>	2
60	<5>	4
60	<6>	0
60	<7>	1
60	<8>	14
60	<9>	2
60	<10>	4
60	<11>	17
60	<12>	0
60	<13>	49
60	<14>	134
60	<15>	36
60	<16>	186
60	<17>	2460
60	<18>	47
60	<19>	42
60	<20>	12
60	<21>	209
60	<22>	754
60	<23>	37
60	<24>	195
60	<25>	615
60	<26>	18
60	<27>	953
60	<28>	898
60	<29>	452
43	DMELA	338
43	BMORI	93
43	ISCAP	50
43	HLONG	134
43	VDEST	136
43	MOCCI	227
43	LPOLY	122
43	CROTU	264
43	TGIGA	78
43	CSCUL	560
43	LRECL	39
43	SMIMO	58
43	ABRUE	104
43	NCLAV	93
43	TANTI	99
43	PTEPI	203
43	LHESP	10
43	SSCAB	53
43	CSCUL*	32
43	LRECL*	0
43	SMIMO*	1
43	ABRUE*	8
43	NCLAV*	9
43	TANTI*	8
43	PTEPI*	10
43	LHESP*	0
43	TURTI	460
43	<1>	62
43	<2>	33
43	<3>	134
43	<4>	27
43	<5>	189
43	<6>	2504
43	<7>	47
43	<8>	43
43	<9>	12
43	<10>	195
43	<11>	724
43	<12>	37
43	<13>	193
43	<14>	528
43	<15>	2
43	<16>	3
43	<17>	0
43	<18>	15
43	<19>	44
43	<20>	2
43	<21>	6
43	<22>	0
43	<23>	22
43	<24>	685
43	<25>	1040
43	<26>	452
