mul.tree	node	dups
1093	DMELA	238
1093	BMORI	80
1093	MOCCI	150
1093	VDEST	90
1093	ISCAP	39
1093	HLONG	107
1093	TGIGA	49
1093	CROTU	193
1093	LPOLY	34
1093	SMIMO*	20
1093	PTEPI*	88
1093	LHESP*	2
1093	ABRUE*	41
1093	NCLAV*	67
1093	TANTI*	52
1093	TURTI	384
1093	SSCAB	33
1093	CSCUL	423
1093	LRECL	30
1093	SMIMO+	24
1093	PTEPI+	62
1093	LHESP+	4
1093	ABRUE+	42
1093	NCLAV+	21
1093	TANTI+	38
1093	<1>	67
1093	<2>	142
1093	<3>	39
1093	<4>	101
1093	<5>	86
1093	<6>	2919
1093	<7>	6
1093	<8>	13
1093	<9>	23
1093	<10>	171
1093	<11>	1058
1093	<12>	94
1093	<13>	41
1093	<14>	6
1093	<15>	25
1093	<16>	19
1093	<17>	163
1093	<18>	1064
1093	<19>	141
1093	<20>	272
1093	<21>	849
1093	<22>	4084
1093	<23>	6119
1093	<24>	2734
1069	DMELA	238
1069	BMORI	80
1069	MOCCI	150
1069	VDEST	90
1069	ISCAP	39
1069	HLONG	107
1069	TGIGA	49
1069	CROTU	193
1069	LPOLY	34
1069	TURTI	384
1069	SSCAB	33
1069	CSCUL	423
1069	LRECL	30
1069	SMIMO	44
1069	PTEPI+	69
1069	LHESP+	4
1069	ABRUE+	49
1069	NCLAV+	2
1069	TANTI+	52
1069	PTEPI*	81
1069	LHESP*	2
1069	ABRUE*	34
1069	NCLAV*	86
1069	TANTI*	38
1069	<1>	67
1069	<2>	142
1069	<3>	39
1069	<4>	101
1069	<5>	86
1069	<6>	2919
1069	<7>	41
1069	<8>	8
1069	<9>	28
1069	<10>	26
1069	<11>	111
1069	<12>	507
1069	<13>	36
1069	<14>	4
1069	<15>	10
1069	<16>	16
1069	<17>	182
1069	<18>	70
1069	<19>	336
1069	<20>	1550
1069	<21>	4206
1069	<22>	6119
1069	<23>	2734
1066	DMELA	238
1066	BMORI	80
1066	MOCCI	150
1066	VDEST	90
1066	ISCAP	39
1066	HLONG	107
1066	TGIGA	49
1066	CROTU	193
1066	LPOLY	34
1066	TURTI	384
1066	SSCAB	33
1066	PTEPI*	60
1066	LHESP*	1
1066	ABRUE*	23
1066	NCLAV*	83
1066	TANTI*	33
1066	CSCUL	423
1066	LRECL	30
1066	SMIMO	44
1066	PTEPI+	90
1066	LHESP+	5
1066	ABRUE+	60
1066	NCLAV+	5
1066	TANTI+	57
1066	<1>	67
1066	<2>	142
1066	<3>	39
1066	<4>	101
1066	<5>	86
1066	<6>	2919
1066	<7>	41
1066	<8>	2
1066	<9>	6
1066	<10>	13
1066	<11>	191
1066	<12>	95
1066	<13>	10
1066	<14>	32
1066	<15>	29
1066	<16>	143
1066	<17>	1287
1066	<18>	132
1066	<19>	148
1066	<20>	1240
1066	<21>	4206
1066	<22>	6119
1066	<23>	2734
1099	DMELA	238
1099	BMORI	80
1099	MOCCI	150
1099	VDEST	90
1099	ISCAP	39
1099	HLONG	107
1099	TGIGA	49
1099	CROTU	193
1099	LPOLY	34
1099	TURTI	384
1099	SSCAB	33
1099	CSCUL	423
1099	LRECL	30
1099	SMIMO+	22
1099	PTEPI+	62
1099	LHESP+	4
1099	ABRUE+	41
1099	NCLAV+	17
1099	TANTI+	37
1099	SMIMO*	22
1099	PTEPI*	88
1099	LHESP*	2
1099	ABRUE*	42
1099	NCLAV*	71
1099	TANTI*	53
1099	<1>	67
1099	<2>	142
1099	<3>	39
1099	<4>	101
1099	<5>	86
1099	<6>	2919
1099	<7>	41
1099	<8>	7
1099	<9>	24
1099	<10>	20
1099	<11>	166
1099	<12>	1020
1099	<13>	144
1099	<14>	217
1099	<15>	923
1099	<16>	1821
1099	<17>	5
1099	<18>	14
1099	<19>	22
1099	<20>	168
1099	<21>	1102
1099	<22>	2007
1099	<23>	6119
1099	<24>	2734
531	DMELA	238
531	BMORI	80
