mul.tree	node	dups
0	DMELA	338
0	BMORI	93
0	MOCCI	227
0	VDEST	136
0	ISCAP	50
0	HLONG	134
0	TGIGA	78
0	CROTU	264
0	LPOLY	122
0	TURTI	456
0	SSCAB	53
0	CSCUL	664
0	LRECL	39
0	SMIMO	60
0	PTEPI	213
0	LHESP	10
0	ABRUE	112
0	NCLAV	102
0	TANTI	107
0	<1>	59
0	<2>	130
0	<3>	32
0	<4>	26
0	<5>	186
0	<6>	2519
0	<7>	19
0	<8>	12
0	<9>	49
0	<10>	46
0	<11>	222
0	<12>	767
0	<13>	50
0	<14>	192
0	<15>	469
0	<16>	1128
0	<17>	1046
0	<18>	455
10	DMELA	338
10	BMORI	93
10	MOCCI	227
10	VDEST	136
10	ISCAP	50
10	HLONG	134
10	TGIGA	67
10	CROTU	253
10	LPOLY	118
10	TURTI	456
10	SSCAB	53
10	CSCUL	664
10	LRECL	39
10	TGIGA*	11
10	CROTU*	11
10	LPOLY*	4
10	SMIMO	60
10	PTEPI	213
10	LHESP	10
10	ABRUE	112
10	NCLAV	102
10	TANTI	107
10	<1>	59
10	<2>	130
10	<3>	32
10	<4>	26
10	<5>	178
10	<6>	2400
10	<7>	19
10	<8>	8
10	<9>	119
10	<10>	0
10	<11>	12
10	<12>	49
10	<13>	46
10	<14>	222
10	<15>	767
10	<16>	77
10	<17>	225
10	<18>	484
10	<19>	817
10	<20>	1046
10	<21>	455
13	DMELA	338
13	BMORI	93
13	MOCCI	227
13	VDEST	136
13	ISCAP	50
13	HLONG	134
13	TGIGA	71
13	CROTU	262
13	LPOLY	122
13	TURTI	456
13	SSCAB	53
13	CSCUL	664
13	LRECL	39
13	SMIMO	60
13	PTEPI	213
13	LHESP	10
13	TGIGA*	7
13	CROTU*	2
13	LPOLY*	0
13	ABRUE	112
13	NCLAV	102
13	TANTI	107
13	<1>	59
13	<2>	130
13	<3>	32
13	<4>	26
13	<5>	185
13	<6>	2504
13	<7>	19
13	<8>	1
13	<9>	15
13	<10>	0
13	<11>	12
13	<12>	49
13	<13>	46
13	<14>	227
13	<15>	770
13	<16>	54
13	<17>	208
13	<18>	474
13	<19>	1065
13	<20>	1046
13	<21>	455
50	DMELA	338
50	BMORI	93
50	MOCCI	227
50	VDEST	136
50	ISCAP	50
50	HLONG	134
50	TGIGA	78
50	CROTU	264
50	LPOLY	122
50	CSCUL*	155
50	LRECL*	10
50	SMIMO*	16
50	PTEPI*	72
50	LHESP*	3
50	ABRUE*	36
50	NCLAV*	36
50	TANTI*	37
50	TURTI	456
50	SSCAB	53
50	CSCUL	509
50	LRECL	29
50	SMIMO	44
50	PTEPI	141
50	LHESP	7
50	ABRUE	76
50	NCLAV	66
50	TANTI	70
50	<1>	59
50	<2>	130
50	<3>	32
50	<4>	26
50	<5>	186
50	<6>	2519
50	<7>	2
50	<8>	21
50	<9>	15
50	<10>	62
50	<11>	230
50	<12>	10
50	<13>	47
50	<14>	91
50	<15>	19
50	<16>	10
50	<17>	28
50	<18>	31
50	<19>	160
50	<20>	537
50	<21>	40
50	<22>	145
50	<23>	451
50	<24>	320
50	<25>	1046
50	<26>	455
39	DMELA	338
39	BMORI	93
39	MOCCI	227
39	VDEST	136
39	ISCAP	50
39	HLONG	134
39	CSCUL*	3
39	LRECL*	0
39	SMIMO*	5
39	PTEPI*	2
39	LHESP*	0
39	ABRUE*	0
39	NCLAV*	3
39	TANTI*	3
39	TGIGA	78
39	CROTU	264
39	LPOLY	122
39	TURTI	456
39	SSCAB	53
39	CSCUL	661
39	LRECL	39
39	SMIMO	55
39	PTEPI	211
39	LHESP	10
39	ABRUE	112
39	NCLAV	99
39	TANTI	104
39	<1>	59
39	<2>	130
39	<3>	0
39	<4>	0
39	<5>	2
39	<6>	1
39	<7>	5
39	<8>	3
39	<9>	0
39	<10>	0
39	<11>	43
39	<12>	32
39	<13>	186
39	<14>	2519
39	<15>	19
39	<16>	12
39	<17>	49
39	<18>	44
39	<19>	221
39	<20>	762
39	<21>	47
39	<22>	192
39	<23>	469
39	<24>	1093
39	<25>	979
39	<26>	455
15	DMELA	338
15	BMORI	93
15	MOCCI	227
15	VDEST	136
15	ISCAP	50
15	HLONG	134
15	TGIGA	71
15	CROTU	264
15	LPOLY	122
15	TURTI	456
15	SSCAB	53
15	CSCUL	664
15	LRECL	39
15	SMIMO	60
15	PTEPI	213
15	LHESP	10
15	ABRUE	112
15	NCLAV	102
15	TGIGA*	7
15	CROTU*	0
15	LPOLY*	0
15	TANTI	107
15	<1>	59
15	<2>	130
15	<3>	32
15	<4>	26
15	<5>	186
15	<6>	2512
15	<7>	19
15	<8>	12
15	<9>	0
15	<10>	7
15	<11>	3
15	<12>	50
15	<13>	48
15	<14>	222
15	<15>	772
15	<16>	54
15	<17>	194
15	<18>	471
15	<19>	1101
15	<20>	1046
15	<21>	455
