mul.tree	node	dups
452	HLONG	124
452	ISCAP	45
452	MOCCI	173
452	VDEST	109
452	CSCUL	559
452	TURTI	414
452	SSCAB	48
452	LRECL	41
452	PTEPI*	53
452	ABRUE	99
452	NCLAV	99
452	TANTI	103
452	SMIMO	59
452	PTEPI+	139
452	LHESP	11
452	LPOLY	92
452	TGIGA	67
452	CROTU	225
452	BMORI	91
452	DMELA	267
452	<1>	29
452	<2>	137
452	<3>	22
452	<4>	0
452	<5>	49
452	<6>	47
452	<7>	12
452	<8>	14
452	<9>	1305
452	<10>	183
452	<11>	167
452	<12>	819
452	<13>	151
452	<14>	2587
452	<15>	1637
452	<16>	294
452	<17>	1778
452	<18>	56
452	<19>	741
919	HLONG	124
919	ISCAP	45
919	MOCCI	173
919	VDEST	109
919	CSCUL	559
919	TURTI	414
919	SSCAB	48
919	LRECL	41
919	SMIMO*	6
919	PTEPI*	21
919	LHESP*	2
919	ABRUE	99
919	NCLAV	99
919	TANTI	103
919	SMIMO+	53
919	PTEPI+	171
919	LHESP+	9
919	LPOLY	92
919	TGIGA	67
919	CROTU	225
919	BMORI	91
919	DMELA	267
919	<1>	29
919	<2>	137
919	<3>	22
919	<4>	0
919	<5>	1
919	<6>	1
919	<7>	49
919	<8>	47
919	<9>	12
919	<10>	14
919	<11>	542
919	<12>	111
919	<13>	167
919	<14>	819
919	<15>	151
919	<16>	2587
919	<17>	1637
919	<18>	294
919	<19>	1778
919	<20>	56
919	<21>	741
949	HLONG	124
949	ISCAP	45
949	MOCCI	173
949	VDEST	109
949	CSCUL	559
949	ABRUE*	47
949	NCLAV*	60
949	TANTI*	48
949	SMIMO*	27
949	PTEPI*	67
949	LHESP*	1
949	TURTI	414
949	SSCAB	48
949	LRECL	41
949	ABRUE+	52
949	NCLAV+	39
949	TANTI+	55
949	SMIMO+	32
949	PTEPI+	125
949	LHESP+	10
949	LPOLY	92
949	TGIGA	67
949	CROTU	225
949	BMORI	91
949	DMELA	267
949	<1>	29
949	<2>	137
949	<3>	19
949	<4>	20
949	<5>	2
949	<6>	4
949	<7>	870
949	<8>	42
949	<9>	22
949	<10>	30
949	<11>	27
949	<12>	10
949	<13>	11
949	<14>	1058
949	<15>	56
949	<16>	151
949	<17>	244
949	<18>	151
949	<19>	2587
949	<20>	1637
949	<21>	294
949	<22>	1778
949	<23>	56
949	<24>	741
884	HLONG	124
884	ISCAP	45
884	MOCCI	173
884	VDEST	109
884	CSCUL	559
884	TURTI	414
884	SSCAB	48
884	LRECL	41
884	PTEPI*	26
884	LHESP*	0
884	ABRUE	99
884	NCLAV	99
884	TANTI	103
884	SMIMO	59
884	PTEPI+	166
884	LHESP+	11
884	LPOLY	92
884	TGIGA	67
884	CROTU	225
884	BMORI	91
884	DMELA	267
884	<1>	29
884	<2>	137
884	<3>	22
884	<4>	0
884	<5>	1
884	<6>	49
884	<7>	47
884	<8>	12
884	<9>	13
884	<10>	1271
884	<11>	94
884	<12>	167
884	<13>	819
884	<14>	151
884	<15>	2587
884	<16>	1637
884	<17>	294
884	<18>	1778
884	<19>	56
884	<20>	741
415	HLONG	124
415	ISCAP	45
415	MOCCI	173
415	VDEST	109
415	CSCUL	559
415	TURTI	414
415	SSCAB	48
415	LRECL	41
415	SMIMO*	7
415	ABRUE	99
415	NCLAV	99
415	TANTI	103
415	SMIMO+	49
415	PTEPI	192
415	LHESP	11
415	LPOLY	92
415	TGIGA	67
415	CROTU	225
415	BMORI	91
415	DMELA	267
415	<1>	29
415	<2>	137
415	<3>	22
415	<4>	0
415	<5>	49
415	<6>	47
415	<7>	12
415	<8>	15
415	<9>	1216
415	<10>	110
415	<11>	167
415	<12>	819
415	<13>	151
415	<14>	2587
415	<15>	1637
415	<16>	294
415	<17>	1778
415	<18>	56
415	<19>	741
468	HLONG	124
468	ISCAP	45
468	MOCCI	173
468	VDEST	109
468	CSCUL	559
468	TURTI	414
468	SSCAB	48
468	LRECL	41
468	ABRUE	99
468	NCLAV	99
468	TANTI	103
468	PTEPI*	65
468	SMIMO	59
468	PTEPI+	111
468	LHESP	11
468	LPOLY	92
468	TGIGA	67
468	CROTU	225
468	BMORI	91
468	DMELA	267
468	<1>	29
468	<2>	137
468	<3>	22
468	<4>	49
468	<5>	47
468	<6>	68
468	<7>	12
468	<8>	15
468	<9>	1231
468	<10>	68
468	<11>	167
468	<12>	819
468	<13>	151
468	<14>	2587
468	<15>	1637
468	<16>	294
468	<17>	1778
468	<18>	56
468	<19>	741
