mul.tree	node	dups
0	HLONG	129
0	ISCAP	49
0	MOCCI	215
0	VDEST	128
0	CSCUL	607
0	TURTI	456
0	SSCAB	53
0	LRECL	41
0	ABRUE	106
0	NCLAV	99
0	TANTI	104
0	SMIMO	60
0	PTEPI	206
0	LHESP	11
0	LPOLY	92
0	TGIGA	67
0	CROTU	238
0	BMORI	93
0	DMELA	337
0	<1>	33
0	<2>	144
0	<3>	26
0	<4>	50
0	<5>	49
0	<6>	12
0	<7>	15
0	<8>	1956
0	<9>	69
0	<10>	167
0	<11>	823
0	<12>	152
0	<13>	2606
0	<14>	1651
0	<15>	298
0	<16>	1802
0	<17>	64
0	<18>	758
8	HLONG	129
8	ISCAP	49
8	MOCCI	215
8	VDEST	128
8	CSCUL	607
8	TURTI	456
8	SSCAB	53
8	LRECL	41
8	LPOLY*	1
8	TGIGA*	9
8	CROTU*	13
8	ABRUE	106
8	NCLAV	99
8	TANTI	104
8	SMIMO	60
8	PTEPI	206
8	LHESP	11
8	LPOLY+	91
8	TGIGA+	58
8	CROTU+	225
8	BMORI	93
8	DMELA	337
8	<1>	33
8	<2>	144
8	<3>	26
8	<4>	10
8	<5>	137
8	<6>	0
8	<7>	50
8	<8>	49
8	<9>	12
8	<10>	15
8	<11>	1956
8	<12>	103
8	<13>	181
8	<14>	853
8	<15>	142
8	<16>	2469
8	<17>	1306
8	<18>	298
8	<19>	1802
8	<20>	64
8	<21>	758
14	HLONG	129
14	ISCAP	49
14	MOCCI	215
14	VDEST	128
14	CSCUL	607
14	TURTI	456
14	SSCAB	53
14	LRECL	41
14	ABRUE	106
14	NCLAV	99
14	TANTI	104
14	SMIMO	60
14	PTEPI	206
14	LHESP	11
14	LPOLY*	0
14	TGIGA*	4
14	CROTU*	3
14	LPOLY+	92
14	TGIGA+	63
14	CROTU+	235
14	BMORI	93
14	DMELA	337
14	<1>	33
14	<2>	144
14	<3>	26
14	<4>	50
14	<5>	49
14	<6>	3
14	<7>	16
14	<8>	0
14	<9>	12
14	<10>	15
14	<11>	1970
14	<12>	74
14	<13>	172
14	<14>	826
14	<15>	149
14	<16>	2590
14	<17>	1601
14	<18>	298
14	<19>	1802
14	<20>	64
14	<21>	758
10	HLONG	129
10	ISCAP	49
10	MOCCI	215
10	VDEST	128
10	CSCUL	607
10	TURTI	456
10	SSCAB	53
10	LRECL	41
10	ABRUE	106
10	NCLAV	99
10	LPOLY*	0
10	TGIGA*	5
10	CROTU*	2
10	TANTI	104
10	SMIMO	60
10	PTEPI	206
10	LHESP	11
10	LPOLY+	92
10	TGIGA+	62
10	CROTU+	236
10	BMORI	93
10	DMELA	337
10	<1>	33
10	<2>	144
10	<3>	26
10	<4>	3
10	<5>	11
10	<6>	4
10	<7>	50
10	<8>	52
10	<9>	12
10	<10>	15
10	<11>	1969
10	<12>	76
10	<13>	172
10	<14>	826
10	<15>	149
10	<16>	2595
10	<17>	1599
10	<18>	298
10	<19>	1802
10	<20>	64
10	<21>	758
1	HLONG	129
1	LPOLY*	0
1	TGIGA*	1
1	CROTU*	1
1	ISCAP	49
1	MOCCI	215
1	VDEST	128
1	CSCUL	607
1	TURTI	456
1	SSCAB	53
1	LRECL	41
1	ABRUE	106
1	NCLAV	99
1	TANTI	104
1	SMIMO	60
1	PTEPI	206
1	LHESP	11
1	LPOLY+	92
1	TGIGA+	66
1	CROTU+	237
1	BMORI	93
1	DMELA	337
1	<1>	0
1	<2>	19
1	<3>	0
1	<4>	41
1	<5>	144
1	<6>	26
1	<7>	50
1	<8>	49
1	<9>	12
1	<10>	15
1	<11>	1956
1	<12>	69
1	<13>	167
1	<14>	823
1	<15>	152
1	<16>	2587
1	<17>	1627
1	<18>	276
1	<19>	1775
1	<20>	64
1	<21>	758
28	HLONG	129
28	ISCAP	49
28	MOCCI	215
28	VDEST	128
28	CSCUL	607
28	TURTI	456
28	SSCAB	53
28	LRECL	41
28	ABRUE	106
28	NCLAV	99
28	TANTI	104
28	SMIMO	60
28	PTEPI	206
28	LHESP	11
28	LPOLY+	70
28	TGIGA+	61
28	CROTU+	191
28	LPOLY*	12
28	TGIGA*	6
28	CROTU*	47
28	BMORI	93
28	DMELA	337
28	<1>	33
28	<2>	144
28	<3>	26
28	<4>	50
28	<5>	49
28	<6>	12
28	<7>	15
28	<8>	1956
28	<9>	69
28	<10>	167
28	<11>	823
28	<12>	80
28	<13>	674
28	<14>	27
28	<15>	120
28	<16>	150
28	<17>	1651
28	<18>	298
28	<19>	1802
28	<20>	64
28	<21>	758
