mul.tree	node	dups
1112	NCLAV	88
1112	TANTI	89
1112	ABRUE	83
1112	PTEPI	149
1112	LHESP	6
1112	SMIMO	44
1112	LRECL	30
1112	TURTI*	194
1112	SSCAB*	18
1112	CSCUL	410
1112	LPOLY	34
1112	CROTU	191
1112	TGIGA	49
1112	MOCCI	149
1112	VDEST	89
1112	ISCAP	38
1112	HLONG	101
1112	TURTI+	181
1112	SSCAB+	14
1112	DMELA	236
1112	BMORI	75
1112	<1>	37
1112	<2>	42
1112	<3>	12
1112	<4>	334
1112	<5>	2117
1112	<6>	19
1112	<7>	2
1112	<8>	712
1112	<9>	1150
1112	<10>	84
1112	<11>	2907
1112	<12>	2964
1112	<13>	136
1112	<14>	38
1112	<15>	101
1112	<16>	3426
1112	<17>	21
1112	<18>	3064
1112	<19>	66
1112	<20>	2731
1113	NCLAV	88
1113	TANTI	89
1113	ABRUE	83
1113	PTEPI	149
1113	LHESP	6
1113	SMIMO	44
1113	LRECL	30
1113	CSCUL	410
1113	TURTI*	198
1113	SSCAB*	20
1113	LPOLY	34
1113	CROTU	191
1113	TGIGA	49
1113	MOCCI	149
1113	VDEST	89
1113	ISCAP	38
1113	HLONG	101
1113	TURTI+	177
1113	SSCAB+	12
1113	DMELA	236
1113	BMORI	75
1113	<1>	37
1113	<2>	42
1113	<3>	12
1113	<4>	334
1113	<5>	2117
1113	<6>	190
1113	<7>	19
1113	<8>	31
1113	<9>	1817
1113	<10>	84
1113	<11>	2907
1113	<12>	3118
1113	<13>	136
1113	<14>	38
1113	<15>	101
1113	<16>	3695
1113	<17>	21
1113	<18>	2573
1113	<19>	66
1113	<20>	2731
1128	NCLAV	88
1128	TANTI	89
1128	ABRUE	83
1128	PTEPI	149
1128	LHESP	6
1128	SMIMO	44
1128	LRECL	30
1128	TURTI*	201
1128	SSCAB*	20
1128	CSCUL	410
1128	LPOLY	34
1128	CROTU	191
1128	TGIGA	49
1128	MOCCI	149
1128	VDEST	89
1128	ISCAP	38
1128	HLONG	101
1128	TURTI+	174
1128	SSCAB+	12
1128	DMELA	236
1128	BMORI	75
1128	<1>	37
1128	<2>	42
1128	<3>	12
1128	<4>	334
1128	<5>	2117
1128	<6>	190
1128	<7>	19
1128	<8>	459
1128	<9>	1193
1128	<10>	84
1128	<11>	2907
1128	<12>	3118
1128	<13>	136
1128	<14>	38
1128	<15>	101
1128	<16>	3697
1128	<17>	21
1128	<18>	2564
1128	<19>	66
1128	<20>	2731
1127	NCLAV	88
1127	TANTI	89
1127	ABRUE	83
1127	PTEPI	149
1127	LHESP	6
1127	SMIMO	44
1127	TURTI*	197
1127	SSCAB*	18
1127	LRECL	30
1127	CSCUL	410
1127	LPOLY	34
1127	CROTU	191
1127	TGIGA	49
1127	MOCCI	149
1127	VDEST	89
1127	ISCAP	38
1127	HLONG	101
1127	TURTI+	178
1127	SSCAB+	14
1127	DMELA	236
1127	BMORI	75
1127	<1>	37
1127	<2>	42
1127	<3>	12
1127	<4>	334
1127	<5>	2117
1127	<6>	19
1127	<7>	352
1127	<8>	346
1127	<9>	1150
1127	<10>	84
1127	<11>	2907
1127	<12>	2966
1127	<13>	136
1127	<14>	38
1127	<15>	101
1127	<16>	3443
1127	<17>	21
1127	<18>	3041
1127	<19>	66
1127	<20>	2731
1111	NCLAV	88
1111	TANTI	89
1111	ABRUE	83
1111	PTEPI	149
1111	LHESP	6
1111	SMIMO	44
1111	TURTI*	174
1111	SSCAB*	17
1111	LRECL	30
1111	CSCUL	410
1111	LPOLY	34
1111	CROTU	191
1111	TGIGA	49
1111	MOCCI	149
1111	VDEST	89
1111	ISCAP	38
1111	HLONG	101
1111	TURTI+	201
1111	SSCAB+	15
1111	DMELA	236
1111	BMORI	75
1111	<1>	37
1111	<2>	42
1111	<3>	12
1111	<4>	334
1111	<5>	17
1111	<6>	2
1111	<7>	2950
1111	<8>	335
1111	<9>	1122
1111	<10>	84
1111	<11>	2907
1111	<12>	2824
1111	<13>	136
1111	<14>	38
1111	<15>	101
1111	<16>	3230
1111	<17>	23
1111	<18>	3502
1111	<19>	66
1111	<20>	2731
992	NCLAV+	65
992	TANTI+	42
992	ABRUE+	30
992	PTEPI+	65
992	LHESP+	2
992	SMIMO+	17
992	LRECL+	11
992	CSCUL+	191
992	LPOLY+	14
992	CROTU+	96
992	TGIGA+	35
992	MOCCI	149
992	VDEST	89
992	ISCAP	38
992	HLONG	101
992	TURTI	375
992	SSCAB	32
992	NCLAV*	23
992	TANTI*	47
992	ABRUE*	53
992	PTEPI*	84
992	LHESP*	4
992	SMIMO*	27
992	LRECL*	19
992	CSCUL*	219
992	LPOLY*	20
992	CROTU*	95
992	TGIGA*	14
992	DMELA	236
992	BMORI	75
992	<1>	15
992	<2>	17
992	<3>	5
992	<4>	159
992	<5>	924
992	<6>	105
992	<7>	177
992	<8>	39
992	<9>	1281
992	<10>	833
992	<11>	136
992	<12>	38
992	<13>	101
992	<14>	1320
992	<15>	40
992	<16>	22
992	<17>	25
992	<18>	7
992	<19>	175
992	<20>	1193
992	<21>	85
992	<22>	159
992	<23>	45
992	<24>	1626
992	<25>	524
992	<26>	4349
992	<27>	3590
992	<28>	66
992	<29>	2731
