mul.tree	node	dups
0	NCLAV	102
0	TANTI	107
0	ABRUE	112
0	PTEPI	213
0	LHESP	10
0	SMIMO	59
0	LRECL	39
0	CSCUL	592
0	LPOLY	122
0	CROTU	264
0	TGIGA	78
0	MOCCI	227
0	VDEST	136
0	ISCAP	50
0	HLONG	134
0	TURTI	462
0	SSCAB	55
0	DMELA	335
0	BMORI	94
0	<1>	49
0	<2>	46
0	<3>	12
0	<4>	210
0	<5>	768
0	<6>	39
0	<7>	200
0	<8>	189
0	<9>	2503
0	<10>	628
0	<11>	131
0	<12>	33
0	<13>	28
0	<14>	326
0	<15>	18
0	<16>	1959
0	<17>	63
0	<18>	453
7	NCLAV	102
7	TANTI	107
7	ABRUE	112
7	PTEPI	213
7	LHESP	10
7	SMIMO	59
7	LRECL	39
7	LPOLY*	3
7	CROTU*	13
7	TGIGA*	10
7	CSCUL	592
7	LPOLY	119
7	CROTU	251
7	TGIGA	68
7	MOCCI	227
7	VDEST	136
7	ISCAP	50
7	HLONG	134
7	TURTI	462
7	SSCAB	55
7	DMELA	335
7	BMORI	94
7	<1>	49
7	<2>	46
7	<3>	12
7	<4>	210
7	<5>	768
7	<6>	8
7	<7>	101
7	<8>	0
7	<9>	57
7	<10>	204
7	<11>	181
7	<12>	2402
7	<13>	372
7	<14>	131
7	<15>	33
7	<16>	28
7	<17>	326
7	<18>	18
7	<19>	1959
7	<20>	63
7	<21>	453
5	NCLAV	102
5	TANTI	107
5	ABRUE	112
5	PTEPI	213
5	LHESP	10
5	LPOLY*	0
5	CROTU*	1
5	TGIGA*	3
5	SMIMO	59
5	LRECL	39
5	CSCUL	592
5	LPOLY	122
5	CROTU	263
5	TGIGA	75
5	MOCCI	227
5	VDEST	136
5	ISCAP	50
5	HLONG	134
5	TURTI	462
5	SSCAB	55
5	DMELA	335
5	BMORI	94
5	<1>	49
5	<2>	46
5	<3>	0
5	<4>	6
5	<5>	0
5	<6>	12
5	<7>	213
5	<8>	768
5	<9>	39
5	<10>	200
5	<11>	189
5	<12>	2497
5	<13>	616
5	<14>	131
5	<15>	33
5	<16>	28
5	<17>	326
5	<18>	18
5	<19>	1959
5	<20>	63
5	<21>	453
1	NCLAV	102
1	LPOLY*	1
1	CROTU*	0
1	TGIGA*	6
1	TANTI	107
1	ABRUE	112
1	PTEPI	213
1	LHESP	10
1	SMIMO	59
1	LRECL	39
1	CSCUL	592
1	LPOLY	121
1	CROTU	264
1	TGIGA	72
1	MOCCI	227
1	VDEST	136
1	ISCAP	50
1	HLONG	134
1	TURTI	462
1	SSCAB	55
1	DMELA	335
1	BMORI	94
1	<1>	0
1	<2>	1
1	<3>	3
1	<4>	49
1	<5>	48
1	<6>	12
1	<7>	210
1	<8>	768
1	<9>	42
1	<10>	200
1	<11>	189
1	<12>	2502
1	<13>	617
1	<14>	131
1	<15>	33
1	<16>	28
1	<17>	326
1	<18>	18
1	<19>	1959
1	<20>	63
1	<21>	453
12	NCLAV	102
12	TANTI	107
12	ABRUE	112
12	PTEPI	213
12	LHESP	10
12	SMIMO	59
12	LRECL	39
12	CSCUL	592
12	LPOLY	122
12	CROTU	262
12	TGIGA	77
12	MOCCI	227
12	VDEST	136
12	ISCAP	50
12	HLONG	134
12	LPOLY*	0
12	CROTU*	2
12	TGIGA*	1
12	TURTI	462
12	SSCAB	55
12	DMELA	335
12	BMORI	94
12	<1>	49
12	<2>	46
12	<3>	12
12	<4>	210
12	<5>	768
12	<6>	39
12	<7>	200
12	<8>	189
12	<9>	2494
12	<10>	628
12	<11>	131
12	<12>	0
12	<13>	9
12	<14>	0
12	<15>	34
12	<16>	28
12	<17>	315
12	<18>	18
12	<19>	1959
12	<20>	63
12	<21>	453
24	NCLAV	102
24	TANTI	107
24	ABRUE	112
24	PTEPI	213
24	LHESP	10
24	SMIMO	59
24	LRECL	39
24	CSCUL	592
24	LPOLY	94
24	CROTU	205
24	TGIGA	70
24	LPOLY*	19
24	CROTU*	59
24	TGIGA*	8
24	MOCCI	227
24	VDEST	136
24	ISCAP	50
24	HLONG	134
24	TURTI	462
24	SSCAB	55
24	DMELA	335
24	BMORI	94
24	<1>	49
24	<2>	46
24	<3>	12
24	<4>	210
24	<5>	768
24	<6>	39
24	<7>	200
24	<8>	104
24	<9>	653
24	<10>	45
24	<11>	104
24	<12>	136
24	<13>	628
24	<14>	131
24	<15>	33
24	<16>	28
24	<17>	326
24	<18>	18
24	<19>	1959
24	<20>	63
24	<21>	453
