mul.tree	node	dups
1024	NCLAV+	31
1024	TANTI+	57
1024	ABRUE+	52
1024	PTEPI+	89
1024	LHESP+	5
1024	SMIMO+	26
1024	LRECL+	15
1024	CSCUL+	264
1024	MOCCI+	16
1024	VDEST+	17
1024	ISCAP+	3
1024	HLONG+	14
1024	TURTI	374
1024	SSCAB	31
1024	LPOLY	34
1024	CROTU	191
1024	TGIGA	49
1024	NCLAV*	57
1024	TANTI*	32
1024	ABRUE*	31
1024	PTEPI*	59
1024	LHESP*	1
1024	SMIMO*	18
1024	LRECL*	15
1024	CSCUL*	145
1024	MOCCI*	133
1024	VDEST*	72
1024	ISCAP*	35
1024	HLONG*	87
1024	DMELA	236
1024	BMORI	74
1024	<1>	23
1024	<2>	26
1024	<3>	8
1024	<4>	214
1024	<5>	1375
1024	<6>	102
1024	<7>	237
1024	<8>	25
1024	<9>	5
1024	<10>	33
1024	<11>	146
1024	<12>	40
1024	<13>	1963
1024	<14>	84
1024	<15>	2907
1024	<16>	2940
1024	<17>	14
1024	<18>	16
1024	<19>	3
1024	<20>	120
1024	<21>	739
1024	<22>	88
1024	<23>	99
1024	<24>	111
1024	<25>	33
1024	<26>	67
1024	<27>	191
1024	<28>	4505
1024	<29>	66
1024	<30>	2728
1009	NCLAV	88
1009	TANTI	89
1009	ABRUE	83
1009	PTEPI	148
1009	LHESP	6
1009	SMIMO	44
1009	LRECL	30
1009	CSCUL	409
1009	MOCCI+	17
1009	VDEST+	21
1009	ISCAP+	5
1009	HLONG+	17
1009	TURTI	374
1009	SSCAB	31
1009	LPOLY	34
1009	CROTU	191
1009	TGIGA	49
1009	MOCCI*	132
1009	VDEST*	68
1009	ISCAP*	33
1009	HLONG*	84
1009	DMELA	236
1009	BMORI	74
1009	<1>	37
1009	<2>	42
1009	<3>	11
1009	<4>	334
1009	<5>	2114
1009	<6>	190
1009	<7>	336
1009	<8>	25
1009	<9>	7
1009	<10>	35
1009	<11>	297
1009	<12>	40
1009	<13>	2066
1009	<14>	84
1009	<15>	2907
1009	<16>	6250
1009	<17>	111
1009	<18>	31
1009	<19>	65
1009	<20>	2254
1009	<21>	66
1009	<22>	2728
907	NCLAV+	26
907	TANTI+	32
907	ABRUE+	34
907	PTEPI+	66
907	LHESP+	4
907	SMIMO+	18
907	LRECL+	16
907	CSCUL+	146
907	MOCCI	149
907	VDEST	89
907	ISCAP	38
907	HLONG	101
907	TURTI	374
907	SSCAB	31
907	LPOLY	34
907	CROTU	191
907	TGIGA	49
907	NCLAV*	62
907	TANTI*	57
907	ABRUE*	49
907	PTEPI*	82
907	LHESP*	2
907	SMIMO*	26
907	LRECL*	14
907	CSCUL*	263
907	DMELA	236
907	BMORI	74
907	<1>	11
907	<2>	18
907	<3>	7
907	<4>	123
907	<5>	828
907	<6>	79
907	<7>	110
907	<8>	136
907	<9>	38
907	<10>	100
907	<11>	280
907	<12>	40
907	<13>	1985
907	<14>	84
907	<15>	2907
907	<16>	26
907	<17>	24
907	<18>	4
907	<19>	211
907	<20>	1286
907	<21>	111
907	<22>	214
907	<23>	1183
907	<24>	8497
907	<25>	66
907	<26>	2728
1114	NCLAV	88
1114	TANTI	89
1114	ABRUE	83
1114	PTEPI	148
1114	LHESP	6
1114	SMIMO	44
1114	LRECL	30
1114	LPOLY*	9
1114	CROTU*	69
1114	TGIGA*	25
1114	CSCUL	409
1114	MOCCI	149
1114	VDEST	89
1114	ISCAP	38
1114	HLONG	101
1114	TURTI	374
1114	SSCAB	31
1114	LPOLY+	25
1114	CROTU+	122
1114	TGIGA+	24
1114	DMELA	236
1114	BMORI	74
1114	<1>	37
1114	<2>	42
1114	<3>	11
1114	<4>	334
1114	<5>	2114
1114	<6>	32
1114	<7>	1161
1114	<8>	14
1114	<9>	432
1114	<10>	1436
1114	<11>	136
1114	<12>	38
1114	<13>	100
1114	<14>	1197
1114	<15>	40
1114	<16>	4570
1114	<17>	52
1114	<18>	1746
1114	<19>	5713
1114	<20>	66
1114	<21>	2728
1115	NCLAV	88
1115	TANTI	89
1115	ABRUE	83
1115	PTEPI	148
1115	LHESP	6
1115	SMIMO	44
1115	LRECL	30
1115	CSCUL	409
1115	LPOLY*	12
1115	CROTU*	88
1115	TGIGA*	33
1115	MOCCI	149
1115	VDEST	89
1115	ISCAP	38
1115	HLONG	101
1115	TURTI	374
1115	SSCAB	31
1115	LPOLY+	22
1115	CROTU+	103
1115	TGIGA+	16
1115	DMELA	236
1115	BMORI	74
1115	<1>	37
1115	<2>	42
1115	<3>	11
1115	<4>	334
1115	<5>	2114
1115	<6>	190
1115	<7>	40
1115	<8>	1441
1115	<9>	44
1115	<10>	1713
1115	<11>	136
1115	<12>	38
1115	<13>	100
1115	<14>	1297
1115	<15>	40
1115	<16>	5186
