mul.tree	node	dups
7	NCLAV	88
7	TANTI	96
7	ABRUE	93
7	PTEPI	167
7	LHESP	8
7	SMIMO	49
7	LRECL	31
7	LPOLY*	9
7	CROTU*	71
7	TGIGA*	25
7	CSCUL	476
7	MOCCI	188
7	VDEST	121
7	ISCAP	45
7	HLONG	118
7	TURTI	431
7	SSCAB	40
7	LPOLY+	26
7	CROTU+	136
7	TGIGA+	24
7	DMELA	321
7	BMORI	85
7	<1>	41
7	<2>	47
7	<3>	13
7	<4>	345
7	<5>	2144
7	<6>	35
7	<7>	1203
7	<8>	14
7	<9>	438
7	<10>	1459
7	<11>	157
7	<12>	46
7	<13>	122
7	<14>	1210
7	<15>	46
7	<16>	4636
7	<17>	53
7	<18>	1767
7	<19>	5721
7	<20>	77
7	<21>	2803
8	NCLAV	88
8	TANTI	96
8	ABRUE	93
8	PTEPI	167
8	LHESP	8
8	SMIMO	49
8	LRECL	31
8	CSCUL	476
8	LPOLY*	12
8	CROTU*	90
8	TGIGA*	33
8	MOCCI	188
8	VDEST	121
8	ISCAP	45
8	HLONG	118
8	TURTI	431
8	SSCAB	40
8	LPOLY+	23
8	CROTU+	117
8	TGIGA+	16
8	DMELA	321
8	BMORI	85
8	<1>	41
8	<2>	47
8	<3>	13
8	<4>	345
8	<5>	2144
8	<6>	192
8	<7>	43
8	<8>	1483
8	<9>	47
8	<10>	1731
8	<11>	157
8	<12>	46
8	<13>	122
8	<14>	1310
8	<15>	46
8	<16>	5252
8	<17>	45
8	<18>	1487
8	<19>	4607
8	<20>	77
8	<21>	2803
23	NCLAV	88
23	TANTI	96
23	ABRUE	93
23	PTEPI	167
23	LHESP	8
23	SMIMO	49
23	LRECL	31
23	CSCUL	476
23	LPOLY*	15
23	CROTU*	106
23	TGIGA*	34
23	MOCCI	188
23	VDEST	121
23	ISCAP	45
23	HLONG	118
23	TURTI	431
23	SSCAB	40
23	LPOLY+	20
23	CROTU+	101
23	TGIGA+	15
23	DMELA	321
23	BMORI	85
23	<1>	41
23	<2>	47
23	<3>	13
23	<4>	345
23	<5>	2144
23	<6>	192
23	<7>	341
23	<8>	51
23	<9>	1717
23	<10>	1337
23	<11>	157
23	<12>	46
23	<13>	122
23	<14>	1412
23	<15>	46
23	<16>	5783
23	<17>	37
23	<18>	1253
23	<19>	3803
23	<20>	77
23	<21>	2803
22	NCLAV	88
22	TANTI	96
22	ABRUE	93
22	PTEPI	167
22	LHESP	8
22	SMIMO	49
22	LRECL	31
22	LPOLY*	13
22	CROTU*	94
22	TGIGA*	33
22	CSCUL	476
22	MOCCI	188
22	VDEST	121
22	ISCAP	45
22	HLONG	118
22	TURTI	431
22	SSCAB	40
22	LPOLY+	22
22	CROTU+	113
22	TGIGA+	16
22	DMELA	321
22	BMORI	85
22	<1>	41
22	<2>	47
22	<3>	13
22	<4>	345
22	<5>	2144
22	<6>	192
22	<7>	42
22	<8>	1488
22	<9>	196
22	<10>	1803
22	<11>	157
22	<12>	46
22	<13>	122
22	<14>	1314
22	<15>	46
22	<16>	5257
22	<17>	46
22	<18>	1482
22	<19>	4591
22	<20>	77
22	<21>	2803
26	NCLAV	88
26	TANTI	96
26	ABRUE	93
26	PTEPI	167
26	LHESP	8
26	SMIMO	49
26	LRECL	31
26	CSCUL	476
26	MOCCI	188
26	VDEST	121
26	ISCAP	45
26	HLONG	118
26	LPOLY*	15
26	CROTU*	99
26	TGIGA*	33
26	TURTI	431
26	SSCAB	40
26	LPOLY+	20
26	CROTU+	108
26	TGIGA+	16
26	DMELA	321
26	BMORI	85
26	<1>	41
26	<2>	47
26	<3>	13
26	<4>	345
26	<5>	2144
26	<6>	192
26	<7>	341
26	<8>	157
26	<9>	46
26	<10>	122
26	<11>	53
26	<12>	1665
26	<13>	76
26	<14>	3160
26	<15>	46
26	<16>	5730
26	<17>	35
26	<18>	1305
26	<19>	3894
26	<20>	77
26	<21>	2803
25	NCLAV	88
25	TANTI	96
25	ABRUE	93
25	PTEPI	167
25	LHESP	8
25	SMIMO	49
25	LRECL	31
25	CSCUL	476
25	MOCCI	188
25	VDEST	121
25	ISCAP	45
25	HLONG	118
25	LPOLY*	11
25	CROTU*	81
25	TGIGA*	25
25	TURTI	431
25	SSCAB	40
25	LPOLY+	24
25	CROTU+	126
25	TGIGA+	24
25	DMELA	321
25	BMORI	85
25	<1>	41
25	<2>	47
25	<3>	13
25	<4>	345
25	<5>	2144
25	<6>	192
25	<7>	341
25	<8>	157
25	<9>	46
25	<10>	42
25	<11>	1359
25	<12>	26
25	<13>	282
25	<14>	2681
25	<15>	46
25	<16>	5100
25	<17>	46
25	<18>	1611
25	<19>	5069
25	<20>	77
25	<21>	2803
