mul.tree	node	dups
0	BMORI	98
0	DMELA	295
0	VDEST	104
0	MOCCI	163
0	ISCAP	73
0	SSCAB	44
0	TURTI	386
0	LPOLY	288
0	CROTU	423
0	TANTI	115
0	NCLAV	75
0	PTEPI	216
0	LHESP	13
0	SMIMO	53
0	LRECL	27
0	CSCUL	575
0	<1>	42
0	<2>	125
0	<3>	18
0	<4>	19
0	<5>	1930
0	<6>	60
0	<7>	5
0	<8>	156
0	<9>	380
0	<10>	41
0	<11>	92
0	<12>	416
0	<13>	318
0	<14>	506
0	<15>	110
13	BMORI	98
13	DMELA	295
13	VDEST	104
13	MOCCI	163
13	ISCAP	73
13	SSCAB	44
13	TURTI	386
13	LPOLY	286
13	CROTU	420
13	TANTI	115
13	NCLAV	75
13	PTEPI	216
13	LHESP	13
13	SMIMO	53
13	LRECL	27
13	LPOLY*	2
13	CROTU*	3
13	CSCUL	575
13	<1>	42
13	<2>	125
13	<3>	18
13	<4>	19
13	<5>	1911
13	<6>	60
13	<7>	5
13	<8>	156
13	<9>	380
13	<10>	19
13	<11>	0
13	<12>	47
13	<13>	97
13	<14>	350
13	<15>	318
13	<16>	506
13	<17>	110
11	BMORI	98
11	DMELA	295
11	VDEST	104
11	MOCCI	163
11	ISCAP	73
11	SSCAB	44
11	TURTI	386
11	LPOLY	288
11	CROTU	423
11	TANTI	115
11	NCLAV	75
11	PTEPI	216
11	LHESP	13
11	LPOLY*	0
11	CROTU*	0
11	SMIMO	53
11	LRECL	27
11	CSCUL	575
11	<1>	42
11	<2>	125
11	<3>	18
11	<4>	19
11	<5>	1930
11	<6>	60
11	<7>	0
11	<8>	0
11	<9>	5
11	<10>	157
11	<11>	382
11	<12>	41
11	<13>	92
11	<14>	411
11	<15>	318
11	<16>	506
11	<17>	110
9	BMORI	98
9	DMELA	295
9	VDEST	104
9	MOCCI	163
9	ISCAP	73
9	SSCAB	44
9	TURTI	386
9	LPOLY	287
9	CROTU	423
9	TANTI	115
9	NCLAV	75
9	LPOLY*	1
9	CROTU*	0
9	PTEPI	216
9	LHESP	13
9	SMIMO	53
9	LRECL	27
9	CSCUL	575
9	<1>	42
9	<2>	125
9	<3>	18
9	<4>	19
9	<5>	1930
9	<6>	0
9	<7>	0
9	<8>	60
9	<9>	5
9	<10>	156
9	<11>	382
9	<12>	41
9	<13>	92
9	<14>	411
9	<15>	318
9	<16>	506
9	<17>	110
35	BMORI	98
35	DMELA	295
35	VDEST	104
35	MOCCI	163
35	ISCAP	73
35	SSCAB	44
35	TANTI*	6
35	NCLAV*	2
35	PTEPI*	6
35	LHESP*	0
35	SMIMO*	1
35	LRECL*	0
35	CSCUL*	17
35	TURTI	386
35	LPOLY	288
35	CROTU	423
35	TANTI	109
35	NCLAV	73
35	PTEPI	210
35	LHESP	13
35	SMIMO	52
35	LRECL	27
35	CSCUL	558
35	<1>	42
35	<2>	125
35	<3>	18
35	<4>	3
35	<5>	1
35	<6>	1
35	<7>	8
35	<8>	0
35	<9>	0
35	<10>	2
35	<11>	21
35	<12>	1930
35	<13>	57
35	<14>	4
35	<15>	155
35	<16>	372
35	<17>	41
35	<18>	92
35	<19>	336
35	<20>	258
35	<21>	506
35	<22>	110
19	BMORI	98
19	DMELA	295
19	VDEST	104
19	MOCCI	163
19	ISCAP	73
19	SSCAB	44
19	TURTI	386
19	LPOLY	185
19	CROTU	268
19	LPOLY*	56
19	CROTU*	87
19	TANTI	115
19	NCLAV	75
19	PTEPI	216
19	LHESP	13
19	SMIMO	53
19	LRECL	27
19	CSCUL	575
19	<1>	42
19	<2>	125
19	<3>	18
19	<4>	19
19	<5>	459
19	<6>	58
19	<7>	100
19	<8>	60
19	<9>	5
19	<10>	156
19	<11>	380
19	<12>	41
19	<13>	92
19	<14>	416
19	<15>	318
19	<16>	506
19	<17>	110
