mul.tree	node	dups
0	BMORI	98
0	DMELA	295
0	VDEST	104
0	MOCCI	164
0	ISCAP	73
0	SSCAB	44
0	TURTI	386
0	LPOLY	288
0	CROTU	424
0	TANTI	115
0	NCLAV	75
0	PTEPI	217
0	LHESP	13
0	SMIMO	53
0	LRECL	27
0	CSCUL	578
0	<1>	43
0	<2>	125
0	<3>	18
0	<4>	19
0	<5>	1943
0	<6>	60
0	<7>	5
0	<8>	156
0	<9>	381
0	<10>	41
0	<11>	92
0	<12>	417
0	<13>	318
0	<14>	508
0	<15>	113
6	BMORI	98
6	DMELA	295
6	VDEST	104
6	MOCCI	164
6	ISCAP	73
6	SSCAB	44
6	TANTI*	6
6	NCLAV*	2
6	PTEPI*	6
6	LHESP*	0
6	SMIMO*	1
6	LRECL*	0
6	CSCUL*	17
6	TURTI	386
6	LPOLY	288
6	CROTU	424
6	TANTI	109
6	NCLAV	73
6	PTEPI	211
6	LHESP	13
6	SMIMO	52
6	LRECL	27
6	CSCUL	561
6	<1>	43
6	<2>	125
6	<3>	18
6	<4>	3
6	<5>	1
6	<6>	1
6	<7>	9
6	<8>	0
6	<9>	0
6	<10>	2
6	<11>	21
6	<12>	1943
6	<13>	57
6	<14>	4
6	<15>	155
6	<16>	372
6	<17>	41
6	<18>	92
6	<19>	336
6	<20>	258
6	<21>	508
6	<22>	113
5	BMORI	98
5	DMELA	295
5	VDEST	104
5	MOCCI	164
5	ISCAP	73
5	TANTI*	0
5	NCLAV*	5
5	PTEPI*	4
5	LHESP*	0
5	SMIMO*	2
5	LRECL*	1
5	CSCUL*	10
5	SSCAB	44
5	TURTI	386
5	LPOLY	288
5	CROTU	424
5	TANTI	115
5	NCLAV	70
5	PTEPI	213
5	LHESP	13
5	SMIMO	51
5	LRECL	26
5	CSCUL	568
5	<1>	43
5	<2>	125
5	<3>	3
5	<4>	0
5	<5>	0
5	<6>	6
5	<7>	4
5	<8>	0
5	<9>	0
5	<10>	24
5	<11>	19
5	<12>	1943
5	<13>	57
5	<14>	5
5	<15>	156
5	<16>	375
5	<17>	37
5	<18>	92
5	<19>	383
5	<20>	310
5	<21>	485
5	<22>	113
13	BMORI	98
13	DMELA	295
13	VDEST	104
13	MOCCI	164
13	ISCAP	73
13	SSCAB	44
13	TURTI	386
13	TANTI*	17
13	NCLAV*	7
13	PTEPI*	20
13	LHESP*	0
13	SMIMO*	2
13	LRECL*	4
13	CSCUL*	46
13	LPOLY	288
13	CROTU	424
13	TANTI	98
13	NCLAV	68
13	PTEPI	197
13	LHESP	13
13	SMIMO	51
13	LRECL	23
13	CSCUL	532
13	<1>	43
13	<2>	125
13	<3>	18
13	<4>	19
13	<5>	3
13	<6>	3
13	<7>	8
13	<8>	22
13	<9>	0
13	<10>	5
13	<11>	10
13	<12>	1943
13	<13>	57
13	<14>	2
13	<15>	148
13	<16>	359
13	<17>	41
13	<18>	85
13	<19>	337
13	<20>	156
13	<21>	508
13	<22>	113
7	BMORI	98
7	DMELA	295
7	VDEST	104
7	MOCCI	164
7	ISCAP	73
7	SSCAB	44
7	TURTI	386
7	TANTI*	8
7	NCLAV*	2
7	PTEPI*	6
7	LHESP*	0
7	SMIMO*	2
7	LRECL*	4
7	CSCUL*	23
7	LPOLY	288
7	CROTU	424
7	TANTI	107
7	NCLAV	73
7	PTEPI	211
7	LHESP	13
7	SMIMO	51
7	LRECL	23
7	CSCUL	555
7	<1>	43
7	<2>	125
7	<3>	18
7	<4>	2
7	<5>	1
7	<6>	2
7	<7>	11
7	<8>	0
7	<9>	1
7	<10>	3
7	<11>	20
7	<12>	1943
7	<13>	58
7	<14>	4
7	<15>	154
7	<16>	370
7	<17>	41
7	<18>	91
7	<19>	336
7	<20>	257
7	<21>	508
7	<22>	113
1	BMORI	98
1	TANTI*	1
1	NCLAV*	5
1	PTEPI*	2
1	LHESP*	0
1	SMIMO*	1
1	LRECL*	0
1	CSCUL*	8
1	DMELA	295
1	VDEST	104
1	MOCCI	164
1	ISCAP	73
1	SSCAB	44
1	TURTI	386
1	LPOLY	288
1	CROTU	424
1	TANTI	114
1	NCLAV	70
1	PTEPI	215
1	LHESP	13
1	SMIMO	52
1	LRECL	27
1	CSCUL	570
1	<1>	1
1	<2>	0
1	<3>	1
1	<4>	2
1	<5>	3
1	<6>	2
1	<7>	0
1	<8>	43
1	<9>	125
1	<10>	18
1	<11>	19
1	<12>	1943
1	<13>	59
1	<14>	5
1	<15>	155
1	<16>	379
1	<17>	38
1	<18>	90
1	<19>	417
1	<20>	318
1	<21>	507
1	<22>	113
