mul.tree	node	dups
0	BMORI	98
0	DMELA	295
0	ISCAP	73
0	MOCCI	163
0	VDEST	104
0	CSCUL	622
0	SSCAB	44
0	TURTI	386
0	LRECL	29
0	SMIMO	54
0	NCLAV	75
0	TANTI	115
0	LHESP	13
0	PTEPI	216
0	LPOLY	288
0	CROTU	427
0	<1>	42
0	<2>	120
0	<3>	18
0	<4>	20
0	<5>	60
0	<6>	5
0	<7>	171
0	<8>	428
0	<9>	48
0	<10>	9
0	<11>	135
0	<12>	1931
0	<13>	736
0	<14>	511
0	<15>	110
9	BMORI	98
9	DMELA	295
9	ISCAP	73
9	MOCCI	163
9	VDEST	104
9	CSCUL	622
9	SSCAB	44
9	TURTI	386
9	LRECL	29
9	LPOLY*	0
9	CROTU*	3
9	SMIMO	54
9	NCLAV	75
9	TANTI	115
9	LHESP	13
9	PTEPI	216
9	LPOLY	288
9	CROTU	424
9	<1>	42
9	<2>	120
9	<3>	18
9	<4>	20
9	<5>	25
9	<6>	0
9	<7>	60
9	<8>	5
9	<9>	171
9	<10>	428
9	<11>	56
9	<12>	11
9	<13>	143
9	<14>	1906
9	<15>	649
9	<16>	511
9	<17>	110
13	BMORI	98
13	DMELA	295
13	ISCAP	73
13	MOCCI	163
13	VDEST	104
13	CSCUL	622
13	SSCAB	44
13	TURTI	386
13	LRECL	29
13	SMIMO	54
13	NCLAV	75
13	TANTI	115
13	LHESP	13
13	LPOLY*	0
13	CROTU*	0
13	PTEPI	216
13	LPOLY	288
13	CROTU	427
13	<1>	42
13	<2>	120
13	<3>	18
13	<4>	20
13	<5>	60
13	<6>	2
13	<7>	0
13	<8>	5
13	<9>	173
13	<10>	430
13	<11>	48
13	<12>	9
13	<13>	135
13	<14>	1929
13	<15>	728
13	<16>	511
13	<17>	110
11	BMORI	98
11	DMELA	295
11	ISCAP	73
11	MOCCI	163
11	VDEST	104
11	CSCUL	622
11	SSCAB	44
11	TURTI	386
11	LRECL	29
11	SMIMO	54
11	NCLAV	75
11	LPOLY*	0
11	CROTU*	0
11	TANTI	115
11	LHESP	13
11	PTEPI	216
11	LPOLY	288
11	CROTU	427
11	<1>	42
11	<2>	120
11	<3>	18
11	<4>	20
11	<5>	2
11	<6>	0
11	<7>	60
11	<8>	5
11	<9>	172
11	<10>	430
11	<11>	48
11	<12>	9
11	<13>	135
11	<14>	1929
11	<15>	728
11	<16>	511
11	<17>	110
26	BMORI	98
26	DMELA	295
26	ISCAP	73
26	MOCCI	163
26	VDEST	104
26	CSCUL	622
26	SSCAB	44
26	TURTI	386
26	LRECL	29
26	SMIMO	54
26	NCLAV	75
26	TANTI	115
26	LHESP	13
26	PTEPI	216
26	LPOLY	185
26	CROTU	272
26	LPOLY*	56
26	CROTU*	90
26	<1>	42
26	<2>	120
26	<3>	18
26	<4>	20
26	<5>	60
26	<6>	5
26	<7>	171
26	<8>	428
26	<9>	48
26	<10>	9
26	<11>	135
26	<12>	460
26	<13>	58
26	<14>	100
26	<15>	736
26	<16>	511
26	<17>	110
7	BMORI	98
7	DMELA	295
7	ISCAP	73
7	MOCCI	163
7	VDEST	104
7	CSCUL	622
7	SSCAB	44
7	LPOLY*	1
7	CROTU*	2
7	TURTI	386
7	LRECL	29
7	SMIMO	54
7	NCLAV	75
7	TANTI	115
7	LHESP	13
7	PTEPI	216
7	LPOLY	287
7	CROTU	425
7	<1>	42
7	<2>	120
7	<3>	18
7	<4>	6
7	<5>	0
7	<6>	24
7	<7>	60
7	<8>	5
7	<9>	171
7	<10>	428
7	<11>	48
7	<12>	9
7	<13>	138
7	<14>	1925
7	<15>	693
7	<16>	511
7	<17>	110
