mul.tree	node	dups
709	NCLAV	54
709	TANTI	101
709	PTEPI	171
709	LHESP	11
709	SMIMO	45
709	LRECL	24
709	CSCUL	530
709	MOCCI	90
709	VDEST	57
709	ISCAP	34
709	TURTI	350
709	SSCAB	41
709	LPOLY	287
709	CROTU	414
709	NCLAV*	21
709	TANTI*	13
709	PTEPI*	35
709	LHESP*	2
709	SMIMO*	9
709	LRECL*	3
709	CSCUL*	109
709	MOCCI*	67
709	VDEST*	42
709	ISCAP*	36
709	DMELA	239
709	BMORI	94
709	<1>	49
709	<2>	5
709	<3>	147
709	<4>	332
709	<5>	39
709	<6>	124
709	<7>	64
709	<8>	5
709	<9>	21
709	<10>	17
709	<11>	81
709	<12>	2054
709	<13>	496
709	<14>	10
709	<15>	0
709	<16>	21
709	<17>	46
709	<18>	11
709	<19>	14
709	<20>	56
709	<21>	7
709	<22>	10
709	<23>	205
709	<24>	37
709	<25>	110
696	NCLAV	75
696	TANTI	114
696	PTEPI	206
696	LHESP	13
696	SMIMO	54
696	LRECL	27
696	CSCUL	639
696	MOCCI	101
696	VDEST	64
696	ISCAP	54
696	TURTI	350
696	SSCAB	41
696	LPOLY	287
696	CROTU	414
696	MOCCI*	56
696	VDEST*	35
696	ISCAP*	16
696	DMELA	239
696	BMORI	94
696	<1>	59
696	<2>	5
696	<3>	168
696	<4>	378
696	<5>	50
696	<6>	138
696	<7>	71
696	<8>	7
696	<9>	23
696	<10>	17
696	<11>	84
696	<12>	2054
696	<13>	697
696	<14>	49
696	<15>	5
696	<16>	202
696	<17>	37
696	<18>	110
0	NCLAV	75
0	TANTI	114
0	PTEPI	206
0	LHESP	13
0	SMIMO	54
0	LRECL	27
0	CSCUL	639
0	MOCCI	157
0	VDEST	99
0	ISCAP	70
0	TURTI	350
0	SSCAB	41
0	LPOLY	287
0	CROTU	414
0	DMELA	239
0	BMORI	94
0	<1>	59
0	<2>	5
0	<3>	168
0	<4>	378
0	<5>	50
0	<6>	138
0	<7>	120
0	<8>	12
0	<9>	32
0	<10>	17
0	<11>	146
0	<12>	2054
0	<13>	1983
0	<14>	37
0	<15>	110
68	NCLAV	75
68	TANTI	114
68	PTEPI	176
68	LHESP	13
68	SMIMO	54
68	LRECL	27
68	PTEPI*	30
68	CSCUL	639
68	MOCCI	157
68	VDEST	99
68	ISCAP	70
68	TURTI	350
68	SSCAB	41
68	LPOLY	287
68	CROTU	414
68	DMELA	239
68	BMORI	94
68	<1>	59
68	<2>	5
68	<3>	125
68	<4>	244
68	<5>	0
68	<6>	76
68	<7>	138
68	<8>	120
68	<9>	12
68	<10>	32
68	<11>	17
68	<12>	146
68	<13>	2054
68	<14>	1983
68	<15>	37
68	<16>	110
556	NCLAV	51
556	TANTI	100
556	PTEPI	173
556	LHESP	9
556	SMIMO	54
556	LRECL	27
556	NCLAV*	24
556	TANTI*	14
556	PTEPI*	33
556	LHESP*	4
556	CSCUL	639
556	MOCCI	157
556	VDEST	99
556	ISCAP	70
556	TURTI	350
556	SSCAB	41
556	LPOLY	287
556	CROTU	414
556	DMELA	239
556	BMORI	94
556	<1>	57
556	<2>	5
556	<3>	51
556	<4>	119
556	<5>	2
556	<6>	0
556	<7>	16
556	<8>	5
556	<9>	29
556	<10>	138
556	<11>	120
556	<12>	12
556	<13>	32
556	<14>	17
556	<15>	146
556	<16>	2054
556	<17>	1983
556	<18>	37
556	<19>	110
747	NCLAV	45
747	TANTI	99
747	PTEPI	185
747	LHESP	12
747	SMIMO	48
747	LRECL	22
747	CSCUL	576
747	MOCCI	84
747	VDEST	48
747	ISCAP	50
747	TURTI	313
747	SSCAB	35
747	LPOLY	287
747	CROTU	414
747	NCLAV*	30
747	TANTI*	15
747	PTEPI*	21
747	LHESP*	1
747	SMIMO*	6
747	LRECL*	5
747	CSCUL*	63
747	MOCCI*	73
747	VDEST*	51
747	ISCAP*	20
747	TURTI*	37
747	SSCAB*	6
747	DMELA	239
747	BMORI	94
747	<1>	51
747	<2>	4
747	<3>	157
747	<4>	350
747	<5>	44
747	<6>	132
747	<7>	63
747	<8>	5
747	<9>	15
747	<10>	15
747	<11>	73
747	<12>	2054
747	<13>	362
747	<14>	8
747	<15>	1
747	<16>	11
747	<17>	28
747	<18>	6
747	<19>	6
747	<20>	57
747	<21>	7
747	<22>	16
747	<23>	2
747	<24>	71
747	<25>	5
747	<26>	37
747	<27>	110
