mul.tree	node	dups
914	BMORI	97
914	DMELA	264
914	VDEST	110
914	MOCCI	188
914	HLONG	128
914	ISCAP	49
914	CROTU	266
914	TGIGA	85
914	LPOLY	136
914	SSCAB	51
914	TURTI	412
914	CSCUL	625
914	LRECL	32
914	SMIMO	56
914	LHESP	15
914	ABRUE+	52
914	NCLAV+	8
914	TANTI+	39
914	ABRUE*	69
914	NCLAV*	86
914	TANTI*	69
914	<1>	54
914	<2>	122
914	<3>	24
914	<4>	13
914	<5>	194
914	<6>	2401
914	<7>	15
914	<8>	25
914	<9>	20
914	<10>	24
914	<11>	208
914	<12>	19
914	<13>	27
914	<14>	89
914	<15>	28
914	<16>	162
914	<17>	460
914	<18>	1187
914	<19>	994
914	<20>	430
901	BMORI	97
901	DMELA	264
901	VDEST	110
901	MOCCI	188
901	HLONG	128
901	ISCAP	49
901	CROTU	266
901	TGIGA	85
901	LPOLY	136
901	SSCAB	51
901	TURTI	412
901	CSCUL	625
901	LRECL	32
901	ABRUE*	31
901	NCLAV*	67
901	TANTI*	24
901	SMIMO	56
901	LHESP	15
901	ABRUE+	90
901	NCLAV+	27
901	TANTI+	84
901	<1>	54
901	<2>	122
901	<3>	24
901	<4>	13
901	<5>	194
901	<6>	2401
901	<7>	15
901	<8>	8
901	<9>	8
901	<10>	2
901	<11>	44
901	<12>	60
901	<13>	24
901	<14>	211
901	<15>	35
901	<16>	162
901	<17>	460
901	<18>	1187
901	<19>	994
901	<20>	430
913	BMORI	97
913	DMELA	264
913	VDEST	110
913	MOCCI	188
913	HLONG	128
913	ISCAP	49
913	CROTU	266
913	TGIGA	85
913	LPOLY	136
913	SSCAB	51
913	TURTI	412
913	CSCUL	625
913	LRECL	32
913	SMIMO	56
913	LHESP	15
913	ABRUE+	41
913	NCLAV+	7
913	TANTI+	31
913	ABRUE*	80
913	NCLAV*	87
913	TANTI*	77
913	<1>	54
913	<2>	122
913	<3>	24
913	<4>	13
913	<5>	194
913	<6>	2401
913	<7>	15
913	<8>	17
913	<9>	22
913	<10>	19
913	<11>	144
913	<12>	35
913	<13>	43
913	<14>	46
913	<15>	60
913	<16>	162
913	<17>	460
913	<18>	1187
913	<19>	994
913	<20>	430
868	BMORI	97
868	DMELA	264
868	VDEST	110
868	MOCCI	188
868	HLONG	128
868	ISCAP	49
868	CROTU	266
868	TGIGA	85
868	LPOLY	136
868	SSCAB	51
868	TURTI	412
868	CSCUL	625
868	LRECL	32
868	NCLAV*	62
868	TANTI*	13
868	SMIMO	56
868	LHESP	15
868	ABRUE	121
868	NCLAV+	32
868	TANTI+	95
868	<1>	54
868	<2>	122
868	<3>	24
868	<4>	13
868	<5>	194
868	<6>	2401
868	<7>	15
868	<8>	1
868	<9>	1
868	<10>	51
868	<11>	107
868	<12>	34
868	<13>	276
868	<14>	51
868	<15>	162
868	<16>	460
868	<17>	1187
868	<18>	994
868	<19>	430
608	BMORI	97
608	DMELA	264
608	VDEST	110
608	MOCCI	188
608	HLONG	128
608	ISCAP	49
608	CROTU	266
608	TGIGA	85
608	LPOLY	136
608	SSCAB	51
608	TURTI	412
608	CSCUL	625
608	LRECL	32
608	TANTI*	10
608	SMIMO	56
608	LHESP	15
608	ABRUE	121
608	NCLAV	94
608	TANTI+	98
608	<1>	54
608	<2>	122
608	<3>	24
608	<4>	13
608	<5>	194
608	<6>	2401
608	<7>	15
608	<8>	0
608	<9>	52
608	<10>	108
608	<11>	35
608	<12>	262
608	<13>	93
608	<14>	162
608	<15>	460
608	<16>	1187
608	<17>	994
608	<18>	430
0	BMORI	97
0	DMELA	264
0	VDEST	110
0	MOCCI	188
0	HLONG	128
0	ISCAP	49
0	CROTU	266
0	TGIGA	85
0	LPOLY	136
0	SSCAB	51
0	TURTI	412
0	CSCUL	625
0	LRECL	32
0	SMIMO	56
0	LHESP	15
0	ABRUE	121
0	NCLAV	94
0	TANTI	108
0	<1>	54
0	<2>	122
0	<3>	24
0	<4>	13
0	<5>	194
0	<6>	2401
0	<7>	15
0	<8>	52
0	<9>	109
0	<10>	35
0	<11>	307
0	<12>	60
0	<13>	162
0	<14>	460
0	<15>	1187
0	<16>	994
0	<17>	430
