mul.tree	h1.node	h2.node	score	labeled.tree
914	<9>	<12>	57114	((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,(HLONG,ISCAP)<3>)<4>,(((CROTU,TGIGA)<5>,LPOLY)<6>,((SSCAB,TURTI)<7>,(CSCUL,((LRECL,(SMIMO,(LHESP,(ABRUE+,(NCLAV+,TANTI+)<8>)<9>)<10>)<11>)<12>,(ABRUE*,(NCLAV*,TANTI*)<13>)<14>)<15>)<16>)<17>)<18>)<19>)<20>
901	<9>	LRECL	57663	((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,(HLONG,ISCAP)<3>)<4>,(((CROTU,TGIGA)<5>,LPOLY)<6>,((SSCAB,TURTI)<7>,(CSCUL,((LRECL,(ABRUE*,(NCLAV*,TANTI*)<8>)<9>)<10>,(SMIMO,(LHESP,(ABRUE+,(NCLAV+,TANTI+)<11>)<12>)<13>)<14>)<15>)<16>)<17>)<18>)<19>)<20>
913	<9>	<11>	58270	((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,(HLONG,ISCAP)<3>)<4>,(((CROTU,TGIGA)<5>,LPOLY)<6>,((SSCAB,TURTI)<7>,(CSCUL,(LRECL,((SMIMO,(LHESP,(ABRUE+,(NCLAV+,TANTI+)<8>)<9>)<10>)<11>,(ABRUE*,(NCLAV*,TANTI*)<12>)<13>)<14>)<15>)<16>)<17>)<18>)<19>)<20>
868	<8>	LRECL	58687	((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,(HLONG,ISCAP)<3>)<4>,(((CROTU,TGIGA)<5>,LPOLY)<6>,((SSCAB,TURTI)<7>,(CSCUL,((LRECL,(NCLAV*,TANTI*)<8>)<9>,(SMIMO,(LHESP,(ABRUE,(NCLAV+,TANTI+)<10>)<11>)<12>)<13>)<14>)<15>)<16>)<17>)<18>)<19>
608	TANTI	LRECL	58888	((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,(HLONG,ISCAP)<3>)<4>,(((CROTU,TGIGA)<5>,LPOLY)<6>,((SSCAB,TURTI)<7>,(CSCUL,((LRECL,TANTI*)<8>,(SMIMO,(LHESP,(ABRUE,(NCLAV,TANTI+)<9>)<10>)<11>)<12>)<13>)<14>)<15>)<16>)<17>)<18>
0	NA	NA	58993	((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,(HLONG,ISCAP)<3>)<4>,(((CROTU,TGIGA)<5>,LPOLY)<6>,((SSCAB,TURTI)<7>,(CSCUL,(LRECL,(SMIMO,(LHESP,(ABRUE,(NCLAV,TANTI)<8>)<9>)<10>)<11>)<12>)<13>)<14>)<15>)<16>)<17>
971	<11>	<13>	59154	((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,(HLONG,ISCAP)<3>)<4>,(((CROTU,TGIGA)<5>,LPOLY)<6>,((SSCAB,TURTI)<7>,((CSCUL,(LRECL,(SMIMO+,(LHESP+,(ABRUE+,(NCLAV+,TANTI+)<8>)<9>)<10>)<11>)<12>)<13>,(SMIMO*,(LHESP*,(ABRUE*,(NCLAV*,TANTI*)<14>)<15>)<16>)<17>)<18>)<19>)<20>)<21>)<22>
902	<9>	SMIMO	59387	((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,(HLONG,ISCAP)<3>)<4>,(((CROTU,TGIGA)<5>,LPOLY)<6>,((SSCAB,TURTI)<7>,(CSCUL,(LRECL,((SMIMO,(ABRUE*,(NCLAV*,TANTI*)<8>)<9>)<10>,(LHESP,(ABRUE+,(NCLAV+,TANTI+)<11>)<12>)<13>)<14>)<15>)<16>)<17>)<18>)<19>)<20>
801	<6>	LRECL	59389	((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,(HLONG,ISCAP)<3>)<4>,(((CROTU+,TGIGA+)<5>,LPOLY+)<6>,((SSCAB,TURTI)<7>,(CSCUL,((LRECL,((CROTU*,TGIGA*)<8>,LPOLY*)<9>)<10>,(SMIMO,(LHESP,(ABRUE,(NCLAV,TANTI)<11>)<12>)<13>)<14>)<15>)<16>)<17>)<18>)<19>)<20>
932	<10>	LRECL	59410	((BMORI,DMELA)<1>,(((VDEST,MOCCI)<2>,(HLONG,ISCAP)<3>)<4>,(((CROTU,TGIGA)<5>,LPOLY)<6>,((SSCAB,TURTI)<7>,(CSCUL,((LRECL,(LHESP*,(ABRUE*,(NCLAV*,TANTI*)<8>)<9>)<10>)<11>,(SMIMO,(LHESP+,(ABRUE+,(NCLAV+,TANTI+)<12>)<13>)<14>)<15>)<16>)<17>)<18>)<19>)<20>)<21>
