mul.tree	h1.node	h2.node	score	labeled.tree
0	NA	NA	60226	(((HLONG,ISCAP)<1>,(((LPOLY,(CROTU,TGIGA)<2>)<3>,((TURTI,SSCAB)<4>,(CSCUL,(LRECL,((SMIMO,LHESP)<5>,(ABRUE,(NCLAV,TANTI)<6>)<7>)<8>)<9>)<10>)<11>)<12>,(VDEST,MOCCI)<13>)<14>)<15>,(DMELA,BMORI)<16>)<17>
6	<3>	LRECL	60610	(((HLONG,ISCAP)<1>,(((LPOLY+,(CROTU+,TGIGA+)<2>)<3>,((TURTI,SSCAB)<4>,(CSCUL,((LRECL,(LPOLY*,(CROTU*,TGIGA*)<5>)<6>)<7>,((SMIMO,LHESP)<8>,(ABRUE,(NCLAV,TANTI)<9>)<10>)<11>)<12>)<13>)<14>)<15>,(VDEST,MOCCI)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
8	<3>	LHESP	61589	(((HLONG,ISCAP)<1>,(((LPOLY+,(CROTU+,TGIGA+)<2>)<3>,((TURTI,SSCAB)<4>,(CSCUL,(LRECL,((SMIMO,(LHESP,(LPOLY*,(CROTU*,TGIGA*)<5>)<6>)<7>)<8>,(ABRUE,(NCLAV,TANTI)<9>)<10>)<11>)<12>)<13>)<14>)<15>,(VDEST,MOCCI)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
10	<3>	NCLAV	62679	(((HLONG,ISCAP)<1>,(((LPOLY+,(CROTU+,TGIGA+)<2>)<3>,((TURTI,SSCAB)<4>,(CSCUL,(LRECL,((SMIMO,LHESP)<5>,(ABRUE,((NCLAV,(LPOLY*,(CROTU*,TGIGA*)<6>)<7>)<8>,TANTI)<9>)<10>)<11>)<12>)<13>)<14>)<15>,(VDEST,MOCCI)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
1	<3>	HLONG	62846	((((HLONG,(LPOLY*,(CROTU*,TGIGA*)<1>)<2>)<3>,ISCAP)<4>,(((LPOLY+,(CROTU+,TGIGA+)<5>)<6>,((TURTI,SSCAB)<7>,(CSCUL,(LRECL,((SMIMO,LHESP)<8>,(ABRUE,(NCLAV,TANTI)<9>)<10>)<11>)<12>)<13>)<14>)<15>,(VDEST,MOCCI)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
17	<3>	<3>	63453	(((HLONG,ISCAP)<1>,((((LPOLY+,(CROTU+,TGIGA+)<2>)<3>,(LPOLY*,(CROTU*,TGIGA*)<4>)<5>)<6>,((TURTI,SSCAB)<7>,(CSCUL,(LRECL,((SMIMO,LHESP)<8>,(ABRUE,(NCLAV,TANTI)<9>)<10>)<11>)<12>)<13>)<14>)<15>,(VDEST,MOCCI)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
4	<3>	SSCAB	63619	(((HLONG,ISCAP)<1>,(((LPOLY+,(CROTU+,TGIGA+)<2>)<3>,((TURTI,(SSCAB,(LPOLY*,(CROTU*,TGIGA*)<4>)<5>)<6>)<7>,(CSCUL,(LRECL,((SMIMO,LHESP)<8>,(ABRUE,(NCLAV,TANTI)<9>)<10>)<11>)<12>)<13>)<14>)<15>,(VDEST,MOCCI)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
7	<3>	SMIMO	64102	(((HLONG,ISCAP)<1>,(((LPOLY+,(CROTU+,TGIGA+)<2>)<3>,((TURTI,SSCAB)<4>,(CSCUL,(LRECL,(((SMIMO,(LPOLY*,(CROTU*,TGIGA*)<5>)<6>)<7>,LHESP)<8>,(ABRUE,(NCLAV,TANTI)<9>)<10>)<11>)<12>)<13>)<14>)<15>,(VDEST,MOCCI)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
2	<3>	ISCAP	64128	(((HLONG,(ISCAP,(LPOLY*,(CROTU*,TGIGA*)<1>)<2>)<3>)<4>,(((LPOLY+,(CROTU+,TGIGA+)<5>)<6>,((TURTI,SSCAB)<7>,(CSCUL,(LRECL,((SMIMO,LHESP)<8>,(ABRUE,(NCLAV,TANTI)<9>)<10>)<11>)<12>)<13>)<14>)<15>,(VDEST,MOCCI)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
3	<3>	TURTI	64395	(((HLONG,ISCAP)<1>,(((LPOLY+,(CROTU+,TGIGA+)<2>)<3>,(((TURTI,(LPOLY*,(CROTU*,TGIGA*)<4>)<5>)<6>,SSCAB)<7>,(CSCUL,(LRECL,((SMIMO,LHESP)<8>,(ABRUE,(NCLAV,TANTI)<9>)<10>)<11>)<12>)<13>)<14>)<15>,(VDEST,MOCCI)<16>)<17>)<18>,(DMELA,BMORI)<19>)<20>
