mul.tree	node	dups
0	HLONG	132
0	ISCAP	53
0	LPOLY	136
0	CROTU	278
0	TGIGA	85
0	TURTI	454
0	SSCAB	56
0	CSCUL	672
0	LRECL	31
0	SMIMO	57
0	LHESP	15
0	ABRUE	128
0	NCLAV	94
0	TANTI	109
0	VDEST	123
0	MOCCI	228
0	DMELA	333
0	BMORI	99
0	<1>	26
0	<2>	196
0	<3>	2465
0	<4>	16
0	<5>	1
0	<6>	54
0	<7>	112
0	<8>	485
0	<9>	61
0	<10>	167
0	<11>	459
0	<12>	1210
0	<13>	127
0	<14>	159
0	<15>	1141
0	<16>	63
0	<17>	432
14	HLONG	132
14	ISCAP	53
14	LPOLY	136
14	CROTU	278
14	TGIGA	85
14	CSCUL*	181
14	LRECL*	7
14	SMIMO*	22
14	LHESP*	6
14	ABRUE*	36
14	NCLAV*	37
14	TANTI*	38
14	TURTI	454
14	SSCAB	56
14	CSCUL+	491
14	LRECL+	24
14	SMIMO+	35
14	LHESP+	9
14	ABRUE+	92
14	NCLAV+	57
14	TANTI+	71
14	VDEST	123
14	MOCCI	228
14	DMELA	333
14	BMORI	99
14	<1>	26
14	<2>	196
14	<3>	2465
14	<4>	0
14	<5>	19
14	<6>	36
14	<7>	132
14	<8>	17
14	<9>	35
14	<10>	82
14	<11>	16
14	<12>	1
14	<13>	35
14	<14>	76
14	<15>	353
14	<16>	44
14	<17>	131
14	<18>	444
14	<19>	371
14	<20>	127
14	<21>	159
14	<22>	1141
14	<23>	63
14	<24>	432
1	HLONG	132
1	CSCUL*	8
1	LRECL*	4
1	SMIMO*	4
1	LHESP*	0
1	ABRUE*	6
1	NCLAV*	10
1	TANTI*	5
1	ISCAP	53
1	LPOLY	136
1	CROTU	278
1	TGIGA	85
1	TURTI	454
1	SSCAB	56
1	CSCUL+	664
1	LRECL+	27
1	SMIMO+	53
1	LHESP+	15
1	ABRUE+	122
1	NCLAV+	84
1	TANTI+	104
1	VDEST	123
1	MOCCI	228
1	DMELA	333
1	BMORI	99
1	<1>	0
1	<2>	2
1	<3>	5
1	<4>	13
1	<5>	6
1	<6>	1
1	<7>	0
1	<8>	44
1	<9>	196
1	<10>	2465
1	<11>	16
1	<12>	1
1	<13>	52
1	<14>	107
1	<15>	472
1	<16>	55
1	<17>	166
1	<18>	450
1	<19>	1162
1	<20>	127
1	<21>	152
1	<22>	1094
1	<23>	63
1	<24>	432
7	HLONG	132
7	ISCAP	53
7	LPOLY	136
7	CROTU	278
7	TGIGA	85
7	TURTI	454
7	SSCAB	56
7	CSCUL*	37
7	LRECL*	1
7	SMIMO*	5
7	LHESP*	0
7	ABRUE*	15
7	NCLAV*	2
7	TANTI*	13
7	CSCUL+	635
7	LRECL+	30
7	SMIMO+	52
7	LHESP+	15
7	ABRUE+	113
7	NCLAV+	92
7	TANTI+	96
7	VDEST	123
7	MOCCI	228
7	DMELA	333
7	BMORI	99
7	<1>	26
7	<2>	196
7	<3>	2465
7	<4>	0
7	<5>	7
7	<6>	7
7	<7>	46
7	<8>	1
7	<9>	3
7	<10>	0
7	<11>	16
7	<12>	1
7	<13>	47
7	<14>	105
7	<15>	439
7	<16>	60
7	<17>	164
7	<18>	295
7	<19>	1210
7	<20>	127
7	<21>	159
7	<22>	1141
7	<23>	63
7	<24>	432
2	HLONG	132
2	ISCAP	53
2	CSCUL*	8
2	LRECL*	4
2	SMIMO*	4
2	LHESP*	0
2	ABRUE*	6
2	NCLAV*	10
2	TANTI*	5
2	LPOLY	136
2	CROTU	278
2	TGIGA	85
2	TURTI	454
2	SSCAB	56
2	CSCUL+	664
2	LRECL+	27
2	SMIMO+	53
2	LHESP+	15
2	ABRUE+	122
2	NCLAV+	84
2	TANTI+	104
2	VDEST	123
2	MOCCI	228
2	DMELA	333
2	BMORI	99
2	<1>	0
2	<2>	2
2	<3>	5
2	<4>	13
2	<5>	6
2	<6>	1
2	<7>	2
2	<8>	42
2	<9>	196
2	<10>	2465
2	<11>	16
2	<12>	1
2	<13>	52
2	<14>	107
2	<15>	472
2	<16>	55
2	<17>	166
2	<18>	450
2	<19>	1162
2	<20>	127
2	<21>	152
2	<22>	1094
2	<23>	63
2	<24>	432
12	HLONG	132
12	ISCAP	53
12	CSCUL*	9
12	LRECL*	4
12	SMIMO*	4
12	LHESP*	0
12	ABRUE*	6
12	NCLAV*	12
12	TANTI*	5
12	LPOLY	136
12	CROTU	278
12	TGIGA	85
12	TURTI	454
12	SSCAB	56
12	CSCUL+	663
12	LRECL+	27
12	SMIMO+	53
12	LHESP+	15
12	ABRUE+	122
12	NCLAV+	82
12	TANTI+	104
12	VDEST	123
12	MOCCI	228
12	DMELA	333
12	BMORI	99
12	<1>	26
12	<2>	0
12	<3>	2
12	<4>	5
12	<5>	16
12	<6>	7
12	<7>	1
12	<8>	2
12	<9>	196
12	<10>	2465
12	<11>	16
12	<12>	1
12	<13>	52
12	<14>	107
12	<15>	469
12	<16>	54
12	<17>	166
12	<18>	450
12	<19>	1158
12	<20>	127
12	<21>	145
12	<22>	1103
12	<23>	63
12	<24>	432
