mul.tree	node	dups
1063	DMELA	238
1063	BMORI	80
1063	ISCAP	39
1063	HLONG	107
1063	VDEST	90
1063	MOCCI	150
1063	LPOLY	34
1063	CROTU	193
1063	TGIGA	49
1063	CSCUL	415
1063	LRECL	30
1063	SMIMO+	22
1063	ABRUE+	39
1063	NCLAV+	15
1063	TANTI+	37
1063	PTEPI+	56
1063	LHESP+	3
1063	SSCAB	33
1063	TURTI	383
1063	SMIMO*	22
1063	ABRUE*	44
1063	NCLAV*	73
1063	TANTI*	53
1063	PTEPI*	94
1063	LHESP*	3
1063	<1>	67
1063	<2>	39
1063	<3>	142
1063	<4>	101
1063	<5>	86
1063	<6>	2917
1063	<7>	22
1063	<8>	12
1063	<9>	5
1063	<10>	146
1063	<11>	952
1063	<12>	142
1063	<13>	271
1063	<14>	665
1063	<15>	41
1063	<16>	16
1063	<17>	30
1063	<18>	7
1063	<19>	188
1063	<20>	1169
1063	<21>	303
1063	<22>	3957
1063	<23>	6119
1063	<24>	2734
1142	DMELA	238
1142	BMORI	80
1142	ISCAP	39
1142	HLONG	107
1142	VDEST	90
1142	MOCCI	150
1142	LPOLY	34
1142	CROTU	193
1142	TGIGA	49
1142	CSCUL	415
1142	LRECL	30
1142	SSCAB*	8
1142	TURTI*	112
1142	SMIMO	44
1142	ABRUE	83
1142	NCLAV	88
1142	TANTI	90
1142	PTEPI	150
1142	LHESP	6
1142	SSCAB+	25
1142	TURTI+	271
1142	<1>	67
1142	<2>	39
1142	<3>	142
1142	<4>	101
1142	<5>	86
1142	<6>	2917
1142	<7>	9
1142	<8>	2
1142	<9>	38
1142	<10>	42
1142	<11>	12
1142	<12>	334
1142	<13>	2121
1142	<14>	665
1142	<15>	865
1142	<16>	2175
1142	<17>	32
1142	<18>	1317
1142	<19>	6119
1142	<20>	2734
1036	DMELA	238
1036	BMORI	80
1036	ISCAP	39
1036	HLONG	107
1036	VDEST	90
1036	MOCCI	150
1036	LPOLY	34
1036	CROTU	193
1036	TGIGA	49
1036	CSCUL	415
1036	LRECL	30
1036	SMIMO	44
1036	ABRUE+	63
1036	NCLAV+	12
1036	TANTI+	68
1036	PTEPI+	98
1036	LHESP+	5
1036	SSCAB	33
1036	TURTI	383
1036	ABRUE*	20
1036	NCLAV*	76
1036	TANTI*	22
1036	PTEPI*	52
1036	LHESP*	1
1036	<1>	67
1036	<2>	39
1036	<3>	142
1036	<4>	101
1036	<5>	86
1036	<6>	2917
1036	<7>	35
1036	<8>	32
1036	<9>	11
1036	<10>	186
1036	<11>	1580
1036	<12>	158
1036	<13>	228
1036	<14>	841
1036	<15>	41
1036	<16>	3
1036	<17>	10
1036	<18>	1
1036	<19>	148
1036	<20>	120
1036	<21>	4717
1036	<22>	6119
1036	<23>	2734
1088	DMELA	238
1088	BMORI	80
1088	ISCAP	39
1088	HLONG	107
1088	VDEST	90
1088	MOCCI	150
1088	LPOLY	34
1088	CROTU	193
1088	TGIGA	49
1088	CSCUL	415
1088	LRECL+	7
1088	SMIMO+	18
1088	ABRUE+	44
1088	NCLAV+	27
1088	TANTI+	37
1088	PTEPI+	65
1088	LHESP+	2
1088	SSCAB	33
1088	TURTI	383
1088	LRECL*	23
1088	SMIMO*	26
1088	ABRUE*	39
1088	NCLAV*	61
1088	TANTI*	53
1088	PTEPI*	85
1088	LHESP*	4
1088	<1>	67
1088	<2>	39
1088	<3>	142
1088	<4>	101
1088	<5>	86
1088	<6>	2917
1088	<7>	25
1088	<8>	18
1088	<9>	5
1088	<10>	154
1088	<11>	980
1088	<12>	79
1088	<13>	274
1088	<14>	979
1088	<15>	41
1088	<16>	13
1088	<17>	24
1088	<18>	7
1088	<19>	180
1088	<20>	1141
1088	<21>	103
1088	<22>	380
1088	<23>	3371
1088	<24>	6119
1088	<25>	2734
1051	DMELA	238
1051	BMORI	80
1051	ISCAP	39
1051	HLONG	107
1051	VDEST	90
1051	MOCCI	150
1051	LPOLY	34
1051	CROTU	193
1051	TGIGA	49
1051	CSCUL	415
1051	LRECL	30
1051	SMIMO+	22
1051	ABRUE+	50
1051	NCLAV+	30
1051	TANTI+	43
1051	PTEPI+	76
1051	LHESP+	3
1051	SSCAB	33
1051	SMIMO*	22
