mul.tree	node	dups
8	DMELA	321
8	BMORI	85
8	ISCAP	45
8	HLONG	118
8	VDEST	121
8	MOCCI	188
8	LPOLY+	34
8	CROTU+	190
8	TGIGA+	37
8	CSCUL	476
8	LRECL	31
8	LPOLY*	1
8	CROTU*	17
8	TGIGA*	12
8	SMIMO	49
8	ABRUE	93
8	NCLAV	88
8	TANTI	96
8	PTEPI	167
8	LHESP	8
8	SSCAB	40
8	TURTI	431
8	<1>	77
8	<2>	46
8	<3>	157
8	<4>	122
8	<5>	79
8	<6>	2747
8	<7>	9
8	<8>	223
8	<9>	9
8	<10>	41
8	<11>	47
8	<12>	13
8	<13>	345
8	<14>	2144
8	<15>	320
8	<16>	479
8	<17>	801
8	<18>	46
8	<19>	4870
8	<20>	6147
8	<21>	2803
0	DMELA	321
0	BMORI	85
0	ISCAP	45
0	HLONG	118
0	VDEST	121
0	MOCCI	188
0	LPOLY	35
0	CROTU	207
0	TGIGA	49
0	CSCUL	476
0	LRECL	31
0	SMIMO	49
0	ABRUE	93
0	NCLAV	88
0	TANTI	96
0	PTEPI	167
0	LHESP	8
0	SSCAB	40
0	TURTI	431
0	<1>	77
0	<2>	46
0	<3>	157
0	<4>	122
0	<5>	88
0	<6>	2970
0	<7>	41
0	<8>	47
0	<9>	13
0	<10>	345
0	<11>	2144
0	<12>	192
0	<13>	341
0	<14>	1418
0	<15>	46
0	<16>	4870
0	<17>	6147
0	<18>	2803
14	DMELA	321
14	BMORI	85
14	ISCAP	45
14	HLONG	118
14	VDEST	121
14	MOCCI	188
14	LPOLY+	34
14	CROTU+	202
14	TGIGA+	42
14	CSCUL	476
14	LRECL	31
14	SMIMO	49
14	ABRUE	93
14	NCLAV	88
14	TANTI	96
14	PTEPI	167
14	LHESP	8
14	LPOLY*	1
14	CROTU*	5
14	TGIGA*	7
14	SSCAB	40
14	TURTI	431
14	<1>	77
14	<2>	46
14	<3>	157
14	<4>	122
14	<5>	88
14	<6>	2919
14	<7>	41
14	<8>	47
14	<9>	0
14	<10>	51
14	<11>	0
14	<12>	15
14	<13>	374
14	<14>	2173
14	<15>	211
14	<16>	369
14	<17>	1235
14	<18>	46
14	<19>	4870
14	<20>	6147
14	<21>	2803
4	DMELA	321
4	BMORI	85
4	ISCAP	45
4	HLONG	118
4	LPOLY*	3
4	CROTU*	10
4	TGIGA*	5
4	VDEST	121
4	MOCCI	188
4	LPOLY+	32
4	CROTU+	197
4	TGIGA+	44
4	CSCUL	476
4	LRECL	31
4	SMIMO	49
4	ABRUE	93
4	NCLAV	88
4	TANTI	96
4	PTEPI	167
4	LHESP	8
4	SSCAB	40
4	TURTI	431
4	<1>	77
4	<2>	5
4	<3>	162
4	<4>	4
4	<5>	132
4	<6>	157
4	<7>	130
4	<8>	83
4	<9>	2808
4	<10>	41
4	<11>	47
4	<12>	13
4	<13>	345
4	<14>	2144
4	<15>	192
4	<16>	341
4	<17>	1418
4	<18>	46
4	<19>	4680
4	<20>	5851
4	<21>	2803
11	DMELA	321
11	BMORI	85
11	ISCAP	45
11	HLONG	118
11	VDEST	121
11	MOCCI	188
11	LPOLY+	34
11	CROTU+	204
11	TGIGA+	43
11	CSCUL	476
11	LRECL	31
11	SMIMO	49
11	ABRUE	93
11	NCLAV	88
11	LPOLY*	1
11	CROTU*	3
11	TGIGA*	6
11	TANTI	96
11	PTEPI	167
11	LHESP	8
11	SSCAB	40
11	TURTI	431
11	<1>	77
11	<2>	46
11	<3>	157
11	<4>	122
11	<5>	88
11	<6>	2931
11	<7>	0
11	<8>	39
11	<9>	14
11	<10>	43
11	<11>	55
11	<12>	13
11	<13>	366
11	<14>	2167
11	<15>	209
11	<16>	354
11	<17>	1266
11	<18>	46
11	<19>	4870
11	<20>	6147
11	<21>	2803
31	DMELA	321
31	BMORI	85
31	ISCAP	45
31	HLONG	118
31	VDEST	121
31	MOCCI	188
31	LPOLY+	15
31	CROTU+	112
31	TGIGA+	31
31	CSCUL	476
31	LRECL	31
31	SMIMO	49
31	ABRUE	93
31	NCLAV	88
31	TANTI	96
31	PTEPI	167
31	LHESP	8
31	SSCAB	40
31	TURTI	431
31	LPOLY*	20
31	CROTU*	95
31	TGIGA*	18
31	<1>	77
31	<2>	46
31	<3>	157
31	<4>	122
31	<5>	56
31	<6>	1696
31	<7>	41
31	<8>	47
31	<9>	13
31	<10>	345
31	<11>	2144
31	<12>	192
31	<13>	341
31	<14>	1295
31	<15>	46
31	<16>	2611
31	<17>	32
31	<18>	983
31	<19>	712
31	<20>	6147
31	<21>	2803
