mul.tree	node	dups
53	DMELA	334
53	BMORI	96
53	ISCAP	46
53	HLONG	126
53	VDEST	128
53	MOCCI	209
53	LPOLY	76
53	CROTU	232
53	TGIGA	65
53	CSCUL+	494
53	LRECL+	30
53	SMIMO+	49
53	ABRUE+	80
53	NCLAV+	73
53	TANTI+	72
53	PTEPI+	133
53	LHESP+	8
53	SSCAB	50
53	TURTI	454
53	CSCUL*	98
53	LRECL*	8
53	SMIMO*	6
53	ABRUE*	25
53	NCLAV*	21
53	TANTI*	27
53	PTEPI*	51
53	LHESP*	2
53	<1>	63
53	<2>	41
53	<3>	153
53	<4>	55
53	<5>	119
53	<6>	2836
53	<7>	35
53	<8>	34
53	<9>	10
53	<10>	222
53	<11>	982
53	<12>	64
53	<13>	221
53	<14>	634
53	<15>	25
53	<16>	12
53	<17>	14
53	<18>	4
53	<19>	57
53	<20>	378
53	<21>	25
53	<22>	29
53	<23>	170
53	<24>	628
53	<25>	2231
53	<26>	1087
0	DMELA	334
0	BMORI	96
0	ISCAP	46
0	HLONG	126
0	VDEST	128
0	MOCCI	209
0	LPOLY	76
0	CROTU	232
0	TGIGA	65
0	CSCUL	592
0	LRECL	38
0	SMIMO	55
0	ABRUE	105
0	NCLAV	94
0	TANTI	99
0	PTEPI	184
0	LHESP	10
0	SSCAB	50
0	TURTI	454
0	<1>	63
0	<2>	41
0	<3>	153
0	<4>	55
0	<5>	119
0	<6>	2836
0	<7>	47
0	<8>	48
0	<9>	14
0	<10>	279
0	<11>	1360
0	<12>	89
0	<13>	256
0	<14>	884
0	<15>	25
0	<16>	1885
0	<17>	2231
0	<18>	1087
8	DMELA	334
8	BMORI	96
8	ISCAP	46
8	HLONG	126
8	VDEST	128
8	MOCCI	209
8	LPOLY+	74
8	CROTU+	219
8	TGIGA+	55
8	CSCUL	592
8	LRECL	38
8	LPOLY*	2
8	CROTU*	13
8	TGIGA*	10
8	SMIMO	55
8	ABRUE	105
8	NCLAV	94
8	TANTI	99
8	PTEPI	184
8	LHESP	10
8	SSCAB	50
8	TURTI	454
8	<1>	63
8	<2>	41
8	<3>	153
8	<4>	55
8	<5>	111
8	<6>	2703
8	<7>	8
8	<8>	133
8	<9>	0
8	<10>	47
8	<11>	48
8	<12>	14
8	<13>	279
8	<14>	1360
8	<15>	123
8	<16>	271
8	<17>	537
8	<18>	25
8	<19>	1885
8	<20>	2231
8	<21>	1087
43	DMELA	334
43	BMORI	96
43	ISCAP	46
43	HLONG	126
43	VDEST	128
43	MOCCI	209
43	LPOLY	76
43	CROTU	232
43	TGIGA	65
43	CSCUL+	549
43	LRECL+	35
43	SMIMO+	53
43	ABRUE+	96
43	NCLAV+	81
43	TANTI+	90
43	PTEPI+	167
43	LHESP+	10
43	SSCAB	50
43	CSCUL*	43
43	LRECL*	3
43	SMIMO*	2
43	ABRUE*	9
43	NCLAV*	13
43	TANTI*	9
43	PTEPI*	17
43	LHESP*	0
43	TURTI	454
43	<1>	63
43	<2>	41
43	<3>	153
43	<4>	55
43	<5>	119
43	<6>	2836
43	<7>	42
43	<8>	43
43	<9>	13
43	<10>	256
43	<11>	1195
43	<12>	81
43	<13>	248
43	<14>	641
43	<15>	5
43	<16>	5
43	<17>	1
43	<18>	23
43	<19>	165
43	<20>	8
43	<21>	8
43	<22>	15
43	<23>	55
43	<24>	1335
43	<25>	2231
43	<26>	1087
14	DMELA	334
14	BMORI	96
14	ISCAP	46
14	HLONG	126
14	VDEST	128
14	MOCCI	209
14	LPOLY+	75
14	CROTU+	231
14	TGIGA+	59
14	CSCUL	592
14	LRECL	38
14	SMIMO	55
14	ABRUE	105
14	NCLAV	94
14	TANTI	99
14	PTEPI	184
14	LHESP	10
14	LPOLY*	1
14	CROTU*	1
14	TGIGA*	6
14	SSCAB	50
14	TURTI	454
14	<1>	63
14	<2>	41
14	<3>	153
14	<4>	55
14	<5>	119
14	<6>	2826
14	<7>	47
14	<8>	48
14	<9>	0
14	<10>	10
14	<11>	0
14	<12>	14
14	<13>	285
14	<14>	1361
14	<15>	96
14	<16>	260
14	<17>	844
14	<18>	25
14	<19>	1885
14	<20>	2231
14	<21>	1087
44	DMELA	334
44	BMORI	96
44	ISCAP	46
44	HLONG	126
44	VDEST	128
44	MOCCI	209
44	LPOLY	76
44	CROTU	232
44	TGIGA	65
44	CSCUL+	536
44	LRECL+	34
44	SMIMO+	53
44	ABRUE+	93
44	NCLAV+	82
44	TANTI+	85
44	PTEPI+	157
44	LHESP+	10
44	SSCAB	50
44	TURTI	454
44	CSCUL*	56
44	LRECL*	4
44	SMIMO*	2
44	ABRUE*	12
44	NCLAV*	12
44	TANTI*	14
44	PTEPI*	27
44	LHESP*	0
44	<1>	63
44	<2>	41
44	<3>	153
44	<4>	55
44	<5>	119
44	<6>	2836
44	<7>	43
44	<8>	45
44	<9>	13
44	<10>	259
44	<11>	1202
44	<12>	77
44	<13>	239
44	<14>	641
44	<15>	4
44	<16>	3
44	<17>	1
44	<18>	20
44	<19>	158
44	<20>	12
44	<21>	17
44	<22>	48
44	<23>	52
44	<24>	1303
44	<25>	2231
44	<26>	1087
