mul.tree	node	dups
20	DMELA	334
20	BMORI	96
20	ISCAP	46
20	HLONG	126
20	VDEST	128
20	MOCCI	210
20	LPOLY	76
20	CROTU	232
20	TGIGA	65
20	CSCUL+	495
20	LRECL+	30
20	SMIMO+	49
20	ABRUE+	80
20	NCLAV+	73
20	TANTI+	72
20	PTEPI+	133
20	LHESP+	8
20	SSCAB	50
20	TURTI	454
20	CSCUL*	98
20	LRECL*	8
20	SMIMO*	6
20	ABRUE*	25
20	NCLAV*	21
20	TANTI*	27
20	PTEPI*	51
20	LHESP*	2
20	<1>	64
20	<2>	41
20	<3>	154
20	<4>	55
20	<5>	121
20	<6>	2862
20	<7>	35
20	<8>	34
20	<9>	10
20	<10>	223
20	<11>	985
20	<12>	64
20	<13>	224
20	<14>	636
20	<15>	25
20	<16>	12
20	<17>	14
20	<18>	4
20	<19>	57
20	<20>	378
20	<21>	25
20	<22>	29
20	<23>	170
20	<24>	630
20	<25>	2231
20	<26>	1093
0	DMELA	334
0	BMORI	96
0	ISCAP	46
0	HLONG	126
0	VDEST	128
0	MOCCI	210
0	LPOLY	76
0	CROTU	232
0	TGIGA	65
0	CSCUL	593
0	LRECL	38
0	SMIMO	55
0	ABRUE	105
0	NCLAV	94
0	TANTI	99
0	PTEPI	184
0	LHESP	10
0	SSCAB	50
0	TURTI	454
0	<1>	64
0	<2>	41
0	<3>	154
0	<4>	55
0	<5>	121
0	<6>	2862
0	<7>	47
0	<8>	48
0	<9>	14
0	<10>	280
0	<11>	1363
0	<12>	89
0	<13>	259
0	<14>	886
0	<15>	25
0	<16>	1887
0	<17>	2231
0	<18>	1093
10	DMELA	334
10	BMORI	96
10	ISCAP	46
10	HLONG	126
10	VDEST	128
10	MOCCI	210
10	LPOLY	76
10	CROTU	232
10	TGIGA	65
10	CSCUL+	550
10	LRECL+	35
10	SMIMO+	53
10	ABRUE+	96
10	NCLAV+	81
10	TANTI+	90
10	PTEPI+	167
10	LHESP+	10
10	SSCAB	50
10	CSCUL*	43
10	LRECL*	3
10	SMIMO*	2
10	ABRUE*	9
10	NCLAV*	13
10	TANTI*	9
10	PTEPI*	17
10	LHESP*	0
10	TURTI	454
10	<1>	64
10	<2>	41
10	<3>	154
10	<4>	55
10	<5>	121
10	<6>	2862
10	<7>	42
10	<8>	43
10	<9>	13
10	<10>	257
10	<11>	1198
10	<12>	81
10	<13>	251
10	<14>	643
10	<15>	5
10	<16>	5
10	<17>	1
10	<18>	23
10	<19>	165
10	<20>	8
10	<21>	8
10	<22>	15
10	<23>	55
10	<24>	1337
10	<25>	2231
10	<26>	1093
11	DMELA	334
11	BMORI	96
11	ISCAP	46
11	HLONG	126
11	VDEST	128
11	MOCCI	210
11	LPOLY	76
11	CROTU	232
11	TGIGA	65
11	CSCUL+	537
11	LRECL+	34
11	SMIMO+	53
11	ABRUE+	93
11	NCLAV+	82
11	TANTI+	85
11	PTEPI+	157
11	LHESP+	10
11	SSCAB	50
11	TURTI	454
11	CSCUL*	56
11	LRECL*	4
11	SMIMO*	2
11	ABRUE*	12
11	NCLAV*	12
11	TANTI*	14
11	PTEPI*	27
11	LHESP*	0
11	<1>	64
11	<2>	41
11	<3>	154
11	<4>	55
11	<5>	121
11	<6>	2862
11	<7>	43
11	<8>	45
11	<9>	13
11	<10>	260
11	<11>	1205
11	<12>	77
11	<13>	242
11	<14>	643
11	<15>	4
11	<16>	3
11	<17>	1
11	<18>	20
11	<19>	158
11	<20>	12
11	<21>	17
11	<22>	48
11	<23>	52
11	<24>	1305
11	<25>	2231
11	<26>	1093
4	DMELA	334
4	BMORI	96
4	ISCAP	46
4	HLONG	126
4	CSCUL*	5
4	LRECL*	1
4	SMIMO*	4
4	ABRUE*	2
4	NCLAV*	2
4	TANTI*	2
4	PTEPI*	3
4	LHESP*	0
4	VDEST	128
4	MOCCI	210
4	LPOLY	76
4	CROTU	232
4	TGIGA	65
4	CSCUL+	588
4	LRECL+	37
4	SMIMO+	51
4	ABRUE+	103
4	NCLAV+	92
4	TANTI+	97
4	PTEPI+	181
4	LHESP+	10
4	SSCAB	50
4	TURTI	454
4	<1>	64
4	<2>	0
4	<3>	2
4	<4>	0
4	<5>	4
4	<6>	22
4	<7>	2
4	<8>	2
4	<9>	2
4	<10>	73
4	<11>	154
4	<12>	69
4	<13>	121
4	<14>	2862
4	<15>	47
4	<16>	46
4	<17>	14
4	<18>	276
4	<19>	1341
4	<20>	87
4	<21>	257
4	<22>	886
4	<23>	25
4	<24>	1838
4	<25>	2070
4	<26>	1093
3	DMELA	334
3	BMORI	96
3	ISCAP	46
3	CSCUL*	5
3	LRECL*	1
3	SMIMO*	4
3	ABRUE*	2
3	NCLAV*	2
3	TANTI*	2
3	PTEPI*	3
3	LHESP*	0
3	HLONG	126
3	VDEST	128
3	MOCCI	210
3	LPOLY	76
3	CROTU	232
3	TGIGA	65
3	CSCUL+	588
3	LRECL+	37
3	SMIMO+	51
3	ABRUE+	103
3	NCLAV+	92
3	TANTI+	97
3	PTEPI+	181
3	LHESP+	10
3	SSCAB	50
3	TURTI	454
3	<1>	64
3	<2>	0
3	<3>	2
3	<4>	0
3	<5>	4
3	<6>	22
3	<7>	2
3	<8>	2
3	<9>	8
3	<10>	65
3	<11>	154
3	<12>	69
3	<13>	121
3	<14>	2862
3	<15>	47
3	<16>	46
3	<17>	14
3	<18>	276
3	<19>	1341
3	<20>	87
3	<21>	257
3	<22>	886
3	<23>	25
3	<24>	1838
3	<25>	2070
3	<26>	1093
