mul.tree	node	dups
10	DMELA	321
10	BMORI	85
10	MOCCI	188
10	VDEST	121
10	ISCAP	45
10	HLONG	118
10	TGIGA+	33
10	CROTU+	177
10	LPOLY+	29
10	TURTI	431
10	SSCAB	40
10	CSCUL	476
10	LRECL	31
10	TGIGA*	16
10	CROTU*	30
10	LPOLY*	6
10	SMIMO	49
10	PTEPI	167
10	LHESP	8
10	ABRUE	93
10	NCLAV	88
10	TANTI	96
10	<1>	77
10	<2>	157
10	<3>	46
10	<4>	122
10	<5>	71
10	<6>	2373
10	<7>	46
10	<8>	17
10	<9>	597
10	<10>	10
10	<11>	13
10	<12>	41
10	<13>	47
10	<14>	345
10	<15>	2144
10	<16>	387
10	<17>	896
10	<18>	1997
10	<19>	2065
10	<20>	6147
10	<21>	2803
9	DMELA	321
9	BMORI	85
9	MOCCI	188
9	VDEST	121
9	ISCAP	45
9	HLONG	118
9	TGIGA+	30
9	CROTU+	158
9	LPOLY+	29
9	TURTI	431
9	SSCAB	40
9	CSCUL	476
9	TGIGA*	19
9	CROTU*	49
9	LPOLY*	6
9	LRECL	31
9	SMIMO	49
9	PTEPI	167
9	LHESP	8
9	ABRUE	93
9	NCLAV	88
9	TANTI	96
9	<1>	77
9	<2>	157
9	<3>	46
9	<4>	122
9	<5>	61
9	<6>	2152
9	<7>	46
9	<8>	27
9	<9>	818
9	<10>	37
9	<11>	13
9	<12>	41
9	<13>	47
9	<14>	345
9	<15>	2144
9	<16>	192
9	<17>	1066
9	<18>	2220
9	<19>	1516
9	<20>	6147
9	<21>	2803
0	DMELA	321
0	BMORI	85
0	MOCCI	188
0	VDEST	121
0	ISCAP	45
0	HLONG	118
0	TGIGA	49
0	CROTU	207
0	LPOLY	35
0	TURTI	431
0	SSCAB	40
0	CSCUL	476
0	LRECL	31
0	SMIMO	49
0	PTEPI	167
0	LHESP	8
0	ABRUE	93
0	NCLAV	88
0	TANTI	96
0	<1>	77
0	<2>	157
0	<3>	46
0	<4>	122
0	<5>	88
0	<6>	2970
0	<7>	46
0	<8>	13
0	<9>	41
0	<10>	47
0	<11>	345
0	<12>	2144
0	<13>	192
0	<14>	341
0	<15>	1555
0	<16>	4251
0	<17>	6147
0	<18>	2803
13	DMELA	321
13	BMORI	85
13	MOCCI	188
13	VDEST	121
13	ISCAP	45
13	HLONG	118
13	TGIGA+	39
13	CROTU+	193
13	LPOLY+	32
13	TURTI	431
13	SSCAB	40
13	CSCUL	476
13	LRECL	31
13	SMIMO	49
13	PTEPI	167
13	LHESP	8
13	TGIGA*	10
13	CROTU*	14
13	LPOLY*	3
13	ABRUE	93
13	NCLAV	88
13	TANTI	96
13	<1>	77
13	<2>	157
13	<3>	46
13	<4>	122
13	<5>	81
13	<6>	2698
13	<7>	46
13	<8>	7
13	<9>	272
13	<10>	0
13	<11>	19
13	<12>	41
13	<13>	47
13	<14>	420
13	<15>	2244
13	<16>	235
13	<17>	702
13	<18>	1724
13	<19>	3039
13	<20>	6147
13	<21>	2803
11	DMELA	321
11	BMORI	85
11	MOCCI	188
11	VDEST	121
11	ISCAP	45
11	HLONG	118
11	TGIGA+	34
11	CROTU+	179
11	LPOLY+	31
11	TURTI	431
11	SSCAB	40
11	CSCUL	476
11	LRECL	31
11	SMIMO	49
11	TGIGA*	15
11	CROTU*	28
11	LPOLY*	4
11	PTEPI	167
11	LHESP	8
11	ABRUE	93
11	NCLAV	88
11	TANTI	96
11	<1>	77
11	<2>	157
11	<3>	46
11	<4>	122
11	<5>	72
11	<6>	2478
11	<7>	46
11	<8>	16
11	<9>	492
11	<10>	0
11	<11>	13
11	<12>	41
11	<13>	47
11	<14>	345
11	<15>	2421
11	<16>	252
11	<17>	836
11	<18>	1907
11	<19>	2372
11	<20>	6147
11	<21>	2803
15	DMELA	321
15	BMORI	85
15	MOCCI	188
15	VDEST	121
15	ISCAP	45
15	HLONG	118
15	TGIGA+	40
15	CROTU+	198
15	LPOLY+	33
15	TURTI	431
15	SSCAB	40
15	CSCUL	476
15	LRECL	31
15	SMIMO	49
15	PTEPI	167
15	LHESP	8
15	ABRUE	93
15	NCLAV	88
15	TGIGA*	9
15	CROTU*	9
15	LPOLY*	2
15	TANTI	96
15	<1>	77
15	<2>	157
15	<3>	46
15	<4>	122
15	<5>	85
15	<6>	2802
15	<7>	46
15	<8>	13
15	<9>	3
15	<10>	168
15	<11>	14
15	<12>	45
15	<13>	60
15	<14>	406
15	<15>	2236
15	<16>	234
15	<17>	482
15	<18>	1685
15	<19>	3501
15	<20>	6147
15	<21>	2803
