mul.tree	node	dups
1115	HLONG	107
1115	ISCAP	39
1115	MOCCI	149
1115	VDEST	89
1115	CSCUL+	186
1115	TURTI+	156
1115	SSCAB+	15
1115	LRECL+	10
1115	ABRUE+	26
1115	NCLAV+	32
1115	TANTI+	36
1115	SMIMO+	23
1115	PTEPI+	59
1115	LHESP+	3
1115	LPOLY+	14
1115	TGIGA+	28
1115	CROTU+	83
1115	CSCUL*	233
1115	TURTI*	222
1115	SSCAB*	18
1115	LRECL*	20
1115	ABRUE*	57
1115	NCLAV*	56
1115	TANTI*	53
1115	SMIMO*	21
1115	PTEPI*	90
1115	LHESP*	3
1115	LPOLY*	20
1115	TGIGA*	21
1115	CROTU*	109
1115	BMORI	75
1115	DMELA	236
1115	<1>	39
1115	<2>	138
1115	<3>	12
1115	<4>	13
1115	<5>	13
1115	<6>	3
1115	<7>	15
1115	<8>	1217
1115	<9>	63
1115	<10>	243
1115	<11>	599
1115	<12>	44
1115	<13>	1390
1115	<14>	2133
1115	<15>	879
1115	<16>	1216
1115	<17>	29
1115	<18>	24
1115	<19>	29
1115	<20>	9
1115	<21>	26
1115	<22>	1669
1115	<23>	127
1115	<24>	245
1115	<25>	644
1115	<26>	42
1115	<27>	1521
1115	<28>	1985
1115	<29>	2307
1115	<30>	66
1115	<31>	2731
1015	HLONG	107
1015	ISCAP	39
1015	MOCCI	149
1015	VDEST	89
1015	CSCUL	419
1015	TURTI+	234
1015	SSCAB+	23
1015	LRECL+	19
1015	ABRUE+	55
1015	NCLAV+	34
1015	TANTI+	56
1015	SMIMO+	33
1015	PTEPI+	92
1015	LHESP+	4
1015	LPOLY	34
1015	TGIGA	49
1015	CROTU	192
1015	TURTI*	144
1015	SSCAB*	10
1015	LRECL*	11
1015	ABRUE*	28
1015	NCLAV*	54
1015	TANTI*	33
1015	SMIMO*	11
1015	PTEPI*	57
1015	LHESP*	2
1015	BMORI	75
1015	DMELA	236
1015	<1>	39
1015	<2>	138
1015	<3>	22
1015	<4>	24
1015	<5>	22
1015	<6>	8
1015	<7>	27
1015	<8>	2094
1015	<9>	122
1015	<10>	345
1015	<11>	1127
1015	<12>	86
1015	<13>	2911
1015	<14>	2812
1015	<15>	711
1015	<16>	2691
1015	<17>	19
1015	<18>	13
1015	<19>	20
1015	<20>	4
1015	<21>	14
1015	<22>	792
1015	<23>	68
1015	<24>	143
1015	<25>	2882
1015	<26>	66
1015	<27>	2731
1034	HLONG	107
1034	ISCAP	39
1034	MOCCI	149
1034	VDEST	89
1034	CSCUL+	306
1034	TURTI+	238
1034	SSCAB+	23
1034	LRECL+	20
1034	ABRUE+	54
1034	NCLAV+	45
1034	TANTI+	58
1034	SMIMO+	34
1034	PTEPI+	98
1034	LHESP+	4
1034	LPOLY	34
1034	TGIGA	49
1034	CROTU	192
1034	CSCUL*	113
1034	TURTI*	140
1034	SSCAB*	10
1034	LRECL*	10
1034	ABRUE*	29
1034	NCLAV*	43
1034	TANTI*	31
1034	SMIMO*	10
1034	PTEPI*	51
1034	LHESP*	2
1034	BMORI	75
1034	DMELA	236
1034	<1>	39
1034	<2>	138
1034	<3>	21
1034	<4>	30
1034	<5>	28
1034	<6>	6
1034	<7>	27
1034	<8>	2064
1034	<9>	113
1034	<10>	343
1034	<11>	993
1034	<12>	86
1034	<13>	2911
1034	<14>	3215
1034	<15>	616
1034	<16>	2118
1034	<17>	20
1034	<18>	7
1034	<19>	14
1034	<20>	6
1034	<21>	14
1034	<22>	822
1034	<23>	77
1034	<24>	145
1034	<25>	250
1034	<26>	2693
1034	<27>	66
1034	<28>	2731
1013	HLONG	107
1013	ISCAP	39
1013	MOCCI	149
1013	VDEST	89
1013	CSCUL	419
1013	TURTI+	138
1013	SSCAB+	15
1013	LRECL+	11
1013	ABRUE+	39
1013	NCLAV+	16
1013	TANTI+	39
1013	SMIMO+	21
1013	PTEPI+	61
1013	LHESP+	3
1013	LPOLY	34
1013	TGIGA	49
1013	CROTU	192
1013	TURTI*	240
1013	SSCAB*	18
1013	LRECL*	19
1013	ABRUE*	44
1013	NCLAV*	72
1013	TANTI*	50
1013	SMIMO*	23
1013	PTEPI*	88
1013	LHESP*	3
1013	BMORI	75
1013	DMELA	236
1013	<1>	39
1013	<2>	138
1013	<3>	13
1013	<4>	19
1013	<5>	16
1013	<6>	6
1013	<7>	22
1013	<8>	1603
1013	<9>	83
1013	<10>	219
1013	<11>	1025
1013	<12>	86
1013	<13>	2911
1013	<14>	1285
1013	<15>	28
1013	<16>	18
1013	<17>	26
1013	<18>	6
1013	<19>	19
1013	<20>	1283
1013	<21>	107
1013	<22>	265
1013	<23>	1022
1013	<24>	1324
1013	<25>	5695
1013	<26>	66
1013	<27>	2731
959	HLONG	107
959	ISCAP	39
959	MOCCI	149
959	VDEST	89
959	ABRUE*	36
959	NCLAV*	64
959	TANTI*	39
959	SMIMO*	17
959	PTEPI*	67
959	LHESP*	2
959	CSCUL	419
959	TURTI	378
959	SSCAB	33
959	LRECL	30
959	ABRUE+	47
959	NCLAV+	24
959	TANTI+	50
959	SMIMO+	27
959	PTEPI+	82
959	LHESP+	4
959	LPOLY	34
959	TGIGA	49
959	CROTU	192
959	BMORI	75
959	DMELA	236
959	<1>	39
959	<2>	138
959	<3>	10
959	<4>	18
959	<5>	5
959	<6>	20
959	<7>	1109
959	<8>	55
959	<9>	41
959	<10>	27
959	<11>	24
959	<12>	7
959	<13>	21
959	<14>	1777
959	<15>	154
959	<16>	418
959	<17>	1006
959	<18>	86
959	<19>	2911
959	<20>	2350
959	<21>	2505
959	<22>	5695
959	<23>	66
959	<24>	2731
1007	HLONG	107
1007	ISCAP	39
1007	TURTI*	140
1007	SSCAB*	11
1007	LRECL*	8
1007	ABRUE*	22
1007	NCLAV*	46
1007	TANTI*	26
1007	SMIMO*	11
1007	PTEPI*	45
1007	LHESP*	2
1007	MOCCI	149
1007	VDEST	89
1007	CSCUL	419
1007	TURTI+	238
1007	SSCAB+	22
1007	LRECL+	22
1007	ABRUE+	61
