mul.tree	h1.node	h2.node	score	labeled.tree
1112	<15>	LRECL	105551	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,(LRECL,(TURTI*,SSCAB*)<6>)<7>)<8>,CSCUL)<9>,(LPOLY,(CROTU,TGIGA)<10>)<11>)<12>,((MOCCI,VDEST)<13>,(ISCAP,HLONG)<14>)<15>)<16>,(TURTI+,SSCAB+)<17>)<18>,(DMELA,BMORI)<19>)<20>
992	<10>	<15>	105826	((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO+)<5>,LRECL+)<6>,CSCUL+)<7>,(LPOLY+,(CROTU+,TGIGA+)<8>)<9>)<10>,((MOCCI,VDEST)<11>,(ISCAP,HLONG)<12>)<13>)<14>,((TURTI,SSCAB)<15>,(((((((NCLAV*,TANTI*)<16>,ABRUE*)<17>,(PTEPI*,LHESP*)<18>)<19>,SMIMO*)<20>,LRECL*)<21>,CSCUL*)<22>,(LPOLY*,(CROTU*,TGIGA*)<23>)<24>)<25>)<26>)<27>,(DMELA,BMORI)<28>)<29>
907	<7>	<15>	107971	((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO+)<5>,LRECL+)<6>,CSCUL+)<7>,(LPOLY,(CROTU,TGIGA)<8>)<9>)<10>,((MOCCI,VDEST)<11>,(ISCAP,HLONG)<12>)<13>)<14>,((TURTI,SSCAB)<15>,((((((NCLAV*,TANTI*)<16>,ABRUE*)<17>,(PTEPI*,LHESP*)<18>)<19>,SMIMO*)<20>,LRECL*)<21>,CSCUL*)<22>)<23>)<24>,(DMELA,BMORI)<25>)<26>
859	<5>	<15>	108814	((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO+)<5>,LRECL)<6>,CSCUL)<7>,(LPOLY,(CROTU,TGIGA)<8>)<9>)<10>,((MOCCI,VDEST)<11>,(ISCAP,HLONG)<12>)<13>)<14>,((TURTI,SSCAB)<15>,((((NCLAV*,TANTI*)<16>,ABRUE*)<17>,(PTEPI*,LHESP*)<18>)<19>,SMIMO*)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
1113	<15>	CSCUL	109016	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,LRECL)<6>,(CSCUL,(TURTI*,SSCAB*)<7>)<8>)<9>,(LPOLY,(CROTU,TGIGA)<10>)<11>)<12>,((MOCCI,VDEST)<13>,(ISCAP,HLONG)<14>)<15>)<16>,(TURTI+,SSCAB+)<17>)<18>,(DMELA,BMORI)<19>)<20>
1103	<14>	<16>	109427	(((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO+)<5>,LRECL+)<6>,CSCUL+)<7>,(LPOLY+,(CROTU+,TGIGA+)<8>)<9>)<10>,((MOCCI+,VDEST+)<11>,(ISCAP+,HLONG+)<12>)<13>)<14>,(TURTI,SSCAB)<15>)<16>,((((((((NCLAV*,TANTI*)<17>,ABRUE*)<18>,(PTEPI*,LHESP*)<19>)<20>,SMIMO*)<21>,LRECL*)<22>,CSCUL*)<23>,(LPOLY*,(CROTU*,TGIGA*)<24>)<25>)<26>,((MOCCI*,VDEST*)<27>,(ISCAP*,HLONG*)<28>)<29>)<30>)<31>,(DMELA,BMORI)<32>)<33>
1102	<14>	<15>	109427	((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO+)<5>,LRECL+)<6>,CSCUL+)<7>,(LPOLY+,(CROTU+,TGIGA+)<8>)<9>)<10>,((MOCCI+,VDEST+)<11>,(ISCAP+,HLONG+)<12>)<13>)<14>,((TURTI,SSCAB)<15>,((((((((NCLAV*,TANTI*)<16>,ABRUE*)<17>,(PTEPI*,LHESP*)<18>)<19>,SMIMO*)<20>,LRECL*)<21>,CSCUL*)<22>,(LPOLY*,(CROTU*,TGIGA*)<23>)<24>)<25>,((MOCCI*,VDEST*)<26>,(ISCAP*,HLONG*)<27>)<28>)<29>)<30>)<31>,(DMELA,BMORI)<32>)<33>
1128	<15>	<6>	109756	(((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,LRECL)<6>,(TURTI*,SSCAB*)<7>)<8>,CSCUL)<9>,(LPOLY,(CROTU,TGIGA)<10>)<11>)<12>,((MOCCI,VDEST)<13>,(ISCAP,HLONG)<14>)<15>)<16>,(TURTI+,SSCAB+)<17>)<18>,(DMELA,BMORI)<19>)<20>
884	<6>	<15>	110234	((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO+)<5>,LRECL+)<6>,CSCUL)<7>,(LPOLY,(CROTU,TGIGA)<8>)<9>)<10>,((MOCCI,VDEST)<11>,(ISCAP,HLONG)<12>)<13>)<14>,((TURTI,SSCAB)<15>,(((((NCLAV*,TANTI*)<16>,ABRUE*)<17>,(PTEPI*,LHESP*)<18>)<19>,SMIMO*)<20>,LRECL*)<21>)<22>)<23>,(DMELA,BMORI)<24>)<25>
1111	<15>	SMIMO	110390	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,(SMIMO,(TURTI*,SSCAB*)<5>)<6>)<7>,LRECL)<8>,CSCUL)<9>,(LPOLY,(CROTU,TGIGA)<10>)<11>)<12>,((MOCCI,VDEST)<13>,(ISCAP,HLONG)<14>)<15>)<16>,(TURTI+,SSCAB+)<17>)<18>,(DMELA,BMORI)<19>)<20>
846	<5>	SSCAB	110401	((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO+)<5>,LRECL)<6>,CSCUL)<7>,(LPOLY,(CROTU,TGIGA)<8>)<9>)<10>,((MOCCI,VDEST)<11>,(ISCAP,HLONG)<12>)<13>)<14>,(TURTI,(SSCAB,((((NCLAV*,TANTI*)<15>,ABRUE*)<16>,(PTEPI*,LHESP*)<17>)<18>,SMIMO*)<19>)<20>)<21>)<22>,(DMELA,BMORI)<23>)<24>
1094	<13>	<16>	110450	(((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,LRECL)<6>,CSCUL)<7>,(LPOLY,(CROTU,TGIGA)<8>)<9>)<10>,((MOCCI+,VDEST+)<11>,(ISCAP+,HLONG+)<12>)<13>)<14>,(TURTI,SSCAB)<15>)<16>,((MOCCI*,VDEST*)<17>,(ISCAP*,HLONG*)<18>)<19>)<20>,(DMELA,BMORI)<21>)<22>
1110	<15>	LHESP	110607	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,(LHESP,(TURTI*,SSCAB*)<3>)<4>)<5>)<6>,SMIMO)<7>,LRECL)<8>,CSCUL)<9>,(LPOLY,(CROTU,TGIGA)<10>)<11>)<12>,((MOCCI,VDEST)<13>,(ISCAP,HLONG)<14>)<15>)<16>,(TURTI+,SSCAB+)<17>)<18>,(DMELA,BMORI)<19>)<20>
1127	<15>	<5>	110666	(((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,(TURTI*,SSCAB*)<6>)<7>,LRECL)<8>,CSCUL)<9>,(LPOLY,(CROTU,TGIGA)<10>)<11>)<12>,((MOCCI,VDEST)<13>,(ISCAP,HLONG)<14>)<15>)<16>,(TURTI+,SSCAB+)<17>)<18>,(DMELA,BMORI)<19>)<20>
845	<5>	TURTI	111063	((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO+)<5>,LRECL)<6>,CSCUL)<7>,(LPOLY,(CROTU,TGIGA)<8>)<9>)<10>,((MOCCI,VDEST)<11>,(ISCAP,HLONG)<12>)<13>)<14>,((TURTI,((((NCLAV*,TANTI*)<15>,ABRUE*)<16>,(PTEPI*,LHESP*)<17>)<18>,SMIMO*)<19>)<20>,SSCAB)<21>)<22>,(DMELA,BMORI)<23>)<24>
1129	<15>	<7>	111108	(((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,LRECL)<6>,CSCUL)<7>,(TURTI*,SSCAB*)<8>)<9>,(LPOLY,(CROTU,TGIGA)<10>)<11>)<12>,((MOCCI,VDEST)<13>,(ISCAP,HLONG)<14>)<15>)<16>,(TURTI+,SSCAB+)<17>)<18>,(DMELA,BMORI)<19>)<20>
823	<4>	<6>	111391	(((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO)<5>,LRECL)<6>,(((NCLAV*,TANTI*)<7>,ABRUE*)<8>,(PTEPI*,LHESP*)<9>)<10>)<11>,CSCUL)<12>,(LPOLY,(CROTU,TGIGA)<13>)<14>)<15>,((MOCCI,VDEST)<16>,(ISCAP,HLONG)<17>)<18>)<19>,(TURTI,SSCAB)<20>)<21>,(DMELA,BMORI)<22>)<23>
896	<7>	SSCAB	111538	((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO+)<5>,LRECL+)<6>,CSCUL+)<7>,(LPOLY,(CROTU,TGIGA)<8>)<9>)<10>,((MOCCI,VDEST)<11>,(ISCAP,HLONG)<12>)<13>)<14>,(TURTI,(SSCAB,((((((NCLAV*,TANTI*)<15>,ABRUE*)<16>,(PTEPI*,LHESP*)<17>)<18>,SMIMO*)<19>,LRECL*)<20>,CSCUL*)<21>)<22>)<23>)<24>,(DMELA,BMORI)<25>)<26>
562	TURTI	LRECL	111664	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,(LRECL,TURTI*)<6>)<7>,CSCUL)<8>,(LPOLY,(CROTU,TGIGA)<9>)<10>)<11>,((MOCCI,VDEST)<12>,(ISCAP,HLONG)<13>)<14>)<15>,(TURTI+,SSCAB)<16>)<17>,(DMELA,BMORI)<18>)<19>
1131	<15>	<9>	111683	((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,LRECL)<6>,CSCUL)<7>,((LPOLY,(CROTU,TGIGA)<8>)<9>,(TURTI*,SSCAB*)<10>)<11>)<12>,((MOCCI,VDEST)<13>,(ISCAP,HLONG)<14>)<15>)<16>,(TURTI+,SSCAB+)<17>)<18>,(DMELA,BMORI)<19>)<20>
983	<10>	TURTI	111692	((((((((((NCLAV+,TANTI+)<1>,ABRUE+)<2>,(PTEPI+,LHESP+)<3>)<4>,SMIMO+)<5>,LRECL+)<6>,CSCUL+)<7>,(LPOLY+,(CROTU+,TGIGA+)<8>)<9>)<10>,((MOCCI,VDEST)<11>,(ISCAP,HLONG)<12>)<13>)<14>,((TURTI,(((((((NCLAV*,TANTI*)<15>,ABRUE*)<16>,(PTEPI*,LHESP*)<17>)<18>,SMIMO*)<19>,LRECL*)<20>,CSCUL*)<21>,(LPOLY*,(CROTU*,TGIGA*)<22>)<23>)<24>)<25>,SSCAB)<26>)<27>,(DMELA,BMORI)<28>)<29>
1132	<15>	<10>	111708	(((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,LRECL)<6>,CSCUL)<7>,(LPOLY,(CROTU,TGIGA)<8>)<9>)<10>,(TURTI*,SSCAB*)<11>)<12>,((MOCCI,VDEST)<13>,(ISCAP,HLONG)<14>)<15>)<16>,(TURTI+,SSCAB+)<17>)<18>,(DMELA,BMORI)<19>)<20>
