mul.tree	node	dups
20	NCLAV+	58
20	TANTI+	53
20	ABRUE+	59
20	PTEPI+	100
20	LHESP+	6
20	SMIMO+	33
20	LRECL+	20
20	CSCUL+	408
20	LPOLY	43
20	CROTU	214
20	TGIGA	53
20	MOCCI	195
20	VDEST	126
20	ISCAP	44
20	HLONG	119
20	TURTI	443
20	SSCAB	45
20	NCLAV*	34
20	TANTI*	43
20	ABRUE*	39
20	PTEPI*	75
20	LHESP*	3
20	SMIMO*	18
20	LRECL*	15
20	CSCUL*	136
20	DMELA	325
20	BMORI	91
20	<1>	33
20	<2>	31
20	<3>	7
20	<4>	223
20	<5>	1080
20	<6>	102
20	<7>	241
20	<8>	108
20	<9>	3018
20	<10>	1034
20	<11>	155
20	<12>	46
20	<13>	110
20	<14>	966
20	<15>	35
20	<16>	13
20	<17>	19
20	<18>	4
20	<19>	119
20	<20>	768
20	<21>	52
20	<22>	81
20	<23>	626
20	<24>	4996
20	<25>	72
20	<26>	1938
9	NCLAV+	76
9	TANTI+	69
9	ABRUE+	70
9	PTEPI+	112
9	LHESP+	6
9	SMIMO+	40
9	LRECL+	25
9	CSCUL+	437
9	LPOLY	43
9	CROTU	214
9	TGIGA	53
9	MOCCI	195
9	VDEST	126
9	ISCAP	44
9	HLONG	119
9	TURTI	443
9	SSCAB	45
9	NCLAV*	16
9	TANTI*	27
9	ABRUE*	28
9	PTEPI*	63
9	LHESP*	3
9	SMIMO*	11
9	LRECL*	10
9	CSCUL*	107
9	DMELA	325
9	BMORI	91
9	<1>	36
9	<2>	35
9	<3>	8
9	<4>	252
9	<5>	1288
9	<6>	119
9	<7>	262
9	<8>	108
9	<9>	3018
9	<10>	1034
9	<11>	155
9	<12>	46
9	<13>	110
9	<14>	974
9	<15>	10
9	<16>	15
9	<17>	3
9	<18>	90
9	<19>	560
9	<20>	35
9	<21>	63
9	<22>	107
9	<23>	1298
9	<24>	4995
9	<25>	72
9	<26>	1938
8	NCLAV+	76
8	TANTI+	69
8	ABRUE+	70
8	PTEPI+	112
8	LHESP+	6
8	SMIMO+	40
8	LRECL+	25
8	CSCUL+	437
8	LPOLY	43
8	CROTU	214
8	TGIGA	53
8	MOCCI	195
8	VDEST	126
8	ISCAP	44
8	HLONG	119
8	TURTI	443
8	NCLAV*	16
8	TANTI*	27
8	ABRUE*	28
8	PTEPI*	63
8	LHESP*	3
8	SMIMO*	11
8	LRECL*	10
8	CSCUL*	107
8	SSCAB	45
8	DMELA	325
8	BMORI	91
8	<1>	36
8	<2>	35
8	<3>	8
8	<4>	252
8	<5>	1288
8	<6>	119
8	<7>	262
8	<8>	108
8	<9>	3018
8	<10>	1034
8	<11>	155
8	<12>	46
8	<13>	110
8	<14>	974
8	<15>	10
8	<16>	15
8	<17>	3
8	<18>	90
8	<19>	560
8	<20>	35
8	<21>	63
8	<22>	193
8	<23>	1220
8	<24>	4995
8	<25>	72
8	<26>	1938
0	NCLAV	92
0	TANTI	96
0	ABRUE	98
0	PTEPI	175
0	LHESP	9
0	SMIMO	51
0	LRECL	35
0	CSCUL	544
0	LPOLY	43
0	CROTU	214
0	TGIGA	53
0	MOCCI	195
0	VDEST	126
0	ISCAP	44
0	HLONG	119
0	TURTI	443
0	SSCAB	45
0	DMELA	325
0	BMORI	91
0	<1>	46
0	<2>	50
0	<3>	11
0	<4>	342
0	<5>	1848
0	<6>	154
0	<7>	325
0	<8>	108
0	<9>	3018
0	<10>	1203
0	<11>	155
0	<12>	46
0	<13>	110
0	<14>	1193
0	<15>	35
0	<16>	7235
0	<17>	72
0	<18>	1938
21	NCLAV+	59
21	TANTI+	64
21	ABRUE+	66
21	PTEPI+	115
21	LHESP+	9
21	SMIMO+	39
21	LRECL+	22
21	CSCUL+	435
21	LPOLY	43
21	CROTU	214
21	TGIGA	53
21	MOCCI	195
21	VDEST	126
21	ISCAP	44
21	HLONG	119
21	TURTI	443
21	SSCAB	45
21	NCLAV*	33
21	TANTI*	32
21	ABRUE*	32
21	PTEPI*	60
21	LHESP*	0
21	SMIMO*	12
21	LRECL*	13
21	CSCUL*	109
21	DMELA	325
21	BMORI	91
21	<1>	39
21	<2>	37
21	<3>	9
21	<4>	253
21	<5>	1370
21	<6>	112
21	<7>	275
21	<8>	108
21	<9>	3018
21	<10>	1024
21	<11>	155
21	<12>	46
21	<13>	110
21	<14>	871
21	<15>	35
21	<16>	3721
21	<17>	7
21	<18>	13
21	<19>	2
21	<20>	89
21	<21>	478
21	<22>	42
21	<23>	50
21	<24>	2563
21	<25>	72
21	<26>	1938
7	NCLAV+	91
7	TANTI+	94
7	ABRUE+	95
7	PTEPI+	172
7	LHESP+	9
7	SMIMO+	49
7	LRECL+	33
7	CSCUL+	536
7	LPOLY	43
7	CROTU	214
7	TGIGA	53
7	MOCCI	195
7	VDEST	126
7	ISCAP	44
7	HLONG	119
7	NCLAV*	1
7	TANTI*	2
7	ABRUE*	3
7	PTEPI*	3
7	LHESP*	0
7	SMIMO*	2
7	LRECL*	2
7	CSCUL*	8
7	TURTI	443
7	SSCAB	45
7	DMELA	325
7	BMORI	91
7	<1>	46
7	<2>	48
7	<3>	11
7	<4>	335
7	<5>	1820
7	<6>	150
7	<7>	323
7	<8>	108
7	<9>	3018
7	<10>	1203
7	<11>	155
7	<12>	0
7	<13>	2
7	<14>	0
7	<15>	7
7	<16>	28
7	<17>	4
7	<18>	2
7	<19>	8
7	<20>	60
7	<21>	121
7	<22>	980
7	<23>	35
7	<24>	7235
7	<25>	72
7	<26>	1938
