mul.tree	node	dups
0	NCLAV	93
0	TANTI	98
0	ABRUE	102
0	PTEPI	180
0	LHESP	10
0	SMIMO	54
0	LRECL	36
0	CSCUL	575
0	LPOLY	59
0	CROTU	223
0	TGIGA	58
0	MOCCI	198
0	VDEST	127
0	ISCAP	45
0	HLONG	122
0	TURTI	452
0	SSCAB	50
0	DMELA	332
0	BMORI	93
0	<1>	44
0	<2>	50
0	<3>	11
0	<4>	311
0	<5>	1625
0	<6>	128
0	<7>	289
0	<8>	113
0	<9>	2957
0	<10>	1036
0	<11>	156
0	<12>	43
0	<13>	87
0	<14>	939
0	<15>	27
0	<16>	5601
0	<17>	69
0	<18>	1502
7	NCLAV	93
7	TANTI	98
7	ABRUE	102
7	PTEPI	180
7	LHESP	10
7	SMIMO	54
7	LRECL	36
7	LPOLY*	1
7	CROTU*	14
7	TGIGA*	12
7	CSCUL	575
7	LPOLY+	58
7	CROTU+	209
7	TGIGA+	46
7	MOCCI	198
7	VDEST	127
7	ISCAP	45
7	HLONG	122
7	TURTI	452
7	SSCAB	50
7	DMELA	332
7	BMORI	93
7	<1>	44
7	<2>	50
7	<3>	11
7	<4>	311
7	<5>	1625
7	<6>	7
7	<7>	150
7	<8>	0
7	<9>	177
7	<10>	316
7	<11>	106
7	<12>	2807
7	<13>	643
7	<14>	156
7	<15>	43
7	<16>	87
7	<17>	939
7	<18>	27
7	<19>	5601
7	<20>	69
7	<21>	1502
5	NCLAV	93
5	TANTI	98
5	ABRUE	102
5	PTEPI	180
5	LHESP	10
5	LPOLY*	1
5	CROTU*	2
5	TGIGA*	7
5	SMIMO	54
5	LRECL	36
5	CSCUL	575
5	LPOLY+	58
5	CROTU+	221
5	TGIGA+	51
5	MOCCI	198
5	VDEST	127
5	ISCAP	45
5	HLONG	122
5	TURTI	452
5	SSCAB	50
5	DMELA	332
5	BMORI	93
5	<1>	44
5	<2>	50
5	<3>	0
5	<4>	16
5	<5>	0
5	<6>	11
5	<7>	320
5	<8>	1629
5	<9>	137
5	<10>	296
5	<11>	113
5	<12>	2941
5	<13>	973
5	<14>	156
5	<15>	43
5	<16>	87
5	<17>	939
5	<18>	27
5	<19>	5601
5	<20>	69
5	<21>	1502
1	NCLAV	93
1	LPOLY*	0
1	CROTU*	1
1	TGIGA*	6
1	TANTI	98
1	ABRUE	102
1	PTEPI	180
1	LHESP	10
1	SMIMO	54
1	LRECL	36
1	CSCUL	575
1	LPOLY+	59
1	CROTU+	222
1	TGIGA+	52
1	MOCCI	198
1	VDEST	127
1	ISCAP	45
1	HLONG	122
1	TURTI	452
1	SSCAB	50
1	DMELA	332
1	BMORI	93
1	<1>	0
1	<2>	8
1	<3>	7
1	<4>	45
1	<5>	53
1	<6>	11
1	<7>	316
1	<8>	1626
1	<9>	137
1	<10>	290
1	<11>	113
1	<12>	2949
1	<13>	992
1	<14>	156
1	<15>	43
1	<16>	87
1	<17>	939
1	<18>	27
1	<19>	5601
1	<20>	69
1	<21>	1502
12	NCLAV	93
12	TANTI	98
12	ABRUE	102
12	PTEPI	180
12	LHESP	10
12	SMIMO	54
12	LRECL	36
12	CSCUL	575
12	LPOLY+	59
12	CROTU+	222
12	TGIGA+	58
12	MOCCI	198
12	VDEST	127
12	ISCAP	45
12	HLONG	122
12	LPOLY*	0
12	CROTU*	1
12	TGIGA*	0
12	TURTI	452
12	SSCAB	50
12	DMELA	332
12	BMORI	93
12	<1>	44
12	<2>	50
12	<3>	11
12	<4>	311
12	<5>	1625
12	<6>	128
12	<7>	289
12	<8>	113
12	<9>	2928
12	<10>	1036
12	<11>	156
12	<12>	0
12	<13>	29
12	<14>	0
12	<15>	45
12	<16>	87
12	<17>	874
12	<18>	27
12	<19>	5601
12	<20>	69
12	<21>	1502
14	NCLAV	93
14	TANTI	98
14	ABRUE	102
14	PTEPI	180
14	LHESP	10
14	SMIMO	54
14	LRECL	36
14	CSCUL	575
14	LPOLY+	52
14	CROTU+	208
14	TGIGA+	56
14	MOCCI	198
14	VDEST	127
14	ISCAP	45
14	HLONG	122
14	TURTI	452
14	SSCAB	50
14	LPOLY*	7
14	CROTU*	15
14	TGIGA*	2
14	DMELA	332
14	BMORI	93
14	<1>	44
14	<2>	50
14	<3>	11
14	<4>	311
14	<5>	1625
14	<6>	128
14	<7>	289
14	<8>	107
14	<9>	2836
14	<10>	1014
14	<11>	156
14	<12>	43
14	<13>	87
14	<14>	865
14	<15>	6
14	<16>	121
14	<17>	3
14	<18>	77
14	<19>	5467
14	<20>	69
14	<21>	1502
