mul.tree	node	dups
70	NCLAV+	68
70	TANTI+	58
70	ABRUE+	51
70	PTEPI+	91
70	LHESP+	6
70	SMIMO+	33
70	LRECL+	17
70	CSCUL+	349
70	LPOLY+	37
70	CROTU+	144
70	TGIGA+	45
70	MOCCI	196
70	VDEST	123
70	ISCAP	45
70	HLONG	122
70	TURTI	448
70	SSCAB	49
70	NCLAV*	25
70	TANTI*	40
70	ABRUE*	51
70	PTEPI*	88
70	LHESP*	4
70	SMIMO*	20
70	LRECL*	19
70	CSCUL*	223
70	LPOLY*	22
70	CROTU*	77
70	TGIGA*	13
70	DMELA	323
70	BMORI	93
70	<1>	23
70	<2>	20
70	<3>	7
70	<4>	182
70	<5>	831
70	<6>	80
70	<7>	189
70	<8>	74
70	<9>	1812
70	<10>	708
70	<11>	154
70	<12>	42
70	<13>	86
70	<14>	723
70	<15>	27
70	<16>	21
70	<17>	30
70	<18>	4
70	<19>	129
70	<20>	788
70	<21>	48
70	<22>	98
70	<23>	38
70	<24>	1125
70	<25>	292
70	<26>	1364
70	<27>	1937
70	<28>	67
70	<29>	1498
53	NCLAV+	59
53	TANTI+	58
53	ABRUE+	67
53	PTEPI+	123
53	LHESP+	7
53	SMIMO+	38
53	LRECL+	26
53	CSCUL+	464
53	LPOLY	59
53	CROTU	221
53	TGIGA	58
53	MOCCI	196
53	VDEST	123
53	ISCAP	45
53	HLONG	122
53	TURTI	448
53	SSCAB	49
53	NCLAV*	34
53	TANTI*	40
53	ABRUE*	35
53	PTEPI*	56
53	LHESP*	3
53	SMIMO*	15
53	LRECL*	10
53	CSCUL*	108
53	DMELA	323
53	BMORI	93
53	<1>	30
53	<2>	31
53	<3>	9
53	<4>	222
53	<5>	1033
53	<6>	87
53	<7>	231
53	<8>	112
53	<9>	2937
53	<10>	901
53	<11>	154
53	<12>	42
53	<13>	86
53	<14>	775
53	<15>	27
53	<16>	14
53	<17>	19
53	<18>	2
53	<19>	89
53	<20>	586
53	<21>	41
53	<22>	53
53	<23>	356
53	<24>	3854
53	<25>	67
53	<26>	1498
42	NCLAV+	77
42	TANTI+	68
42	ABRUE+	76
42	PTEPI+	126
42	LHESP+	7
42	SMIMO+	44
42	LRECL+	27
42	CSCUL+	480
42	LPOLY	59
42	CROTU	221
42	TGIGA	58
42	MOCCI	196
42	VDEST	123
42	ISCAP	45
42	HLONG	122
42	TURTI	448
42	SSCAB	49
42	NCLAV*	16
42	TANTI*	30
42	ABRUE*	26
42	PTEPI*	53
42	LHESP*	3
42	SMIMO*	9
42	LRECL*	9
42	CSCUL*	92
42	DMELA	323
42	BMORI	93
42	<1>	33
42	<2>	38
42	<3>	9
42	<4>	237
42	<5>	1164
42	<6>	96
42	<7>	247
42	<8>	112
42	<9>	2937
42	<10>	901
42	<11>	154
42	<12>	42
42	<13>	86
42	<14>	778
42	<15>	11
42	<16>	12
42	<17>	2
42	<18>	74
42	<19>	455
42	<20>	32
42	<21>	40
42	<22>	52
42	<23>	1017
42	<24>	3854
42	<25>	67
42	<26>	1498
61	NCLAV+	78
61	TANTI+	76
61	ABRUE+	78
61	PTEPI+	138
61	LHESP+	9
61	SMIMO+	42
61	LRECL+	27
61	CSCUL+	452
61	LPOLY+	49
61	CROTU+	188
61	TGIGA+	50
61	MOCCI	196
61	VDEST	123
61	ISCAP	45
61	HLONG	122
61	TURTI	448
61	NCLAV*	15
61	TANTI*	22
61	ABRUE*	24
61	PTEPI*	41
61	LHESP*	1
61	SMIMO*	11
61	LRECL*	9
61	CSCUL*	120
61	LPOLY*	10
61	CROTU*	33
61	TGIGA*	8
61	SSCAB	49
61	DMELA	323
61	BMORI	93
61	<1>	36
61	<2>	41
61	<3>	9
61	<4>	253
61	<5>	1273
61	<6>	114
61	<7>	238
61	<8>	98
61	<9>	2368
61	<10>	884
61	<11>	154
61	<12>	42
61	<13>	86
61	<14>	726
61	<15>	8
61	<16>	9
61	<17>	2
61	<18>	58
61	<19>	346
61	<20>	14
61	<21>	49
61	<22>	14
61	<23>	569
61	<24>	148
61	<25>	401
61	<26>	156
61	<27>	3863
61	<28>	67
61	<29>	1498
62	NCLAV+	80
62	TANTI+	78
62	ABRUE+	84
62	PTEPI+	148
62	LHESP+	8
62	SMIMO+	45
62	LRECL+	29
62	CSCUL+	483
62	LPOLY+	51
62	CROTU+	198
62	TGIGA+	50
62	MOCCI	196
62	VDEST	123
62	ISCAP	45
62	HLONG	122
62	TURTI	448
62	SSCAB	49
62	NCLAV*	13
62	TANTI*	20
62	ABRUE*	18
62	PTEPI*	31
62	LHESP*	2
62	SMIMO*	8
62	LRECL*	7
62	CSCUL*	89
62	LPOLY*	8
62	CROTU*	23
62	TGIGA*	8
62	DMELA	323
62	BMORI	93
62	<1>	39
62	<2>	40
62	<3>	9
62	<4>	264
62	<5>	1298
62	<6>	111
62	<7>	238
62	<8>	98
62	<9>	2528
62	<10>	911
62	<11>	154
62	<12>	42
62	<13>	86
62	<14>	726
62	<15>	5
62	<16>	10
62	<17>	2
62	<18>	47
62	<19>	321
62	<20>	17
62	<21>	49
62	<22>	14
