mul.tree	node	dups
992	NCLAV+	74
992	TANTI+	67
992	ABRUE+	59
992	PTEPI+	101
992	LHESP+	7
992	SMIMO+	41
992	LRECL+	23
992	CSCUL+	361
992	LPOLY+	56
992	CROTU+	163
992	TGIGA+	50
992	MOCCI	167
992	VDEST	108
992	ISCAP	42
992	HLONG	121
992	TURTI	406
992	SSCAB	47
992	NCLAV*	20
992	TANTI*	30
992	ABRUE*	39
992	PTEPI*	69
992	LHESP*	3
992	SMIMO*	13
992	LRECL*	15
992	CSCUL*	179
992	LPOLY*	20
992	CROTU*	55
992	TGIGA*	15
992	DMELA	262
992	BMORI	85
992	<1>	32
992	<2>	23
992	<3>	8
992	<4>	187
992	<5>	769
992	<6>	63
992	<7>	196
992	<8>	87
992	<9>	1971
992	<10>	650
992	<11>	144
992	<12>	37
992	<13>	48
992	<14>	556
992	<15>	21
992	<16>	13
992	<17>	23
992	<18>	5
992	<19>	87
992	<20>	577
992	<21>	25
992	<22>	57
992	<23>	31
992	<24>	837
992	<25>	190
992	<26>	756
992	<27>	1548
992	<28>	52
992	<29>	1073
1112	NCLAV	94
1112	TANTI	97
1112	ABRUE	98
1112	PTEPI	170
1112	LHESP	10
1112	SMIMO	54
1112	LRECL	38
1112	TURTI*	70
1112	SSCAB*	7
1112	CSCUL	540
1112	LPOLY	76
1112	CROTU	218
1112	TGIGA	65
1112	MOCCI	167
1112	VDEST	108
1112	ISCAP	42
1112	HLONG	121
1112	TURTI+	336
1112	SSCAB+	40
1112	DMELA	262
1112	BMORI	85
1112	<1>	45
1112	<2>	46
1112	<3>	13
1112	<4>	274
1112	<5>	1346
1112	<6>	2
1112	<7>	0
1112	<8>	136
1112	<9>	418
1112	<10>	118
1112	<11>	2808
1112	<12>	1185
1112	<13>	144
1112	<14>	37
1112	<15>	48
1112	<16>	1178
1112	<17>	19
1112	<18>	2516
1112	<19>	52
1112	<20>	1073
1103	NCLAV+	49
1103	TANTI+	71
1103	ABRUE+	77
1103	PTEPI+	132
1103	LHESP+	10
1103	SMIMO+	36
1103	LRECL+	28
1103	CSCUL+	397
1103	LPOLY+	53
1103	CROTU+	137
1103	TGIGA+	37
1103	MOCCI+	73
1103	VDEST+	45
1103	ISCAP+	20
1103	HLONG+	44
1103	TURTI	406
1103	SSCAB	47
1103	NCLAV*	45
1103	TANTI*	26
1103	ABRUE*	21
1103	PTEPI*	38
1103	LHESP*	0
1103	SMIMO*	18
1103	LRECL*	10
1103	CSCUL*	143
1103	LPOLY*	23
1103	CROTU*	81
1103	TGIGA*	28
1103	MOCCI*	94
1103	VDEST*	63
1103	ISCAP*	22
1103	HLONG*	77
1103	DMELA	262
1103	BMORI	85
1103	<1>	37
1103	<2>	40
1103	<3>	12
1103	<4>	207
1103	<5>	1073
1103	<6>	65
1103	<7>	184
1103	<8>	88
1103	<9>	2002
1103	<10>	569
1103	<11>	62
1103	<12>	13
1103	<13>	22
1103	<14>	362
1103	<15>	21
1103	<16>	1731
1103	<17>	8
1103	<18>	6
1103	<19>	1
1103	<20>	67
1103	<21>	273
1103	<22>	23
1103	<23>	69
1103	<24>	30
1103	<25>	806
1103	<26>	277
1103	<27>	82
1103	<28>	24
1103	<29>	25
1103	<30>	320
1103	<31>	45
1103	<32>	52
1103	<33>	1073
1102	NCLAV+	52
1102	TANTI+	35
1102	ABRUE+	31
1102	PTEPI+	52
1102	LHESP+	2
1102	SMIMO+	21
1102	LRECL+	15
1102	CSCUL+	200
1102	LPOLY+	33
1102	CROTU+	108
1102	TGIGA+	38
1102	MOCCI+	108
1102	VDEST+	73
1102	ISCAP+	27
1102	HLONG+	87
1102	TURTI	406
1102	SSCAB	47
1102	NCLAV*	42
1102	TANTI*	62
1102	ABRUE*	67
1102	PTEPI*	118
1102	LHESP*	8
1102	SMIMO*	33
1102	LRECL*	23
1102	CSCUL*	340
1102	LPOLY*	43
1102	CROTU*	110
1102	TGIGA*	27
1102	MOCCI*	59
