mul.tree	node	dups
7	NCLAV	92
7	TANTI	96
7	ABRUE	98
7	PTEPI	176
7	LHESP	9
7	SMIMO	51
7	LRECL	35
7	LPOLY*	3
7	CROTU*	52
7	TGIGA*	20
7	CSCUL	552
7	MOCCI	194
7	VDEST	126
7	ISCAP	44
7	HLONG	119
7	TURTI	445
7	SSCAB	46
7	LPOLY+	38
7	CROTU+	163
7	TGIGA+	33
7	DMELA	327
7	BMORI	90
7	<1>	46
7	<2>	50
7	<3>	11
7	<4>	342
7	<5>	1851
7	<6>	27
7	<7>	761
7	<8>	3
7	<9>	275
7	<10>	1020
7	<11>	155
7	<12>	46
7	<13>	112
7	<14>	694
7	<15>	35
7	<16>	3168
7	<17>	77
7	<18>	2213
7	<19>	4616
7	<20>	71
7	<21>	1938
8	NCLAV	92
8	TANTI	96
8	ABRUE	98
8	PTEPI	176
8	LHESP	9
8	SMIMO	51
8	LRECL	35
8	CSCUL	552
8	LPOLY*	7
8	CROTU*	67
8	TGIGA*	25
8	MOCCI	194
8	VDEST	126
8	ISCAP	44
8	HLONG	119
8	TURTI	445
8	SSCAB	46
8	LPOLY+	34
8	CROTU+	148
8	TGIGA+	28
8	DMELA	327
8	BMORI	90
8	<1>	46
8	<2>	50
8	<3>	11
8	<4>	342
8	<5>	1851
8	<6>	155
8	<7>	36
8	<8>	1008
8	<9>	19
8	<10>	1201
8	<11>	155
8	<12>	46
8	<13>	112
8	<14>	780
8	<15>	35
8	<16>	3594
8	<17>	68
8	<18>	1966
8	<19>	3791
8	<20>	71
8	<21>	1938
23	NCLAV	92
23	TANTI	96
23	ABRUE	98
23	PTEPI	176
23	LHESP	9
23	SMIMO	51
23	LRECL	35
23	CSCUL	552
23	LPOLY*	10
23	CROTU*	89
23	TGIGA*	30
23	MOCCI	194
23	VDEST	126
23	ISCAP	44
23	HLONG	119
23	TURTI	445
23	SSCAB	46
23	LPOLY+	31
23	CROTU+	126
23	TGIGA+	23
23	DMELA	327
23	BMORI	90
23	<1>	46
23	<2>	50
23	<3>	11
23	<4>	342
23	<5>	1851
23	<6>	155
23	<7>	337
23	<8>	47
23	<9>	1295
23	<10>	744
23	<11>	155
23	<12>	46
23	<13>	112
23	<14>	872
23	<15>	35
23	<16>	4135
23	<17>	57
23	<18>	1679
23	<19>	3055
23	<20>	71
23	<21>	1938
22	NCLAV	92
22	TANTI	96
22	ABRUE	98
22	PTEPI	176
22	LHESP	9
22	SMIMO	51
22	LRECL	35
22	LPOLY*	7
22	CROTU*	72
22	TGIGA*	28
22	CSCUL	552
22	MOCCI	194
22	VDEST	126
22	ISCAP	44
22	HLONG	119
22	TURTI	445
22	SSCAB	46
22	LPOLY+	34
22	CROTU+	143
22	TGIGA+	25
22	DMELA	327
22	BMORI	90
22	<1>	46
22	<2>	50
22	<3>	11
22	<4>	342
22	<5>	1851
22	<6>	155
22	<7>	37
22	<8>	1034
22	<9>	83
22	<10>	1311
22	<11>	155
22	<12>	46
22	<13>	112
22	<14>	780
22	<15>	35
22	<16>	3665
22	<17>	67
22	<18>	1940
22	<19>	3715
22	<20>	71
22	<21>	1938
12	NCLAV	92
12	TANTI	96
12	ABRUE	98
12	PTEPI	176
12	LHESP	9
12	SMIMO	51
12	LRECL	35
12	CSCUL	552
12	MOCCI	194
12	VDEST	126
12	ISCAP	44
12	HLONG	119
12	LPOLY*	3
12	CROTU*	46
12	TGIGA*	16
12	TURTI	445
12	SSCAB	46
12	LPOLY+	38
12	CROTU+	169
12	TGIGA+	37
12	DMELA	327
12	BMORI	90
12	<1>	46
12	<2>	50
12	<3>	11
12	<4>	342
12	<5>	1851
12	<6>	155
12	<7>	337
12	<8>	155
12	<9>	25
12	<10>	691
12	<11>	1
12	<12>	71
12	<13>	156
12	<14>	1380
12	<15>	35
12	<16>	2985
12	<17>	79
12	<18>	2283
12	<19>	4984
12	<20>	71
12	<21>	1938
5	NCLAV	92
5	TANTI	96
5	ABRUE	98
5	PTEPI	176
5	LHESP	9
5	LPOLY*	2
5	CROTU*	27
5	TGIGA*	12
5	SMIMO	51
5	LRECL	35
5	CSCUL	552
5	MOCCI	194
5	VDEST	126
5	ISCAP	44
5	HLONG	119
5	TURTI	445
5	SSCAB	46
5	LPOLY+	39
5	CROTU+	188
5	TGIGA+	41
5	DMELA	327
5	BMORI	90
5	<1>	46
5	<2>	50
5	<3>	14
5	<4>	367
5	<5>	0
5	<6>	13
5	<7>	441
5	<8>	1964
5	<9>	197
5	<10>	699
5	<11>	155
5	<12>	46
5	<13>	112
5	<14>	459
5	<15>	35
5	<16>	2439
5	<17>	90
5	<18>	2607
5	<19>	6246
5	<20>	71
5	<21>	1938
