mul.tree	node	dups
53	NCLAV+	37
53	TANTI+	42
53	ABRUE+	49
53	PTEPI+	99
53	LHESP+	6
53	SMIMO+	27
53	LRECL+	22
53	CSCUL+	310
53	MOCCI	194
53	VDEST	126
53	ISCAP	44
53	HLONG	119
53	TURTI	443
53	SSCAB	45
53	LPOLY	41
53	CROTU	214
53	TGIGA	53
53	NCLAV*	55
53	TANTI*	54
53	ABRUE*	49
53	PTEPI*	76
53	LHESP*	3
53	SMIMO*	24
53	LRECL*	13
53	CSCUL*	240
53	DMELA	324
53	BMORI	90
53	<1>	20
53	<2>	27
53	<3>	8
53	<4>	192
53	<5>	979
53	<6>	92
53	<7>	190
53	<8>	154
53	<9>	46
53	<10>	111
53	<11>	232
53	<12>	35
53	<13>	1753
53	<14>	103
53	<15>	2967
53	<16>	26
53	<17>	23
53	<18>	3
53	<19>	150
53	<20>	867
53	<21>	63
53	<22>	139
53	<23>	627
53	<24>	5437
53	<25>	69
53	<26>	1936
7	NCLAV	92
7	TANTI	96
7	ABRUE	98
7	PTEPI	175
7	LHESP	9
7	SMIMO	51
7	LRECL	35
7	LPOLY*	3
7	CROTU*	52
7	TGIGA*	20
7	CSCUL	550
7	MOCCI	194
7	VDEST	126
7	ISCAP	44
7	HLONG	119
7	TURTI	443
7	SSCAB	45
7	LPOLY+	38
7	CROTU+	162
7	TGIGA+	33
7	DMELA	324
7	BMORI	90
7	<1>	46
7	<2>	50
7	<3>	11
7	<4>	342
7	<5>	1846
7	<6>	26
7	<7>	758
7	<8>	3
7	<9>	275
7	<10>	1017
7	<11>	154
7	<12>	46
7	<13>	111
7	<14>	691
7	<15>	35
7	<16>	3164
7	<17>	77
7	<18>	2209
7	<19>	4613
7	<20>	69
7	<21>	1936
8	NCLAV	92
8	TANTI	96
8	ABRUE	98
8	PTEPI	175
8	LHESP	9
8	SMIMO	51
8	LRECL	35
8	CSCUL	550
8	LPOLY*	7
8	CROTU*	67
8	TGIGA*	25
8	MOCCI	194
8	VDEST	126
8	ISCAP	44
8	HLONG	119
8	TURTI	443
8	SSCAB	45
8	LPOLY+	34
8	CROTU+	147
8	TGIGA+	28
8	DMELA	324
8	BMORI	90
8	<1>	46
8	<2>	50
8	<3>	11
8	<4>	342
8	<5>	1846
8	<6>	155
8	<7>	35
8	<8>	1005
8	<9>	19
8	<10>	1197
8	<11>	154
8	<12>	46
8	<13>	111
8	<14>	777
8	<15>	35
8	<16>	3590
8	<17>	68
8	<18>	1962
8	<19>	3788
8	<20>	69
8	<21>	1936
23	NCLAV	92
23	TANTI	96
23	ABRUE	98
23	PTEPI	175
23	LHESP	9
23	SMIMO	51
23	LRECL	35
23	CSCUL	550
23	LPOLY*	10
23	CROTU*	89
23	TGIGA*	30
23	MOCCI	194
23	VDEST	126
23	ISCAP	44
23	HLONG	119
23	TURTI	443
23	SSCAB	45
23	LPOLY+	31
23	CROTU+	125
23	TGIGA+	23
23	DMELA	324
23	BMORI	90
23	<1>	46
23	<2>	50
23	<3>	11
23	<4>	342
23	<5>	1846
23	<6>	155
23	<7>	335
23	<8>	46
23	<9>	1292
23	<10>	742
23	<11>	154
23	<12>	46
23	<13>	111
23	<14>	869
23	<15>	35
23	<16>	4131
23	<17>	57
23	<18>	1675
23	<19>	3052
23	<20>	69
23	<21>	1936
54	NCLAV+	30
54	TANTI+	60
54	ABRUE+	53
54	PTEPI+	88
54	LHESP+	8
54	SMIMO+	37
54	LRECL+	26
54	CSCUL+	395
54	MOCCI	194
54	VDEST	126
54	ISCAP	44
54	HLONG	119
54	TURTI	443
54	SSCAB	45
54	LPOLY	41
54	CROTU	214
54	TGIGA	53
54	NCLAV*	62
54	TANTI*	36
54	ABRUE*	45
54	PTEPI*	87
54	LHESP*	1
54	SMIMO*	14
54	LRECL*	9
54	CSCUL*	155
54	DMELA	324
54	BMORI	90
54	<1>	28
54	<2>	26
54	<3>	9
54	<4>	211
54	<5>	1197
54	<6>	109
54	<7>	247
54	<8>	154
54	<9>	46
54	<10>	111
54	<11>	225
54	<12>	35
54	<13>	1699
54	<14>	103
54	<15>	2967
54	<16>	4047
54	<17>	18
54	<18>	24
54	<19>	2
54	<20>	131
54	<21>	649
54	<22>	46
54	<23>	88
54	<24>	2838
54	<25>	69
54	<26>	1936
22	NCLAV	92
22	TANTI	96
22	ABRUE	98
22	PTEPI	175
22	LHESP	9
22	SMIMO	51
22	LRECL	35
22	LPOLY*	7
22	CROTU*	72
22	TGIGA*	28
22	CSCUL	550
22	MOCCI	194
22	VDEST	126
22	ISCAP	44
22	HLONG	119
22	TURTI	443
22	SSCAB	45
22	LPOLY+	34
22	CROTU+	142
22	TGIGA+	25
22	DMELA	324
22	BMORI	90
22	<1>	46
22	<2>	50
22	<3>	11
22	<4>	342
22	<5>	1846
22	<6>	155
22	<7>	36
22	<8>	1031
22	<9>	83
22	<10>	1308
22	<11>	154
22	<12>	46
22	<13>	111
22	<14>	777
22	<15>	35
22	<16>	3661
22	<17>	67
22	<18>	1936
22	<19>	3712
22	<20>	69
22	<21>	1936
