mul.tree	node	dups
20	NCLAV+	37
20	TANTI+	42
20	ABRUE+	49
20	PTEPI+	99
20	LHESP+	6
20	SMIMO+	27
20	LRECL+	22
20	CSCUL+	310
20	MOCCI	195
20	VDEST	126
20	ISCAP	44
20	HLONG	119
20	TURTI	443
20	SSCAB	45
20	LPOLY	41
20	CROTU	214
20	TGIGA	53
20	NCLAV*	55
20	TANTI*	54
20	ABRUE*	49
20	PTEPI*	76
20	LHESP*	3
20	SMIMO*	24
20	LRECL*	13
20	CSCUL*	241
20	DMELA	324
20	BMORI	90
20	<1>	20
20	<2>	27
20	<3>	8
20	<4>	192
20	<5>	979
20	<6>	92
20	<7>	191
20	<8>	155
20	<9>	46
20	<10>	111
20	<11>	232
20	<12>	35
20	<13>	1753
20	<14>	105
20	<15>	2993
20	<16>	26
20	<17>	23
20	<18>	3
20	<19>	150
20	<20>	869
20	<21>	63
20	<22>	142
20	<23>	629
20	<24>	5443
20	<25>	70
20	<26>	1942
21	NCLAV+	30
21	TANTI+	60
21	ABRUE+	53
21	PTEPI+	88
21	LHESP+	8
21	SMIMO+	37
21	LRECL+	26
21	CSCUL+	396
21	MOCCI	195
21	VDEST	126
21	ISCAP	44
21	HLONG	119
21	TURTI	443
21	SSCAB	45
21	LPOLY	41
21	CROTU	214
21	TGIGA	53
21	NCLAV*	62
21	TANTI*	36
21	ABRUE*	45
21	PTEPI*	87
21	LHESP*	1
21	SMIMO*	14
21	LRECL*	9
21	CSCUL*	155
21	DMELA	324
21	BMORI	90
21	<1>	28
21	<2>	26
21	<3>	9
21	<4>	211
21	<5>	1197
21	<6>	109
21	<7>	248
21	<8>	155
21	<9>	46
21	<10>	111
21	<11>	225
21	<12>	35
21	<13>	1699
21	<14>	105
21	<15>	2993
21	<16>	4048
21	<17>	18
21	<18>	24
21	<19>	2
21	<20>	131
21	<21>	651
21	<22>	46
21	<23>	91
21	<24>	2846
21	<25>	70
21	<26>	1942
17	NCLAV+	79
17	TANTI+	72
17	ABRUE+	67
17	PTEPI+	122
17	LHESP+	6
17	SMIMO+	39
17	LRECL+	23
17	CSCUL+	394
17	MOCCI	195
17	VDEST	126
17	ISCAP	44
17	HLONG	119
17	TURTI	443
17	SSCAB	45
17	NCLAV*	13
17	TANTI*	24
17	ABRUE*	31
17	PTEPI*	53
17	LHESP*	3
17	SMIMO*	12
17	LRECL*	12
17	CSCUL*	157
17	LPOLY	41
17	CROTU	214
17	TGIGA	53
17	DMELA	324
17	BMORI	90
17	<1>	33
17	<2>	29
17	<3>	7
17	<4>	235
17	<5>	1211
17	<6>	104
17	<7>	150
17	<8>	155
17	<9>	46
17	<10>	111
17	<11>	177
17	<12>	35
17	<13>	13
17	<14>	21
17	<15>	4
17	<16>	107
17	<17>	637
17	<18>	51
17	<19>	100
17	<20>	308
17	<21>	536
17	<22>	105
17	<23>	2993
17	<24>	8103
17	<25>	70
17	<26>	1942
0	NCLAV	92
0	TANTI	96
0	ABRUE	98
0	PTEPI	175
0	LHESP	9
0	SMIMO	51
0	LRECL	35
0	CSCUL	551
0	MOCCI	195
0	VDEST	126
0	ISCAP	44
0	HLONG	119
0	TURTI	443
0	SSCAB	45
0	LPOLY	41
0	CROTU	214
0	TGIGA	53
0	DMELA	324
0	BMORI	90
0	<1>	46
0	<2>	50
0	<3>	11
0	<4>	342
0	<5>	1848
0	<6>	155
0	<7>	339
0	<8>	155
0	<9>	46
0	<10>	111
0	<11>	270
0	<12>	35
0	<13>	1942
0	<14>	105
0	<15>	2993
0	<16>	8103
0	<17>	70
0	<18>	1942
6	NCLAV+	83
6	TANTI+	87
6	ABRUE+	90
6	PTEPI+	165
6	LHESP+	8
6	SMIMO+	49
6	LRECL+	31
6	CSCUL+	502
6	MOCCI	195
6	VDEST	126
6	ISCAP	44
6	HLONG	119
6	TURTI	443
6	SSCAB	45
6	NCLAV*	9
6	TANTI*	9
6	ABRUE*	8
6	PTEPI*	10
6	LHESP*	1
6	SMIMO*	2
6	LRECL*	4
6	CSCUL*	49
6	LPOLY	41
6	CROTU	214
6	TGIGA	53
6	DMELA	324
6	BMORI	90
6	<1>	42
6	<2>	45
6	<3>	10
6	<4>	316
6	<5>	1653
6	<6>	138
6	<7>	315
6	<8>	155
6	<9>	46
6	<10>	111
6	<11>	177
6	<12>	4
6	<13>	5
6	<14>	1
6	<15>	26
6	<16>	195
6	<17>	17
6	<18>	24
6	<19>	62
6	<20>	110
6	<21>	1162
6	<22>	105
6	<23>	2993
6	<24>	8103
6	<25>	70
6	<26>	1942
5	NCLAV+	83
5	TANTI+	87
5	ABRUE+	88
5	PTEPI+	159
5	LHESP+	8
5	SMIMO+	48
5	LRECL+	32
5	CSCUL+	478
5	MOCCI	195
5	VDEST	126
5	ISCAP	44
5	HLONG	119
5	TURTI	443
5	NCLAV*	9
5	TANTI*	9
5	ABRUE*	10
5	PTEPI*	16
5	LHESP*	1
5	SMIMO*	3
5	LRECL*	3
5	CSCUL*	73
5	SSCAB	45
5	LPOLY	41
5	CROTU	214
5	TGIGA	53
5	DMELA	324
5	BMORI	90
5	<1>	43
5	<2>	44
5	<3>	9
5	<4>	297
5	<5>	1609
5	<6>	138
5	<7>	289
5	<8>	155
5	<9>	46
5	<10>	111
5	<11>	177
5	<12>	3
5	<13>	6
5	<14>	2
5	<15>	45
5	<16>	239
5	<17>	17
5	<18>	50
5	<19>	82
5	<20>	119
5	<21>	1144
5	<22>	105
5	<23>	2993
5	<24>	8103
5	<25>	70
5	<26>	1942
