feature	length
gene	171389
gene	34617
gene	1457
gene	327
gene	7551
gene	39987
gene	340
gene	2957
gene	11330
gene	10230
gene	11807
gene	18107
gene	22596
gene	136876
gene	760
gene	81657
gene	6049
gene	56770
gene	33039
gene	1362
gene	3675
gene	3316
gene	9675
gene	3379
gene	22447
gene	45080
gene	1847
gene	5870
gene	6566
gene	7159
gene	44440
gene	19412
gene	6130
gene	42864
gene	13574
gene	135305
gene	24082
gene	37790
gene	11342
gene	74504
gene	3079
gene	17458
gene	22528
gene	66900
gene	122698
gene	31291
gene	120706
gene	79471
gene	8725
gene	45844
gene	169673
gene	2423
gene	64274
gene	110790
gene	50382
gene	78983
gene	154188
gene	109990
gene	10484
gene	4589
gene	16960
gene	17896
gene	7239
gene	4201
gene	4477
gene	4270
gene	11839
gene	11061
gene	17332
gene	7680
gene	2170
gene	1478
gene	18436
gene	725
gene	12811
gene	43351
gene	1163
gene	14710
gene	31167
gene	26066
gene	30854
gene	15667
gene	2877
gene	6940
gene	37924
gene	21252
gene	3918
gene	71
gene	71
gene	24366
gene	29832
gene	43768
gene	30302
gene	30847
gene	1334
gene	21369
gene	10471
gene	5647
gene	15728
gene	19870
gene	58754
gene	7143
gene	1052
gene	972
gene	14208
gene	6054
gene	38776
gene	16968
gene	8103
gene	14067
gene	19164
gene	16094
gene	9495
gene	54215
gene	3074
gene	3876
gene	1439
gene	5755
gene	29444
gene	27776
gene	524
gene	1584
gene	15077
gene	4930
gene	29539
gene	783
gene	111668
gene	467
gene	4510
gene	60350
gene	8899
gene	914
gene	68807
gene	2188
gene	4992
gene	29637
gene	47759
gene	10300
gene	2144
gene	2349
gene	15347
gene	102339
gene	1359
gene	1163
gene	1163
gene	14430
gene	26159
gene	11612
gene	29939
gene	45099
gene	53511
gene	111894
gene	60303
gene	41010
gene	95598
gene	2776
gene	1222
gene	2095
gene	80283
gene	1839
gene	5188
gene	20939
gene	71932
gene	2482
gene	1582
gene	35453
gene	14808
gene	7850
gene	31199
gene	142169
gene	1298
gene	42613
gene	1654
gene	1528
gene	944
gene	3710
gene	24195
gene	43860
gene	32713
gene	1068
gene	32002
gene	42688
gene	3893
gene	40536
gene	3137
gene	60847
gene	1750
gene	189
gene	660
gene	662
gene	3447
gene	33785
gene	8552
gene	1821
gene	14059
gene	1457
gene	1417
gene	1456
gene	4246
gene	1470
gene	5956
gene	10954
gene	14446
gene	35522
gene	668
gene	2290
gene	2848
gene	4938
gene	6035
gene	8351
gene	6594
gene	71
gene	71
gene	2128
gene	54579
gene	11126
gene	23280
gene	11166
gene	925
gene	26193
gene	27826
gene	55860
gene	17420
gene	6454
gene	28573
gene	134
gene	134
gene	2366
gene	9835
gene	4089
gene	219114
gene	22287
gene	20594
gene	71
gene	71
gene	3048
gene	2848
gene	3093
gene	4505
gene	117054
gene	10289
gene	17693
gene	6080
gene	16923
gene	2796
gene	70722
gene	1501
gene	17402
gene	10764
gene	15195
gene	21605
gene	38238
gene	85207
gene	252
gene	134853
gene	13864
gene	53834
gene	3711
gene	2947
gene	9592
gene	24751
gene	821
gene	39787
gene	42807
gene	49343
gene	15372
gene	20772
gene	20547
gene	52392
gene	30730
gene	60412
gene	6218
gene	37760
gene	49465
gene	48171
gene	4204
gene	24558
gene	1166
gene	2140
gene	117962
gene	48134
gene	103202
gene	12966
gene	75457
gene	12605
gene	12267
gene	75800
gene	9695
gene	3837
gene	59197
gene	6500
gene	1225
gene	9690
gene	31045
gene	2195
gene	71
gene	71
gene	12974
gene	550
gene	6167
gene	11034
gene	31730
gene	1958
gene	3971
gene	34424
gene	2626
gene	56533
gene	40184
gene	53375
gene	55261
gene	1306
gene	909
gene	43242
gene	2142
gene	1146
gene	13116
gene	9749
gene	3019
gene	1377
gene	1460
gene	18253
gene	1123
gene	4281
gene	7386
gene	59566
gene	1298
gene	55286
gene	103521
gene	6142
gene	5634
gene	1007
gene	1456
gene	39562
gene	39840
gene	19926
gene	61590
gene	5032
gene	565
gene	184924
gene	3643
gene	482
gene	7577
gene	1196
gene	813
gene	1909
gene	4387
gene	10668
gene	1905
gene	977
gene	1577
gene	50126
gene	39313
gene	1307
gene	55322
gene	90373
gene	2979
gene	12446
gene	1920
gene	71
gene	72
gene	8645
gene	6021
gene	55427
gene	1501
gene	42752
gene	2253
gene	707
gene	114515
gene	39158
gene	19696
gene	14293
gene	8881
gene	40848
gene	6463
gene	798
gene	13269
gene	2014
gene	1776
gene	71
gene	739
gene	1397
gene	81
gene	7665
gene	44950
gene	23889
gene	60153
gene	3030
gene	22301
gene	64975
gene	191
gene	191
gene	42085
gene	15494
gene	22005
gene	6603
gene	28425
gene	2768
gene	9187
gene	7178
gene	7367
gene	23926
gene	4981
gene	2631
gene	2502
gene	7304
gene	148677
gene	3041
gene	1247
gene	1357
gene	14528
gene	7403
gene	3385
gene	20810
gene	291
gene	44120
gene	5818
gene	2088
gene	14998
gene	1394
gene	4917
gene	71
gene	62710
gene	13222
gene	10800
gene	73
gene	71
gene	33517
gene	3996
gene	20852
gene	11663
gene	34990
gene	14113
gene	1206
gene	62864
gene	61732
gene	18249
gene	260023
gene	2129
gene	5087
gene	6646
gene	6344
gene	1157
gene	660
gene	740
gene	3465
gene	8908
gene	37502
gene	38967
gene	4277
gene	56603
gene	98020
gene	908
gene	1706
gene	1789
gene	9114
gene	1190
gene	3217
gene	78210
gene	60575
gene	15015
gene	5130
gene	23949
gene	3231
gene	45228
gene	28021
gene	30748
gene	8558
gene	20609
