feature	length
gene	317
gene	731
gene	2141
gene	11537
gene	3332
gene	40002
gene	4908
gene	4454
gene	1435
gene	4966
gene	7347
gene	1762
gene	2770
gene	7529
gene	41304
gene	1123
gene	4784
gene	8167
gene	2395
gene	2608
gene	2608
gene	2014
gene	904
gene	9069
gene	1766
gene	1637
gene	828
gene	44365
gene	1003
gene	2554
gene	3546
gene	40088
gene	1721
gene	1334
gene	19155
gene	7556
gene	2538
gene	1803
gene	930
gene	3494
gene	4585
gene	1599
gene	8410
gene	1892
gene	803
gene	1722
gene	2327
gene	7353
gene	49631
gene	897
gene	969
gene	990
gene	4239
gene	2425
gene	2309
gene	9327
gene	5603
gene	3684
gene	6747
gene	3469
gene	1218
gene	912
gene	555
gene	718
gene	2448
gene	17474
gene	4770
gene	1546
gene	3214
gene	13324
gene	3157
gene	64340
gene	3242
gene	1981
gene	1867
gene	7998
gene	1967
gene	6568
gene	911
gene	3251
gene	2309
gene	1755
gene	4567
gene	1231
gene	1443
gene	1185
gene	2063
gene	11145
gene	1617
gene	903
gene	939
gene	2548
gene	74970
gene	2202
gene	7183
gene	12454
gene	470
gene	405
gene	482
gene	2403
gene	4440
gene	4645
gene	954
gene	1796
gene	2636
gene	2103
gene	956
gene	1429
gene	1245
gene	3048
gene	1532
gene	7272
gene	17487
gene	1479
gene	1771
gene	1302
gene	1609
gene	6505
gene	1184
gene	6573
gene	7969
gene	968
gene	2816
gene	3719
gene	35305
gene	39675
gene	792
gene	1439
gene	28141
gene	2855
gene	4469
gene	19413
gene	5119
gene	4154
gene	1197
gene	14299
gene	3095
gene	1766
gene	6463
gene	4194
gene	1627
gene	1232
gene	998
gene	6584
gene	1559
gene	3596
gene	1982
gene	705
gene	3193
gene	608
gene	2052
gene	4580
gene	4764
gene	1723
gene	1633
gene	11050
gene	801
gene	512
gene	458
gene	549
gene	1035
gene	10509
gene	2982
gene	40179
gene	832
gene	1386
gene	730
gene	728
gene	735
gene	1140
gene	1139
gene	818
gene	1013
gene	865
gene	1984
gene	1054
gene	40367
gene	685
gene	1205
gene	1564
gene	1386
gene	1611
gene	1340
gene	2153
gene	2120
gene	683
gene	615
gene	1665
gene	1560
gene	54260
gene	2289
gene	16335
gene	1166
gene	1731
gene	53424
gene	2060
gene	3289
gene	1003
gene	4549
gene	8144
gene	4868
gene	1030
gene	1183
gene	1323
gene	18088
gene	1435
gene	540
gene	1198
gene	807
gene	1224
gene	1220
gene	1206
gene	1211
gene	1249
gene	2075
gene	2328
gene	938
gene	22012
gene	22871
gene	1229
gene	1206
gene	59667
gene	559
gene	913
gene	20123
gene	1456
gene	5292
gene	923
gene	2297
gene	3246
gene	650
gene	779
gene	9211
gene	430
gene	658
gene	20929
gene	3522
gene	856
gene	6658
gene	2560
gene	3378
gene	51088
gene	1367
gene	1928
gene	6483
gene	7837
gene	1978
gene	4146
gene	3635
gene	1037
gene	22270
gene	2472
gene	5387
gene	2445
gene	2577
gene	2997
gene	1473
gene	901
gene	1339
gene	743
gene	743
gene	3335
gene	4796
gene	749
gene	4757
gene	5738
gene	1175
gene	1080
gene	1179
gene	2896
gene	844
gene	831
gene	807
gene	874
gene	799
gene	1090
gene	1034
gene	763
gene	948
gene	908
gene	913
gene	514
gene	785
gene	924
gene	48595
gene	47264
gene	6131
gene	4792
gene	1372
gene	2172
gene	984
gene	4665
gene	1976
gene	1545
gene	1031
gene	1111
gene	445
gene	10367
gene	4698
gene	1361
gene	1173
gene	1591
gene	3817
gene	244
gene	31451
gene	4474
gene	5891
gene	935
gene	1680
gene	2347
gene	8151
gene	1616
gene	1616
gene	1717
gene	1492
gene	971
gene	1131
gene	4149
gene	904
gene	1289
gene	595
gene	1143
gene	475
gene	4054
gene	880
gene	1413
gene	1708
gene	1203
gene	2363
gene	41697
gene	1107
gene	14156
gene	3391
gene	1559
gene	1846
gene	6188
gene	5530
gene	1250
gene	1250
gene	3965
gene	2249
gene	1048
gene	559
gene	722
gene	1479
gene	769
gene	892
gene	27652
gene	7115
gene	1992
gene	1424
gene	14278
gene	1960
gene	2946
gene	1136
gene	2514
gene	1924
gene	1133
gene	1286
gene	1365
gene	6789
gene	959
gene	11384
gene	5862
gene	997
gene	2278
gene	1141
gene	657
gene	1596
gene	5146
gene	68477
gene	13672
gene	1345
gene	2735
gene	1967
gene	2003
gene	1378
gene	877
gene	8161
gene	1959
gene	3165
gene	5856
gene	16783
gene	1867
gene	2998
gene	1832
gene	3213
gene	2916
gene	1363
gene	1761
gene	3138
gene	1910
gene	1563
gene	986
gene	1914
gene	1042
gene	12196
gene	11579
gene	76441
gene	1326
gene	854
gene	895
gene	13587
gene	2449
gene	5817
gene	1272
gene	635
gene	532
gene	25384
gene	2369
gene	4734
gene	3461
gene	8204
gene	13318
gene	2460
gene	3078
gene	2896
gene	2400
gene	1889
gene	1948
gene	1976
gene	19954
gene	972
gene	14732
gene	2144
gene	905
gene	1588
gene	389
gene	614
gene	661
gene	22259
gene	639
gene	1375
gene	1597
gene	2423
gene	1289
gene	3367
gene	3065
gene	1630
gene	3894
gene	1177
gene	2662
gene	2182
gene	2735
gene	1178
gene	10316
gene	14133
gene	1044
gene	4328
gene	2392
gene	2378
gene	2878
gene	1535
gene	2457
gene	2930
gene	1889
gene	9176
gene	413
gene	2756
gene	2532
gene	2476
gene	594
gene	34879
gene	29369
gene	574
gene	443
gene	514
gene	450
gene	464
gene	483
gene	721
gene	589
gene	379
gene	440
gene	630
gene	641
gene	362
gene	463
gene	418
gene	409
gene	422
gene	594
gene	1382
gene	512
gene	4518
gene	1224
gene	3450
gene	973
gene	10960
gene	24151
gene	12269
gene	369
gene	12421
gene	675
gene	15559
gene	7126
gene	2609
gene	1424
gene	2345
gene	4839
gene	3728
gene	1187
gene	30214
gene	88785
gene	2492
gene	788
gene	400
gene	686
gene	565
gene	294
gene	437
gene	84372
gene	1284
gene	2451
gene	1924
gene	1445
gene	1543
gene	1161
gene	8731
gene	23392
gene	2447
gene	862
gene	853
gene	3628
gene	40633
gene	7276
gene	11863
gene	1059
gene	18791
gene	2013
gene	3137
gene	1174
gene	4451
gene	1106
gene	6291
gene	2189
gene	704
gene	37290
gene	669
gene	1149
gene	1149
gene	414
gene	631
gene	665
gene	1810
gene	2033
gene	1965
gene	3743
gene	1284
gene	581
gene	1670
gene	1178
gene	1043
gene	2017
gene	1790
gene	1464
gene	2848
gene	9022
gene	136838
gene	499
gene	1576
gene	3590
gene	869
gene	1489
gene	4555
gene	1409
gene	1445
gene	1737
gene	27744
gene	650
gene	2045
gene	59452
gene	1056
gene	2032
gene	5323
gene	2882
gene	2632
gene	7171
gene	1479
gene	4454
gene	2664
gene	3118
gene	5813
gene	1733
gene	980
gene	1999
gene	23928
gene	6216
gene	2371
gene	1282
gene	11777
gene	2897
gene	23803
gene	3403
gene	4014
gene	1563
gene	1105
gene	2745
gene	1578
gene	826
gene	893
gene	865
gene	2783
gene	7019
gene	726
gene	1408
gene	1103
gene	1212
gene	3786
gene	1985
gene	1340
gene	1723
gene	1255
gene	895
gene	2079
gene	11088
gene	16912
gene	903
gene	903
gene	1205
gene	16047
gene	7670
gene	3109
gene	3109
gene	4064
gene	5095
gene	5095
gene	5095
gene	3244
gene	1901
gene	1732
gene	437
gene	1091
gene	2266
gene	1386
gene	9935
gene	1098
gene	21422
gene	1934
gene	3067
gene	1111
gene	106125
gene	2078
gene	1985
gene	2686
gene	1353
gene	2352
gene	52384
gene	1898
gene	2063
gene	1831
gene	6820
gene	4418
gene	22279
gene	3584
gene	11393
gene	742
gene	904
gene	607
gene	7603
gene	3102
gene	19560
gene	12313
gene	5971
gene	1212
gene	1003
gene	1247
gene	2617
gene	1670
gene	10053
gene	897
gene	2559
gene	1603
gene	897
gene	2346
gene	2988
gene	4162
gene	2528
gene	1126
gene	918
gene	1007
gene	1240
gene	3922
gene	4160
gene	1536
gene	1299
gene	1803
gene	16223
gene	3147
gene	32269
gene	7989
gene	917
gene	7417
gene	1331
gene	1366
gene	2778
gene	2893
gene	37764
gene	2396
gene	7569
gene	1804
gene	3589
gene	33251
gene	862
gene	1458
gene	1810
gene	3668
gene	351
gene	553
gene	32763
gene	19729
gene	604
gene	424
gene	603
gene	607
gene	564
gene	1013
gene	1511
gene	15607
gene	1362
gene	777
gene	13324
gene	681
gene	5325
gene	5785
gene	1154
gene	330
gene	635
gene	626
gene	744
gene	1864
gene	2361
gene	1195
gene	1166
gene	8903
gene	4145
gene	2506
gene	10101
gene	3510
gene	3253
gene	4974
gene	6343
gene	883
gene	1588
gene	8553
gene	2284
gene	905
gene	3166
gene	4869
gene	2190
gene	2055
gene	2472
gene	3077
