feature	length
gene	18734
gene	1491
gene	8876
gene	171221
gene	11791
gene	3111
gene	134262
gene	54609
gene	96125
gene	27111
gene	2451
gene	3433
gene	24868
gene	109010
gene	87953
gene	4227
gene	95973
gene	48269
gene	38884
gene	37728
gene	104165
gene	41206
gene	133748
gene	55602
gene	20284
gene	40987
gene	1637
gene	115365
gene	166683
gene	14545
gene	3377
gene	4487
gene	12341
gene	62171
gene	1678
gene	19177
gene	21077
gene	65387
gene	27303
gene	42292
gene	29734
gene	2805
gene	25119
gene	32419
gene	386693
gene	67959
gene	42291
gene	67315
gene	1790
gene	30678
gene	29393
gene	5031
gene	81
gene	11361
gene	33371
gene	57998
gene	7413
gene	19946
gene	25000
gene	234
gene	42239
gene	2207
gene	2578
gene	60682
gene	63138
gene	29347
gene	19161
gene	271028
gene	4896
gene	72
gene	128784
gene	22812
gene	4591
gene	1678
gene	41229
gene	6812
gene	13068
gene	22083
gene	48712
gene	72
gene	10865
gene	113904
gene	214068
gene	6326
gene	150989
gene	82201
gene	27105
gene	64714
gene	50136
gene	9719
gene	61615
gene	13023
gene	77922
gene	53040
gene	128562
gene	145942
gene	154622
gene	2483
gene	18946
gene	80057
gene	38362
gene	10846
gene	7122
gene	93406
gene	25843
gene	6455
gene	13030
gene	12430
gene	18488
gene	4453
gene	43874
gene	12025
gene	37922
gene	70338
gene	17636
gene	47915
gene	38456
gene	51425
gene	34376
gene	15691
gene	137669
gene	73868
gene	122146
gene	8206
gene	40105
gene	120564
gene	51704
gene	21981
gene	37290
gene	44088
gene	55380
gene	2888
gene	38422
gene	363241
gene	55660
gene	98083
gene	41142
gene	30561
gene	7870
gene	103198
gene	80582
gene	4437
gene	92821
gene	10887
gene	18629
gene	55796
gene	109041
gene	247617
gene	6803
gene	56718
gene	19817
gene	33981
gene	45136
gene	3023
gene	22829
gene	81447
gene	173037
gene	179938
gene	48499
gene	73474
gene	33367
gene	15807
gene	14717
gene	22187
gene	8871
gene	2649
gene	9616
gene	3850
gene	127634
gene	102558
gene	27767
gene	101616
gene	18298
gene	31274
gene	25640
gene	42516
gene	23027
gene	242088
gene	194274
gene	650
gene	8647
gene	84226
gene	19621
gene	75521
gene	12261
gene	14629
gene	12549
gene	6505
gene	21609
gene	1409
gene	11607
gene	27647
gene	121464
gene	36507
gene	37677
gene	35479
gene	132014
gene	60907
gene	2975
gene	15720
gene	3941
gene	63580
gene	1573
gene	2010
gene	539
gene	528
gene	1657
gene	47523
gene	32200
gene	95810
gene	56326
gene	44827
gene	125560
gene	25655
gene	148821
gene	65085
gene	47603
gene	274939
gene	5808
gene	113043
gene	98745
gene	4558
gene	72984
gene	203617
gene	201649
gene	68830
gene	5629
gene	16317
gene	8598
gene	145009
gene	34006
gene	74834
gene	47653
gene	27325
gene	2599
gene	50065
gene	88595
gene	173017
gene	17177
gene	371
gene	25895
gene	2638
gene	245163
gene	125408
gene	26266
gene	3569
gene	59792
gene	38047
gene	166948
gene	15337
gene	49665
gene	146745
gene	67076
gene	42333
gene	66406
gene	57251
gene	989
gene	2156
gene	13051
gene	4494
gene	2118
gene	6252
gene	8841
gene	1023
gene	139183
gene	29802
gene	594
gene	40232
gene	48827
gene	23245
gene	241953
gene	80
gene	8210
gene	33688
gene	29763
gene	101439
gene	77808
gene	135279
gene	4757
gene	84638
gene	153438
gene	76750
gene	156611
gene	151459
gene	13539
gene	86356
gene	23940
gene	31247
gene	60129
gene	16351
gene	60766
gene	84444
gene	22103
gene	179958
gene	51832
gene	41500
gene	6796
gene	28062
gene	33156
gene	1712
gene	2575
gene	2465
gene	689
gene	127057
gene	52905
gene	82409
gene	4793
gene	85513
gene	11983
gene	12331
gene	16476
