feature	length
gene	10011
gene	34128
gene	36567
gene	4502
gene	1828
gene	34258
gene	12001
gene	11427
gene	86681
gene	125943
gene	2286
gene	17350
gene	374
gene	25397
gene	12119
gene	32235
gene	7850
gene	6725
gene	91713
gene	20469
gene	4831
gene	10961
gene	37581
gene	1879
gene	34922
gene	18971
gene	9454
gene	99355
gene	617
gene	7421
gene	44384
gene	61672
gene	35530
gene	6802
gene	31520
gene	26686
gene	21608
gene	11316
gene	8295
gene	19007
gene	37739
gene	14391
gene	7939
gene	38608
gene	10532
gene	1625
gene	11771
gene	47682
gene	15148
gene	244074
gene	8181
gene	46091
gene	7190
gene	27585
gene	11556
gene	26637
gene	9712
gene	11442
gene	64737
gene	97266
gene	18426
gene	62592
gene	924
gene	736
gene	7150
gene	443
gene	42988
gene	13263
gene	2219
gene	1094
gene	2009
gene	1394
gene	4916
gene	3437
gene	20152
gene	3504
gene	5990
gene	9216
gene	14765
gene	16807
gene	28673
gene	44492
gene	66918
gene	17669
gene	6604
gene	25444
gene	1020
gene	29749
gene	16841
gene	36978
gene	78861
gene	15779
gene	51834
gene	256082
gene	2626
gene	171273
gene	71
gene	31407
gene	14614
gene	75080
gene	40494
gene	52036
gene	16021
gene	8000
gene	4546
gene	52190
gene	6200
gene	80021
gene	14146
gene	2327
gene	45629
gene	19079
gene	19880
gene	83812
gene	18496
gene	6679
gene	32816
gene	181997
gene	126661
gene	44153
gene	39095
gene	267307
gene	1382
gene	42632
gene	16142
gene	68475
gene	25871
gene	70446
gene	11617
gene	74255
gene	20327
gene	47267
gene	13473
gene	16760
gene	37665
gene	6020
gene	17783
gene	12290
gene	6057
gene	88522
gene	5257
gene	23783
gene	923
gene	13417
gene	1457
gene	11516
gene	6108
gene	4802
gene	8699
gene	114983
gene	237425
gene	17284
gene	25211
gene	228206
gene	3145
gene	73
gene	4394
gene	16456
gene	19228
gene	38942
gene	6871
gene	6711
gene	5869
gene	28168
gene	94824
gene	66141
gene	67842
gene	70989
gene	25700
gene	24630
gene	7382
gene	17515
gene	14898
gene	145299
gene	1322
gene	11989
gene	29535
gene	21550
gene	15064
gene	28499
gene	22702
gene	6065
gene	15641
gene	4944
gene	32304
gene	21364
gene	9568
gene	16957
gene	7889
gene	743
gene	7136
gene	20799
gene	17710
gene	22633
gene	4149
gene	37096
gene	1259
gene	1037
gene	4643
gene	11043
gene	8024
gene	157998
gene	16669
gene	18259
gene	8321
gene	15858
gene	12679
gene	24436
gene	22012
gene	14114
gene	41980
gene	107646
gene	11964
gene	6102
gene	4998
gene	4872
gene	22682
gene	7135
gene	47933
gene	6727
gene	1770
gene	32324
gene	42121
gene	509
gene	17160
gene	19409
gene	9585
gene	89300
gene	19631
gene	25415
gene	9684
gene	15185
gene	1780
gene	34530
gene	19609
gene	18112
gene	19324
gene	13565
gene	47858
gene	9776
gene	9966
gene	60315
gene	237
gene	6030
gene	1966
gene	5813
gene	94010
gene	11545
gene	15894
gene	51463
gene	13382
gene	1005
gene	795
gene	4240
gene	14898
gene	18963
gene	34446
gene	19369
gene	4194
gene	20976
gene	64412
gene	877
gene	28892
gene	10715
gene	28699
gene	20274
gene	38675
gene	102456
gene	4959
gene	31770
gene	26682
gene	301040
gene	24576
gene	1795
gene	363666
gene	186924
gene	13586
gene	35818
gene	38280
gene	16381
gene	24500
gene	10158
gene	8405
gene	17627
gene	11063
gene	25949
gene	6591
gene	10393
gene	45996
gene	16600
gene	29975
gene	76156
gene	41560
gene	16014
gene	45079
gene	19820
gene	99178
gene	19043
gene	3516
gene	16787
gene	9547
gene	3264
gene	59898
gene	2978
gene	2875
gene	33379
gene	21808
gene	27800
gene	7419
gene	43933
gene	10120
gene	19136
gene	17904
gene	1078
gene	881
gene	794
gene	4145
gene	1048
gene	943
gene	881
gene	596
gene	1129
gene	36455
gene	18958
gene	1071
gene	881
gene	326084
gene	44797
gene	142012
gene	3504
gene	253119
gene	1233
gene	13078
gene	19276
gene	1459
gene	13608
gene	84605
gene	4750
gene	13138
gene	5172
gene	14744
gene	19391
gene	6741
gene	4990
gene	32465
gene	5965
gene	16913
gene	22937
gene	38179
gene	26410
gene	28434
gene	12681
gene	7568
gene	691
gene	992
gene	102767
gene	2513
gene	2144
gene	46517
gene	572
gene	3467
gene	144667
gene	271
gene	4596
gene	2717
gene	44521
gene	26070
gene	14311
