feature	length
gene	1852
gene	3971
gene	1489
gene	2690
gene	1138
gene	743
gene	762
gene	3822
gene	1182
gene	1996
gene	1940
gene	989
gene	1067
gene	2410
gene	848
gene	557
gene	727
gene	827
gene	468
gene	1350
gene	1301
gene	1604
gene	2848
gene	1088
gene	639
gene	3005
gene	731
gene	7097
gene	4481
gene	2326
gene	1424
gene	2022
gene	248
gene	734
gene	1412
gene	2890
gene	1837
gene	905
gene	2094
gene	3328
gene	731
gene	3263
gene	287
gene	281
gene	711
gene	4969
gene	1847
gene	663
gene	3025
gene	706
gene	631
gene	1777
gene	1400
gene	393
gene	325
gene	417
gene	1756
gene	1995
gene	779
gene	4338
gene	988
gene	306
gene	820
gene	377
gene	293
gene	3853
gene	1621
gene	1218
gene	1068
gene	1799
gene	2852
gene	540
gene	4578
gene	472
gene	569
gene	775
gene	500
gene	4279
gene	1331
gene	925
gene	9169
gene	1423
gene	295
gene	1803
gene	299
gene	2720
gene	487
gene	268
gene	558
gene	232
gene	1595
gene	894
gene	1414
gene	1655
gene	4625
gene	1269
gene	474
gene	609
gene	4222
gene	1220
gene	490
gene	1035
gene	4438
gene	865
gene	1221
gene	3226
gene	487
gene	314
gene	521
gene	442
gene	6508
gene	667
gene	786
gene	947
gene	1785
gene	656
gene	478
gene	395
gene	297
gene	906
gene	3221
gene	292
gene	763
gene	1381
gene	539
gene	776
gene	694
gene	1009
gene	432
gene	477
gene	776
gene	389
gene	1448
gene	3239
gene	380
gene	632
gene	1280
gene	1221
gene	1063
gene	3236
gene	217
gene	1188
gene	1989
gene	449
gene	1569
gene	2358
gene	1307
gene	383
gene	510
gene	1153
gene	2537
gene	2502
gene	1973
gene	2306
gene	832
gene	3648
gene	1412
gene	452
gene	8456
gene	1379
gene	1343
gene	639
gene	257
gene	931
gene	3051
gene	1967
gene	3679
gene	197
gene	1028
gene	659
gene	617
gene	1471
gene	452
gene	735
gene	661
gene	5830
gene	1474
gene	1955
gene	1286
gene	1260
gene	480
gene	549
gene	1543
gene	826
gene	104
gene	1614
gene	2554
gene	347
gene	1327
gene	261
gene	2468
gene	829
gene	1636
gene	1403
gene	584
gene	804
gene	852
gene	2450
gene	1912
gene	1279
gene	2702
gene	2648
gene	8832
gene	934
gene	3006
gene	1467
gene	260
gene	1152
gene	799
gene	2009
gene	2804
gene	1013
gene	3430
gene	378
gene	181
gene	263
gene	1633
gene	2212
gene	290
gene	356
gene	212
gene	1200
gene	1734
gene	727
gene	1005
gene	2409
gene	2458
gene	494
gene	4095
gene	685
gene	348
gene	3136
gene	229
gene	478
gene	3059
gene	488
gene	328
gene	1106
gene	674
gene	2474
gene	283
gene	701
gene	1413
gene	757
gene	466
gene	854
gene	508
gene	5364
gene	1990
gene	544
gene	668
gene	1371
gene	1656
gene	3716
gene	1735
gene	592
gene	1122
gene	888
gene	513
gene	1290
gene	5508
gene	281
gene	1690
gene	505
gene	1842
gene	1953
gene	2339
gene	601
gene	1586
gene	402
gene	701
gene	1209
gene	5543
gene	2510
gene	1661
gene	4903
gene	2537
gene	410
gene	689
gene	287
gene	3609
gene	2388
gene	2401
gene	1091
gene	1259
gene	3750
gene	3188
gene	1289
gene	3872
gene	1307
gene	473
gene	1457
gene	1991
gene	324
gene	901
gene	1619
gene	215
gene	1013
gene	2540
gene	3286
gene	1965
gene	1121
gene	547
gene	1057
gene	2588
gene	563
gene	5682
gene	568
gene	1451
gene	2349
gene	2726
gene	815
gene	1655
gene	2842
gene	215
gene	2903
gene	2222
gene	275
gene	425
gene	1506
gene	703
gene	1010
gene	2254
gene	5871
gene	667
gene	1497
gene	595
gene	316
gene	2278
gene	1077
gene	477
gene	1174
gene	2079
gene	1048
gene	3993
gene	1762
gene	561
gene	296
gene	668
gene	369
gene	1313
gene	251
gene	878
gene	4225
gene	347
gene	401
gene	2873
gene	719
gene	788
gene	2303
gene	670
gene	818
gene	1224
gene	729
gene	379
gene	674
gene	443
gene	648
gene	391
gene	1046
gene	374
gene	488
gene	824
gene	2483
gene	1338
gene	690
gene	1734
gene	1627
gene	581
gene	331
gene	1752
gene	434
gene	1054
gene	350
gene	2148
gene	472
gene	1663
gene	396
gene	1727
gene	805
gene	389
gene	354
gene	4725
gene	490
gene	390
gene	679
gene	1110
gene	3325
gene	989
gene	896
gene	1682
gene	559
gene	334
gene	1795
gene	491
gene	401
gene	2447
gene	1145
gene	3659
gene	418
gene	712
gene	308
gene	480
gene	598
gene	2275
gene	3190
gene	5001
gene	2794
gene	2427
gene	373
gene	668
gene	737
gene	894
gene	2210
gene	766
gene	1478
gene	2042
gene	645
gene	1194
gene	506
gene	699
gene	230
gene	279
gene	1435
gene	1155
gene	2726
gene	1358
gene	287
gene	2540
gene	653
gene	320
gene	2665
gene	1287
gene	278
gene	264
gene	5499
gene	212
gene	688
gene	4599
gene	1667
gene	1821
gene	13974
gene	272
gene	3352
gene	1214
gene	3189
gene	1427
gene	1653
gene	1053
gene	1148
gene	425
gene	1283
gene	359
gene	894
gene	1068
gene	517
gene	717
gene	605
gene	3461
gene	320
gene	350
gene	698
gene	596
gene	639
gene	1073
gene	320
gene	1493
gene	723
gene	1559
gene	169
gene	440
gene	489
gene	4001
gene	525
gene	1103
gene	2334
gene	422
gene	332
gene	347
gene	562
gene	221
gene	2199
gene	430
gene	1954
gene	408
gene	669
gene	844
gene	1429
gene	773
gene	308
gene	2316
gene	675
gene	2809
gene	1184
gene	2947
gene	5784
gene	721
gene	416
gene	1629
gene	713
gene	578
gene	1022
gene	886
gene	407
gene	1634
gene	1655
gene	2070
gene	2428
gene	3326
gene	2300
gene	1505
gene	2588
gene	2955
gene	395
gene	499
gene	3108
gene	347
gene	3270
gene	3914
gene	294
gene	773
gene	2415
gene	3488
gene	1205
gene	361
gene	2784
gene	1506
gene	2660
gene	186
gene	3970
gene	1866
gene	806
gene	1616
gene	3306
gene	1108
gene	2304
gene	596
gene	360
gene	1842
gene	1770
gene	872
gene	721
gene	422
gene	2629
gene	2055
gene	1003
gene	294
gene	994
gene	350
gene	968
gene	633
gene	1999
gene	410
gene	11432
gene	460
gene	3833
gene	235
gene	284
gene	1045
gene	86
gene	1159
gene	329
gene	791
gene	2663
gene	1960
gene	1121
gene	1399
gene	1437
gene	317
gene	492
gene	1644
gene	1449
gene	659
gene	2192
gene	3292
gene	2615
gene	1626
gene	314
gene	461
gene	3422
gene	203
gene	1784
gene	4581
gene	1034
gene	1838
gene	520
gene	2150
gene	1625
gene	3150
gene	2347
gene	940
gene	323
gene	5526
gene	611
gene	1048
gene	797
gene	3524
gene	523
gene	3702
gene	1619
gene	1230
gene	1350
gene	3000
gene	2217
gene	1573
gene	433
gene	1099
gene	895
gene	2636
gene	345
gene	485
gene	1954
gene	733
gene	1920
gene	368
gene	288
gene	2290
gene	2239
gene	652
gene	534
gene	1153
gene	4199
gene	397
gene	290
gene	742
gene	1116
gene	6136
gene	872
gene	804
gene	1554
gene	1436
gene	286
gene	374
gene	218
gene	632
gene	1556
gene	1000
gene	1498
gene	911
gene	1811
gene	1607
gene	9377
gene	378
gene	1007
gene	1862
gene	812
gene	3090
gene	805
gene	3188
gene	409
gene	143
gene	1029
gene	929
gene	357
gene	245
gene	1453
gene	1567
gene	586
gene	1778
gene	1826
gene	1364
gene	1483
gene	1282
gene	545
gene	426
gene	400
gene	3069
gene	467
gene	908
gene	967
gene	857
gene	437
gene	653
gene	262
gene	4243
gene	350
gene	2757
gene	4489
gene	608
gene	524
gene	3574
gene	723
gene	1836
gene	474
gene	290
gene	2992
gene	317
gene	506
gene	365
gene	1551
gene	395
gene	227
gene	523
gene	239
gene	5107
gene	2373
gene	1575
gene	303
gene	1748
gene	2242
gene	269
gene	1538
gene	1142
gene	1207
gene	990
gene	568
gene	812
gene	359
gene	3060
gene	267
gene	1877
gene	741
gene	2069
gene	2895
gene	416
gene	769
gene	2716
gene	516
gene	733
gene	6972
gene	835
gene	804
gene	822
gene	8501
gene	2611
gene	326
gene	321
gene	359
gene	1050
gene	871
gene	338
gene	690
gene	4081
gene	3282
gene	524
gene	2767
gene	1046
gene	4216
gene	1405
gene	1102
gene	1635
gene	1408
gene	549
gene	1897
gene	2165
gene	201
gene	1027
gene	2402
gene	936
gene	210
gene	754
gene	326
gene	872
gene	328
gene	1718
gene	3776
gene	1685
gene	3625
gene	1536
gene	469
gene	877
gene	1417
gene	663
gene	323
gene	1100
gene	1473
gene	11970
gene	3481
gene	3643
gene	617
gene	224
gene	6237
gene	356
gene	1551
gene	1848
gene	374
gene	358
gene	725
gene	671
gene	2631
gene	571
gene	732
gene	575
gene	182
gene	1485
gene	2420
gene	3667
gene	3558
gene	2132
gene	492
gene	3106
gene	1239
gene	233
gene	468
gene	1568
gene	402
gene	2821
gene	1865
gene	1004
gene	626
gene	1353
gene	290
gene	359
gene	3740
gene	407
gene	792
gene	829
gene	820
gene	2232
gene	241
gene	1415
gene	854
gene	274
gene	2267
gene	2338
gene	2625
gene	811
gene	1179
gene	494
gene	536
gene	1565
gene	230
gene	338
gene	2472
gene	313
gene	1889
gene	566
gene	590
gene	2938
gene	460
gene	239
gene	502
gene	3575
gene	1839
gene	1427
gene	1418
gene	700
gene	2003
gene	3165
gene	1305
gene	401
gene	2936
gene	1413
gene	479
gene	617
gene	845
gene	564
gene	1847
gene	760
gene	1883
gene	1027
gene	1581
gene	673
gene	263
gene	932
gene	972
gene	1258
gene	1048
gene	1720
gene	1330
gene	464
gene	5686
gene	436
gene	1039
gene	1919
gene	494
gene	1678
gene	1068
gene	881
gene	1597
gene	1654
gene	5184
gene	465
gene	1009
gene	3332
gene	1183
gene	356
gene	3555
gene	754
gene	1932
gene	841
gene	638
gene	360
gene	267
gene	3983
gene	2152
gene	2273
gene	287
gene	2031
gene	1985
gene	845
gene	777
gene	2220
gene	920
gene	623
gene	7517
gene	956
gene	3133
gene	617
gene	1352
gene	575
gene	5869
gene	685
gene	1579
gene	704
gene	3306
gene	1483
gene	1051
gene	699
gene	597
gene	1857
gene	716
gene	402
gene	1574
gene	3452
gene	3444
gene	1017
gene	5803
gene	223
gene	1417
gene	1581
gene	260
gene	1593
gene	387
gene	851
gene	1559
gene	653
gene	512
gene	1819
gene	597
gene	656
gene	3279
gene	567
gene	992
gene	4331
gene	3309
gene	3250
gene	2557
gene	1267
gene	240
gene	1325
gene	1403
gene	2076
gene	953
gene	1133
gene	371
gene	2122
gene	3190
gene	278
gene	1897
gene	2325
gene	981
gene	1929
gene	7288
gene	575
gene	3652
gene	2230
gene	2164
gene	991
gene	871
gene	2231
gene	1309
gene	2828
gene	3845
gene	383
gene	215
gene	284
gene	2911
gene	532
gene	1833
gene	1089
gene	727
gene	728
gene	2084
gene	497
gene	116
gene	3965
gene	1264
gene	476
gene	1352
gene	442
gene	513
gene	326
gene	1422
gene	4175
gene	2105
gene	671
gene	2053
gene	1185
gene	1623
gene	1646
gene	526
gene	1844
gene	1450
gene	807
gene	3801
gene	1877
gene	407
gene	4601
gene	304
gene	882
gene	1192
gene	2139
gene	926
gene	1413
gene	982
gene	242
gene	95
gene	1841
gene	1541
gene	439
gene	694
gene	1898
gene	1762
gene	3849
gene	1142
gene	1170
gene	1292
gene	833
gene	2539
gene	3604
gene	1541
gene	4171
gene	1187
gene	1679
gene	2091
gene	809
gene	232
gene	1501
gene	2271
gene	104
gene	245
gene	1668
gene	531
gene	1330
gene	1093
gene	562
gene	1397
gene	1403
gene	1747
gene	701
gene	587
gene	1721
gene	1102
gene	604
gene	587
gene	4173
gene	677
gene	4975
gene	1676
gene	1009
gene	1108
gene	2904
gene	1017
gene	1127
gene	242
gene	731
gene	467
gene	869
gene	1202
gene	1565
gene	1604
gene	2754
gene	4562
gene	342
gene	1263
gene	412
gene	979
gene	4972
gene	284
gene	830
gene	879
gene	1101
gene	1460
gene	2371
gene	1975
gene	1855
gene	258
gene	3155
gene	372
gene	353
gene	879
gene	1463
gene	260
gene	342
gene	3769
gene	380
gene	579
gene	1796
gene	863
gene	2753
gene	705
gene	1155
gene	895
gene	2439
gene	1321
gene	1835
gene	623
gene	2777
gene	983
gene	422
gene	2222
gene	2911
gene	863
gene	3397
gene	221
gene	483
gene	291
gene	781
gene	1271
gene	683
gene	519
gene	1390
gene	1277
gene	1601
gene	2653
gene	456
gene	2541
gene	1681
gene	1053
gene	539
gene	852
gene	471
gene	1037
gene	332
gene	815
gene	1965
gene	1072
gene	1779
gene	284
gene	230
gene	2184
gene	1946
gene	557
gene	233
gene	268
gene	3048
gene	1455
gene	2381
gene	401
gene	700
gene	847
gene	513
gene	536
gene	1371
gene	2551
gene	1085
gene	556
gene	1472
gene	3311
gene	386
gene	3381
gene	1264
gene	1912
gene	1520
gene	4110
gene	2349
gene	1248
gene	2099
gene	1194
gene	619
gene	365
gene	1541
gene	3480
gene	622
gene	3227
gene	4297
gene	1186
gene	1982
gene	3135
gene	1412
gene	1208
gene	658
gene	301
gene	407
gene	619
gene	374
gene	1340
gene	920
gene	1764
gene	487
gene	2862
gene	818
gene	930
gene	1151
gene	2603
gene	1964
gene	2606
gene	368
gene	1073
gene	484
gene	452
gene	1616
gene	611
gene	329
gene	2254
gene	2609
gene	1139
gene	719
gene	559
gene	3323
gene	682
gene	874
gene	1670
gene	503
gene	292
gene	614
gene	2359
gene	1333
gene	4427
gene	375
gene	582
gene	790
gene	2387
gene	471
gene	314
gene	678
gene	1630
gene	2403
gene	738
gene	4167
gene	220
gene	158
gene	2271
gene	1968
gene	990
gene	3703
gene	591
gene	657
gene	1490
gene	1378
gene	943
gene	10075
gene	1293
gene	743
gene	1732
gene	1734
gene	969
gene	200
gene	1109
gene	236
gene	732
gene	809
gene	1340
gene	327
gene	1834
gene	1072
gene	397
gene	1376
gene	233
gene	4722
gene	1947
gene	570
gene	580
gene	1389
gene	1268
gene	923
gene	493
gene	3456
gene	831
gene	1436
gene	320
gene	756
gene	264
gene	4841
gene	609
gene	685
gene	1740
gene	1792
gene	374
gene	8345
gene	2340
gene	2920
gene	1977
gene	1131
gene	1339
gene	4043
gene	1750
gene	1546
gene	252
gene	1818
gene	1987
gene	1981
gene	12757
gene	912
gene	1280
gene	496
gene	3660
gene	438
gene	1990
gene	731
gene	1696
gene	1378
gene	822
gene	521
gene	1345
gene	2004
gene	2599
gene	1577
gene	397
gene	6473
gene	781
gene	2468
gene	854
gene	438
gene	718
gene	179
gene	460
gene	815
gene	614
gene	789
gene	383
gene	1773
gene	1072
gene	1027
gene	1574
gene	806
gene	6051
gene	242
gene	362
gene	218
gene	1184
gene	1022
gene	824
gene	624
gene	3688
gene	1965
gene	1123
gene	344
gene	830
gene	1721
gene	2294
gene	7794
gene	1929
gene	1038
gene	800
gene	243
gene	236
gene	2342
gene	778
gene	2708
gene	272
gene	2001
gene	2709
gene	1868
gene	194
gene	1487
gene	2767
gene	630
gene	1718
gene	888
gene	1356
gene	651
gene	1161
gene	598
gene	964
gene	1170
gene	541
gene	305
gene	3840
gene	254
gene	541
gene	1184
gene	3228
gene	4425
gene	1528
gene	568
gene	11666
gene	828
gene	2363
gene	3041
gene	722
gene	2855
gene	661
gene	1833
gene	821
gene	1359
gene	1735
gene	2189
gene	1291
gene	16462
gene	698
gene	880
gene	1281
gene	1630
gene	346
gene	2045
gene	570
gene	912
gene	748
gene	1653
gene	1116
gene	1440
gene	2299
gene	2103
gene	554
gene	2106
gene	2826
gene	298
gene	3020
gene	563
gene	326
gene	7896
gene	1779
gene	742
gene	373
gene	375
gene	585
gene	2515
gene	532
gene	653
gene	485
gene	590
gene	671
gene	828
gene	1266
gene	3134
gene	871
gene	305
gene	2058
gene	480
gene	1556
gene	1385
gene	417
gene	1263
gene	624
gene	15400
gene	212
gene	1724
gene	2919
gene	493
gene	1378
gene	652
gene	810
gene	2680
gene	2250
gene	1156
gene	537
gene	769
gene	594
gene	741
gene	2405
gene	287
gene	524
gene	1372
gene	917
gene	1952
gene	332
gene	6624
gene	1169
gene	3484
gene	4648
gene	2345
gene	994
gene	658
gene	1851
gene	681
gene	869
gene	2419
gene	2528
gene	2379
gene	2841
gene	930
gene	2101
gene	170
gene	2054
gene	3356
gene	397
gene	288
gene	282
gene	3567
gene	3005
gene	3070
gene	221
gene	152
gene	1112
gene	614
gene	2370
gene	2148
gene	458
gene	792
gene	681
gene	411
gene	807
gene	853
gene	684
gene	722
gene	782
gene	7821
gene	751
gene	4225
gene	4321
gene	1040
gene	1763
gene	756
gene	1598
gene	901
gene	865
gene	1489
gene	1025
gene	985
gene	3262
gene	641
gene	3180
gene	1853
gene	5890
gene	1684
gene	924
gene	1766
gene	2751
gene	606
gene	1238
gene	4001
gene	5734
gene	572
gene	971
gene	840
gene	732
gene	850
gene	1844
gene	1165
gene	1836
gene	293
gene	734
gene	665
gene	2285
gene	1253
gene	1115
gene	1334
gene	1260
gene	800
gene	927
gene	1086
gene	4721
gene	244
gene	7094
gene	764
gene	806
gene	2822
gene	113
gene	3584
gene	1234
gene	350
