feature	length
gene	15538
gene	3537
gene	1637
gene	566
gene	3942
gene	2001
gene	4838
gene	226
gene	419
gene	1443
gene	1992
gene	2228
gene	1098
gene	4343
gene	271
gene	3128
gene	2246
gene	573
gene	691
gene	732
gene	536
gene	1336
gene	6363
gene	1047
gene	147
gene	6461
gene	6553
gene	495
gene	2202
gene	1113
gene	7421
gene	598
gene	3651
gene	2176
gene	1737
gene	8448
gene	1270
gene	1739
gene	3558
gene	2132
gene	2065
gene	2448
gene	2236
gene	339
gene	720
gene	2942
gene	823
gene	764
gene	815
gene	1913
gene	2235
gene	1823
gene	3101
gene	1581
gene	1393
gene	1741
gene	5605
gene	353
gene	1449
gene	766
gene	2698
gene	1649
gene	145
gene	2195
gene	7520
gene	1054
gene	570
gene	7080
gene	1597
gene	275
gene	6508
gene	1340
gene	274
gene	1829
gene	1023
gene	3195
gene	1897
gene	2303
gene	2136
gene	2562
gene	2818
gene	687
gene	862
gene	903
gene	2815
gene	1990
gene	423
gene	567
gene	945
gene	888
gene	5022
gene	3779
gene	824
gene	897
gene	267
gene	1589
gene	1430
gene	1487
gene	1439
gene	297
gene	1631
gene	362
gene	267
gene	1709
gene	1774
gene	1730
gene	2275
gene	7154
gene	274
gene	4359
gene	246
gene	531
gene	1290
gene	525
gene	369
gene	2073
gene	1679
gene	162
gene	215
gene	310
gene	640
gene	2704
gene	20969
gene	1099
gene	769
gene	12050
gene	1570
gene	177
gene	29274
gene	1826
gene	3865
gene	1107
gene	699
gene	271
gene	2079
gene	1787
gene	2582
gene	891
gene	812
gene	808
gene	161
gene	828
gene	224
gene	353
gene	3937
gene	4602
gene	173
gene	599
gene	7752
gene	442
gene	1610
gene	324
gene	2821
gene	1233
gene	1824
gene	2872
gene	909
gene	1331
gene	1473
gene	8561
gene	14033
gene	1025
gene	1755
gene	769
gene	199
gene	462
gene	1160
gene	6255
gene	1036
gene	302
gene	1296
gene	371
gene	33416
gene	1955
gene	1038
gene	677
gene	1451
gene	3880
gene	1673
gene	476
gene	1398
gene	6360
gene	4273
gene	1327
gene	1484
gene	282
gene	629
gene	2291
gene	749
gene	855
gene	1089
gene	144
gene	599
gene	1241
gene	248
gene	1215
gene	53280
gene	892
gene	2459
gene	2325
gene	1264
gene	2040
gene	3122
gene	3652
gene	1324
gene	788
gene	1058
gene	3563
gene	950
gene	910
gene	2022
gene	2357
gene	238
gene	1376
gene	1460
gene	1977
gene	1586
gene	1132
gene	14063
gene	1165
gene	425
gene	1301
gene	534
gene	845
gene	2705
gene	1430
gene	208
gene	465
gene	408
gene	738
gene	1574
gene	14028
gene	464
gene	2445
gene	397
gene	1665
gene	346
gene	2065
gene	2071
gene	1110
gene	164
gene	868
gene	439
gene	3674
gene	2255
gene	796
gene	13014
gene	1077
gene	1513
gene	788
gene	944
gene	518
gene	780
gene	523
gene	1357
gene	871
gene	2515
gene	8386
gene	1522
gene	2316
gene	1792
gene	1102
gene	1211
gene	431
gene	395
gene	556
gene	1311
gene	609
gene	860
gene	1688
gene	156
gene	449
gene	3690
gene	779
gene	2409
gene	1046
gene	721
gene	642
gene	1496
gene	1179
gene	7021
gene	7021
gene	503
gene	523
gene	540
gene	1593
gene	296
gene	1306
gene	2561
gene	210
gene	1117
gene	2565
gene	2648
gene	969
gene	1197
gene	1272
gene	173
gene	2731
gene	401
gene	413
gene	1182
gene	1405
gene	2463
gene	4403
gene	1139
gene	1551
gene	1580
gene	1206
gene	2529
gene	1305
gene	622
gene	236
gene	554
gene	2082
gene	2627
gene	2103
gene	757
gene	1013
gene	635
gene	1211
gene	291
gene	663
gene	494
gene	1306
gene	615
gene	555
gene	163
gene	441
gene	1691
gene	1314
gene	7897
gene	2251
gene	741
gene	1051
gene	1088
gene	977
gene	330
gene	7305
gene	686
gene	440
gene	697
gene	2483
gene	4659
gene	494
gene	1380
gene	227
gene	1543
gene	8448
gene	707
gene	272
gene	2116
gene	477
gene	3478
gene	4113
gene	1040
gene	1155
gene	2088
gene	2863
gene	1608
gene	1284
gene	584
gene	648
gene	2300
gene	4663
gene	6901
gene	1421
gene	594
gene	1195
gene	11061
gene	1729
gene	1541
gene	854
gene	3245
gene	1507
gene	891
gene	889
gene	1470
gene	4632
gene	584
gene	455
gene	1821
gene	11223
gene	312
gene	3230
gene	5637
gene	805
gene	3619
gene	3701
gene	1350
gene	3245
gene	2186
gene	6042
gene	265
gene	214
gene	1879
gene	2292
gene	11762
gene	295
gene	459
gene	5661
gene	1755
gene	1892
gene	8926
gene	1428
gene	140
gene	3156
gene	1035
gene	7654
gene	1834
gene	1322
gene	4346
gene	740
gene	1645
gene	389
gene	1232
gene	1423
gene	2083
gene	6657
gene	2096
gene	839
gene	2234
gene	443
gene	1810
gene	2259
gene	1796
gene	4324
gene	11369
gene	2480
gene	3669
gene	1046
gene	2185
gene	19840
gene	227
gene	296
gene	185
gene	1241
gene	1627
gene	1321
gene	1562
gene	3378
gene	2771
gene	982
gene	10711
gene	1864
gene	2051
gene	1953
gene	574
gene	4362
gene	159
gene	368
gene	576
gene	3580
gene	5370
gene	19237
gene	302
gene	1174
gene	1153
gene	341
gene	1160
gene	1150
gene	7629
gene	19503
gene	2052
gene	772
gene	2267
gene	314
gene	14991
gene	1045
gene	1795
gene	1915
gene	1049
gene	481
gene	254
gene	224
gene	173
gene	206
gene	557
gene	873
gene	397
gene	312
gene	180
gene	681
gene	688
gene	1708
gene	797
gene	2723
gene	1226
gene	2811
gene	321
gene	1032
gene	2393
gene	640
gene	536
gene	806
gene	387
gene	169
gene	701
gene	224
gene	182
gene	232
gene	1379
gene	2056
gene	167
gene	263
gene	619
gene	369
gene	734
gene	843
gene	1626
gene	839
gene	1861
gene	642
gene	1521
gene	761
gene	514
gene	703
gene	369
gene	722
gene	551
gene	1317
gene	326
gene	703
gene	520
gene	339
gene	1180
gene	1543
gene	1762
gene	807
gene	4621
gene	173
gene	317
gene	1754
gene	1095
gene	1702
gene	885
gene	2647
gene	950
gene	945
gene	2136
gene	479
gene	320
gene	333
gene	795
gene	823
gene	1718
gene	2454
gene	1500
gene	1483
gene	2663
gene	942
gene	1049
gene	985
gene	796
gene	1317
gene	796
gene	1346
gene	425
gene	732
gene	187
gene	2734
gene	1363
gene	3955
gene	8132
gene	2030
gene	6721
gene	989
gene	538
gene	6309
gene	895
gene	4746
gene	261
gene	266
gene	3900
gene	3257
gene	155
gene	1440
gene	531
gene	578
gene	3571
gene	217
gene	3030
gene	176
gene	1501
gene	1017
gene	2075
gene	2599
gene	865
gene	1491
gene	1754
gene	732
gene	1814
gene	30781
gene	749
gene	356
gene	2636
gene	934
gene	5626
gene	4224
gene	5240
gene	4336
gene	582
gene	1840
gene	6850
gene	4953
gene	1353
gene	1337
gene	1966
gene	1394
gene	3746
gene	2472
gene	2896
gene	1685
gene	2673
gene	1590
gene	482
gene	1234
gene	1508
gene	18499
gene	2598
gene	3506
gene	1161
gene	2100
gene	1646
gene	227
gene	1647
gene	1382
gene	1210
gene	906
gene	2071
gene	973
gene	684
gene	198
gene	1504
gene	1781
gene	2046
gene	1061
gene	909
gene	15506
gene	635
gene	605
gene	3537
gene	803
gene	389
gene	3726
gene	928
gene	608
gene	409
gene	933
gene	958
gene	928
gene	945
gene	4312
gene	258
gene	1810
gene	1505
gene	830
gene	782
gene	1042
gene	1052
gene	162
gene	539
gene	19849
gene	2569
gene	1549
gene	302
gene	3869
gene	700
gene	1446
gene	1033
gene	1946
gene	1376
gene	710
gene	928
gene	1748
gene	670
gene	216
gene	853
gene	2132
gene	418
gene	782
gene	1203
gene	801
gene	1097
gene	161
gene	1196
gene	391
gene	1826
gene	1008
gene	1047
gene	1654
gene	4364
gene	2385
gene	3477
gene	181
gene	2922
gene	4993
gene	4455
gene	848
gene	405
gene	1470
gene	1532
gene	2376
gene	484
gene	1990
gene	1563
gene	873
gene	1143
gene	1417
gene	1385
gene	616
gene	560
gene	5205
gene	212
gene	2038
gene	76669
gene	846
gene	1448
gene	866
gene	1751
gene	12615
gene	1979
gene	434
gene	987
gene	2342
gene	693
gene	653
gene	2575
gene	2008
gene	219
gene	3023
gene	1802
gene	381
gene	1711
gene	3647
gene	162
gene	39333
gene	226
gene	3205
gene	301
gene	3835
gene	932
gene	5636
gene	243
gene	2631
gene	269
gene	474
gene	1383
gene	1151
gene	2124
gene	545
gene	2004
gene	1433
gene	2038
gene	1098
gene	2404
gene	2089
gene	5020
gene	1732
gene	1773
gene	1939
gene	455
gene	740
gene	521
gene	620
