feature	length
gene	24425
gene	24712
gene	15072
gene	27778
gene	30383
gene	15649
gene	19899
gene	3163
gene	1011
gene	3670
gene	2217
gene	2769
gene	26150
gene	1434
gene	11410
gene	3795
gene	14334
gene	4391
gene	136876
gene	17303
gene	34889
gene	70367
gene	5285
gene	13508
gene	317726
gene	16767
gene	5470
gene	7747
gene	7248
gene	6473
gene	86756
gene	11541
gene	23087
gene	9131
gene	7417
gene	7463
gene	7984
gene	3000
gene	18587
gene	3445
gene	4678
gene	32232
gene	32723
gene	3986
gene	16831
gene	3091
gene	24028
gene	106931
gene	13873
gene	4556
gene	7934
gene	9861
gene	3200
gene	18986
gene	2167
gene	39250
gene	36614
gene	5491
gene	6773
gene	10030
gene	5216
gene	1307
gene	10607
gene	44555
gene	7808
gene	3646
gene	31563
gene	4866
gene	1719
gene	14068
gene	6399
gene	68270
gene	12486
gene	5875
gene	4656
gene	89067
gene	3742
gene	29068
gene	3302
gene	30919
gene	12721
gene	5349
gene	13023
gene	2736
gene	3186
gene	7438
gene	89337
gene	34571
gene	20591
gene	6360
gene	24750
gene	7701
gene	2783
gene	16360
gene	10828
gene	35909
gene	39204
gene	15000
gene	12936
gene	12638
gene	1991
gene	18291
gene	1135
gene	5397
gene	5834
gene	17078
gene	39200
gene	2936
gene	244181
gene	2193
gene	2764
gene	7182
gene	3799
gene	6016
gene	3038
gene	4053
gene	3200
gene	29329
gene	17607
gene	9005
gene	53886
gene	2675
gene	18913
gene	2740
gene	7224
gene	4950
gene	31844
gene	14108
gene	69487
gene	2447
gene	10083
gene	11939
gene	4623
gene	10119
gene	11126
gene	21102
gene	5085
gene	5025
gene	4509
gene	10770
gene	13920
gene	1890
gene	4927
gene	110298
gene	122836
gene	21185
gene	5265
gene	17537
gene	55955
gene	15339
gene	331785
gene	1980
gene	41224
gene	7016
gene	2906
gene	3231
gene	6349
gene	860
gene	11946
gene	1781
gene	10237
gene	11916
gene	72198
gene	9282
gene	47980
gene	8172
gene	2715
gene	2727
gene	825
gene	1253
gene	1128
gene	7537
gene	7375
gene	6647
gene	17932
gene	31267
gene	20450
gene	308640
gene	89871
gene	7411
gene	5385
gene	12355
gene	9854
gene	734
gene	152099
gene	4299
gene	17727
gene	7223
gene	8818
gene	84598
gene	8504
gene	11272
gene	5986
gene	6586
gene	2816
gene	1610
gene	61162
gene	2481
gene	2216
gene	9717
gene	157625
gene	7205
gene	20799
gene	51777
gene	8195
gene	9825
gene	8391
gene	5055
gene	21199
gene	16770
gene	34058
gene	6530
gene	40649
gene	45242
gene	10719
gene	4953
gene	122529
gene	580
gene	888
gene	544
gene	586
gene	1025
gene	650
gene	597
gene	1189
gene	1215
gene	639
gene	40463
gene	45242
gene	3895
gene	3603
gene	6728
gene	6177
gene	13085
gene	2865
gene	3421
gene	3961
gene	54117
gene	4708
gene	54287
gene	9307
gene	14566
gene	2086
gene	1885
gene	4013
gene	29933
gene	5318
gene	1696
gene	32446
gene	1935
gene	5619
gene	6451
gene	6069
gene	10300
gene	8043
gene	2558
gene	6522
gene	13648
gene	3335
gene	11503
gene	2264
gene	3570
gene	13742
gene	34126
gene	15562
gene	9282
gene	7057
gene	8010
gene	4634
gene	8449
gene	6662
gene	5670
gene	7162
gene	3568
gene	3573
gene	61146
gene	25658
gene	7305
gene	50310
gene	64951
gene	62307
gene	1916
gene	3946
gene	7675
gene	98114
gene	4510
gene	1163
gene	386
gene	39041
gene	1506
gene	10803
gene	6263
gene	4668
gene	1915
gene	54444
gene	1927
gene	64339
gene	18397
gene	14035
gene	15311
gene	2093
gene	46917
gene	4420
gene	8144
gene	4185
gene	5471
gene	12793
gene	12388
gene	4426
gene	10481
gene	7142
gene	2762
gene	6950
gene	1231
gene	8671
gene	4533
gene	34414
gene	15289
gene	3990
gene	10908
gene	3799
gene	12642
gene	7223
gene	18683
gene	17980
gene	7661
gene	20171
gene	14856
gene	6944
gene	70387
gene	3093
gene	14502
gene	57608
gene	77197
gene	5596
gene	11452
gene	58353
gene	26697
gene	56389
gene	13360
gene	9231
gene	52110
gene	7988
gene	23659
gene	3117
gene	4235
gene	3836
gene	2514
gene	10057
gene	1992
gene	5302
gene	7053
gene	6774
gene	6195
gene	93424
gene	5608
gene	23678
gene	17161
gene	23333
gene	5284
gene	3613
gene	7848
gene	6930
gene	7138
gene	1750
gene	6990
gene	5691
gene	2523
gene	4561
gene	43848
gene	1374
gene	2271
gene	1737
gene	60110
gene	13264
gene	9952
gene	5709
gene	7853
gene	3831
gene	4453
gene	13749
gene	8212
gene	12899
gene	3001
gene	7122
gene	13802
gene	61569
gene	75148
gene	18029
gene	6468
gene	8022
gene	9710
gene	8862
gene	14384
gene	14755
gene	2961
gene	3607
gene	67829
gene	2503
gene	9970
gene	3438
gene	2331
gene	2934
gene	1932
gene	1998
gene	2661
gene	2225
gene	6978
gene	19050
gene	8007
gene	60999
gene	6676
gene	2820
gene	14890
gene	6148
gene	99908
gene	19317
gene	6129
gene	8406
gene	276257
gene	2641
gene	109714
gene	3607
gene	5699
gene	275179
gene	25486
gene	40527
gene	78616
gene	133631
gene	18960
gene	16276
gene	4168
gene	3686
gene	2549
gene	4334
gene	2810
gene	3504
gene	22842
gene	65697
gene	12622
gene	8685
gene	11681
gene	15804
gene	13283
gene	66954
gene	18663
gene	8243
gene	5363
gene	19489
gene	19725
gene	11037
gene	35048
gene	19819
gene	30609
gene	98422
gene	57276
gene	8417
gene	14268
gene	10691
gene	17236
gene	5545
gene	8314
gene	12586
gene	4918
gene	11302
gene	8317
gene	21800
gene	7333
gene	9858
gene	22735
gene	14929
gene	59693
gene	2131
gene	59684
gene	158478
gene	21872
gene	2868
gene	15173
gene	4997
gene	4822
gene	6722
gene	1920
gene	5468
gene	32208
gene	9441
gene	6067
gene	1189
gene	1695
gene	28691
gene	4136
gene	13496
gene	4289
gene	587
gene	65594
gene	7808
gene	6993
gene	6750
gene	165276
gene	10986
gene	6638
gene	6730
gene	17927
gene	10999
gene	25056
gene	2538
gene	11896
gene	53206
gene	37851
gene	4869
gene	1251
gene	2586
gene	131416
gene	12726
gene	4722
gene	4811
gene	12871
gene	455
gene	445
gene	1234
gene	60851
gene	3133
gene	45492
gene	1246
gene	7676
gene	11408
gene	14812
gene	26668
gene	1908
gene	132230
gene	30134
gene	14625
gene	58466
gene	25514
gene	11793
gene	17884
gene	11099
gene	20009
gene	4590
gene	88701
gene	24989
gene	57734
gene	14722
gene	15855
gene	8151
gene	28018
gene	10049
gene	86157
gene	3870
gene	3233
gene	34440
gene	22921
gene	6112
gene	9647
gene	69825
gene	1642
gene	20558
gene	5060
gene	101121
gene	4738
gene	13212
gene	10359
gene	9395
gene	14857
gene	5699
gene	37351
gene	4578
gene	3014
gene	29293
gene	14092
gene	8768
gene	16723
gene	15649
gene	7087
gene	5379
gene	54605
gene	24084
gene	2985
gene	281121
gene	17593
gene	4191
gene	7054
gene	6827
gene	11484
gene	4882
gene	5965
gene	2830
gene	5483
gene	40991
gene	2054
gene	6316
gene	458
gene	5703
gene	16207
gene	7599
gene	12414
gene	13588
gene	32334
gene	41895
gene	2261
gene	62695
gene	3761
gene	8050
gene	20119
gene	73055
gene	2029
gene	3090
gene	5689
gene	770
gene	89882
gene	6239
gene	8747
gene	36301
gene	13946
gene	12652
gene	4351
gene	1113
gene	2507
gene	1259
gene	70423
gene	13688
gene	11327
gene	24069
gene	9267
gene	15821
gene	14681
gene	27729
gene	6447
gene	5761
gene	21271
gene	36097
gene	44450
gene	4160
gene	13261
gene	4333
gene	33412
gene	74875
gene	107938
gene	29212
gene	10337
gene	31864
gene	13140
gene	34741
gene	43739
gene	1609
gene	4415
gene	17976
gene	20777
gene	2982
gene	5416
gene	299
gene	5418
gene	69023
gene	9466
gene	140046
gene	1386
gene	2137
gene	13130
gene	265992
gene	27662
gene	2648
gene	1836
gene	4543
gene	3347
gene	13762
gene	2568
gene	3172
gene	4916
gene	14087
gene	17269
gene	6800
gene	7148
gene	165232
gene	6074
gene	65027
gene	4793
gene	31450
gene	81771
gene	8963
gene	27531
gene	15990
gene	4429
gene	18990
gene	27089
gene	3818
gene	5493
gene	19447
gene	1988
gene	3290
gene	4888
gene	1832
gene	950
gene	38844
gene	6652
gene	127737
gene	25964
gene	13465
gene	3777
gene	7192
gene	9578
gene	4876
gene	75298
gene	22591
gene	9611
gene	6865
gene	79957
gene	356
gene	13781
gene	11722
gene	12408
gene	20779
gene	8324
gene	93319
gene	25491
gene	13677
gene	19560
gene	9626
gene	1323
gene	4036
gene	18276
gene	28260
gene	13021
gene	71387
gene	6278
gene	69027
gene	20122
gene	2299
gene	27708
gene	10002
gene	5733
gene	15821
gene	11219
gene	5855
gene	23183
gene	66105
gene	15402
gene	9211
gene	8784
gene	39415
gene	10687
gene	15359
gene	6386
gene	16551
gene	3852
gene	5081
gene	46213
gene	4852
gene	163858
gene	36228
gene	4452
gene	7239
gene	53850
gene	1168
gene	11849
gene	39960
gene	14605
gene	5626
gene	6753
gene	51466
gene	2905
gene	8842
gene	1645
gene	16025
gene	179566
gene	23340
gene	35714
gene	2426
gene	48163
gene	13759
gene	10454
gene	140550
gene	4313
gene	8315
gene	11507
gene	4320
gene	19517
gene	6369
gene	41648
gene	111789
gene	4295
gene	5842
gene	54352
gene	8411
gene	6948
gene	20740
gene	20698
gene	31362
gene	45688
gene	148830
gene	50371
gene	4822
gene	38516
gene	2167
gene	234943
gene	13880
gene	20613
gene	1999
gene	70773
gene	3749
gene	4725
gene	6109
gene	2266
gene	112674
gene	3133
gene	3594
gene	1515
gene	8723
gene	26562
gene	47404
gene	6804
gene	6465
gene	2295
gene	5809
gene	22096
gene	134984
gene	1965
gene	26927
gene	23752
gene	11226
gene	12629
gene	43058
gene	8212
gene	67735
gene	3345
gene	52700
gene	4365
gene	3454
gene	16218
gene	16089
gene	9312
gene	138409
gene	51967
gene	9768
gene	35131
gene	4343
gene	3833
gene	12283
gene	19611
gene	12087
gene	1089
gene	3255
gene	9106
gene	9164
gene	17718
gene	38274
gene	7690
gene	4046
gene	3866
gene	5546
gene	56525
gene	3417
gene	9746
gene	8435
gene	5766
gene	3959
gene	30668
gene	4095
gene	1270
gene	3324
gene	1512
gene	1250
gene	158497
gene	4640
gene	5795
gene	28562
gene	21671
gene	6025
gene	57268
gene	18922
gene	21469
gene	4934
gene	76972
gene	8634
gene	4196
gene	50933
gene	2113
gene	3517
gene	30748
gene	37081
gene	3297
gene	6193
gene	18497
gene	43927
gene	6390
gene	9412
gene	6422
gene	39293
gene	961
gene	5161
gene	5354
gene	3073
gene	6003
gene	20398
gene	3081
gene	34371
gene	9760
gene	46569
gene	4393
gene	167396
gene	2817
gene	9262
gene	10534
gene	1552
gene	4375
gene	174825
gene	1562
gene	1603
gene	11791
gene	6029
gene	1403
gene	116547
gene	22351
gene	13375
gene	33212
gene	63848
gene	7531
gene	60533
gene	15884
gene	12753
gene	19777
gene	13457
gene	65117
gene	1388
gene	9787
gene	5402
gene	8773
gene	11530
gene	67362
gene	2138
gene	7279
gene	7544
gene	6734
gene	14422
gene	2085
gene	14284
gene	16820
gene	69604
gene	1209
gene	7500
gene	14226
gene	15946
gene	78160
gene	26581
gene	14072
gene	9010
gene	5311
gene	5247
gene	2035
gene	3251
gene	15880
gene	24140
gene	129027
gene	14233
gene	45601
gene	57138
gene	28162
gene	4438
gene	6320
gene	9830
gene	20831
gene	31442
gene	134568
gene	7536
gene	11646
gene	52995
gene	134075
gene	8316
gene	3965
gene	25506
gene	7193
gene	2649
gene	7167
gene	14714
gene	4589
gene	32327
gene	4201
gene	154240
gene	6591
gene	8835
gene	12893
gene	8096
gene	11601
gene	2558
gene	2187
gene	16843
gene	4741
gene	4880
gene	5680
gene	10130
gene	107640
gene	1016
gene	5158
gene	196183
gene	7795
gene	10258
gene	21228
gene	69849
gene	7861
gene	9329
gene	228401
gene	6477
gene	4864
gene	285635
gene	6263
gene	1991
gene	10300
gene	8285
gene	16337
gene	15516
gene	25706
gene	172762
gene	1043
gene	5330
gene	38002
gene	2388
gene	4604
gene	3324
gene	5353
gene	6227
gene	18241
gene	3409
gene	6607
gene	3072
gene	9742
gene	12611
gene	32165
gene	14683
gene	8012
gene	6995
gene	17390
gene	8125
gene	81076
gene	53523
gene	12824
gene	2481
gene	1379
gene	11962
gene	31524
gene	6979
gene	2729
gene	2320
gene	4000
gene	7981
gene	9758
gene	125975
gene	14358
gene	10694
gene	2274
gene	165142
gene	40990
gene	30569
gene	3168
gene	6574
gene	3167
gene	4380
gene	10467
gene	39443
gene	2399
gene	2568
gene	8237
gene	138280
gene	3082
gene	4653
gene	8723
gene	7087
gene	11199
gene	86918
gene	104875
gene	55369
gene	10116
gene	56616
gene	44096
gene	8597
gene	24890
gene	1990
gene	6126
gene	19391
gene	3741
gene	6079
gene	17439
gene	10218
gene	7163
gene	8834
gene	9278
gene	2585
gene	535
gene	54054
gene	8443
gene	6084
gene	2663
gene	11281
gene	3491
gene	683
gene	5944
gene	4485
gene	97014
gene	25391
gene	58376
gene	13085
gene	23037
gene	5934
gene	9370
gene	14104
gene	9063
gene	9275
gene	8358
gene	68717
gene	69514
gene	7279
gene	10306
gene	7457
gene	8576
gene	1934
gene	7814
gene	2189
gene	2224
gene	4406
gene	5430
gene	8496
gene	660
gene	6907
gene	2482
gene	879
gene	4886
gene	14547
gene	98247
gene	483
gene	490
gene	911
gene	497
gene	91721
gene	10788
gene	3140
gene	16466
gene	23429
gene	25571
gene	9098
gene	43484
gene	7533
gene	23249
gene	5226
gene	12913
gene	7220
gene	3370
gene	4963
gene	3410
gene	6212
gene	82989
gene	5159
gene	6358
gene	3164
gene	3005
gene	4604
gene	17325
gene	3379
gene	25205
gene	2533
gene	1830
gene	10368
gene	45445
gene	83611
gene	1681
gene	1313
gene	138676
gene	3155
gene	4669
gene	149245
gene	57497
gene	65647
gene	3282
gene	7859
gene	4082
gene	4746
gene	10635
gene	12535
gene	6104
gene	106989
gene	6997
gene	11917
gene	4899
gene	41677
gene	19147
gene	2362
gene	21977
gene	90276
gene	1583
gene	12914
gene	97230
gene	857
gene	49465
gene	3670
gene	5731
gene	19241
gene	1113
gene	6927
gene	13801
gene	11955
gene	13406
gene	103495
gene	17390
gene	17000
gene	19035
gene	58825
gene	14694
gene	244099
gene	3340
gene	2788
gene	22115
gene	127681
gene	5020
gene	3489
gene	1768
gene	8032
gene	2130
gene	41097
gene	21547
gene	12333
gene	5451
gene	15531
gene	3760
gene	11637
gene	11688
gene	4757
gene	11399
gene	3654
gene	90639
gene	39768
gene	6518
gene	25820
gene	2069
gene	6959
gene	208896
gene	5816
gene	21418
gene	28024
gene	8189
gene	5667
gene	7191
gene	59246
gene	826
gene	5271
gene	14993
gene	19880
gene	30362
gene	7699
gene	2170
gene	9586
gene	19487
gene	28532
gene	8609
gene	3719
gene	10288
gene	7264
gene	7599
gene	4252
gene	1026
gene	62948
gene	57410
gene	20903
gene	2453
gene	16215
gene	17119
gene	7205
gene	58521
gene	25848
gene	2895
gene	19745
gene	8999
gene	3994
gene	10413
gene	7085
gene	3635
gene	3047
gene	4875
gene	7187
gene	37930
gene	10349
gene	22169
gene	10699
gene	94972
gene	5788
gene	74616
gene	13161
gene	42065
gene	1172
gene	1355
gene	2682
gene	9010
gene	6438
gene	269853
gene	32540
gene	22172
gene	76552
gene	23190
gene	40490
gene	4920
gene	6481
gene	4025
gene	11736
gene	94577
gene	17694
gene	149857
gene	13161
gene	16917
gene	60332
gene	15027
gene	4857
gene	109661
gene	6369
gene	14752
gene	13467
gene	4831
gene	1616
gene	4738
gene	23635
gene	76090
gene	26755
gene	29815
gene	90606
gene	4990
gene	7436
gene	9116
gene	13604
gene	15289
gene	15051
gene	2907
gene	3032
gene	3196
gene	11536
gene	105785
gene	5141
gene	20838
gene	15027
gene	53869
gene	418817
gene	7335
gene	1740
gene	13961
gene	17284
gene	4633
gene	10292
gene	12836
gene	3367
gene	2492
gene	8152
gene	51424
gene	16192
gene	19478
gene	1938
gene	6133
gene	10139
gene	3623
gene	15039
gene	59473
gene	62112
gene	28283
gene	4814
gene	7243
gene	35717
gene	3326
gene	3905
gene	10662
gene	12906
gene	25185
gene	2757
gene	1927
gene	56408
gene	5180
gene	9776
gene	6712
gene	5639
gene	35970
gene	122825
gene	4294
gene	21801
gene	4582
gene	4537
gene	6342
gene	1331
gene	27330
gene	31457
gene	7319
gene	10364
gene	13422
gene	45728
gene	16706
gene	42265
gene	6097
gene	22225
gene	13254
gene	13314
gene	7497
gene	3053
gene	5296
gene	5638
gene	311215
gene	47347
gene	7176
gene	9089
gene	27112
gene	5738
gene	49407
gene	5450
gene	3843
gene	1841
gene	4174
gene	133016
gene	16620
gene	4283
gene	82731
gene	28537
gene	17600
gene	24089
gene	2606
gene	48474
gene	3263
gene	48302
gene	3684
gene	4680
gene	58256
gene	8461
gene	4487
gene	53366
gene	50052
gene	4361
gene	36807
gene	17907
gene	6192
gene	11152
gene	37512
gene	27129
gene	24135
gene	58248
gene	5149
gene	2068
gene	23172
gene	17540
gene	6163
gene	169421
gene	742
gene	11707
gene	2350
gene	33949
gene	10518
gene	55646
gene	969
gene	14226
gene	3419
gene	31387
gene	173478
gene	3820
gene	3919
gene	7524
gene	3801
gene	8823
gene	2086
gene	1668
gene	21108
gene	7700
gene	6889
gene	2681
gene	12203
gene	15395
gene	18422
gene	12264
gene	8931
gene	3683
gene	3055
gene	2092
gene	35313
gene	2128
gene	7698
gene	20703
gene	2168
gene	2732
gene	28612
gene	15933
gene	44266
gene	11413
gene	183466
gene	7721
gene	3669
gene	7736
gene	25559
gene	5155
gene	14714
gene	2911
gene	2495
gene	15253
gene	9697
gene	13874
gene	4674
gene	2886
gene	8006
gene	18926
gene	19622
gene	21976
gene	2397
gene	4067
gene	13089
gene	6233
gene	12221
gene	20138
gene	60055
gene	3226
gene	3769
gene	11854
gene	3699
gene	78649
gene	58571
gene	17417
gene	2793
gene	2382
gene	7754
gene	8979
gene	9083
gene	50366
gene	2846
gene	4993
gene	6640
gene	9665
gene	11817
gene	11370
gene	16843
gene	100611
gene	25060
gene	7442
gene	3147
gene	10727
gene	2677
gene	18587
gene	37383
gene	53381
gene	112402
gene	56048
gene	4793
gene	9347
gene	14826
gene	1022
gene	17050
gene	1019
gene	2655
gene	87235
gene	12486
gene	2265
gene	9420
gene	25860
gene	3815
gene	157542
gene	83492
gene	10947
gene	10584
gene	5884
gene	5363
gene	29633
gene	41259
gene	47002
gene	129946
gene	11654
gene	8999
gene	30517
gene	11543
gene	11279
gene	1650
gene	186116
gene	27389
gene	9003
gene	27453
gene	62815
gene	15943
gene	6791
gene	4256
gene	2796
gene	9589
gene	77796
gene	37079
gene	40825
gene	3351
gene	2777
gene	2910
gene	4466
gene	19354
gene	4520
gene	2649
gene	16365
gene	10341
gene	6260
gene	6246
gene	9175
gene	8328
gene	2100
gene	33974
gene	11654
gene	7765
gene	5627
gene	12060
gene	7396
gene	86445
gene	3303
gene	11640
gene	9024
gene	11444
gene	2744
gene	4381
gene	4552
gene	39518
gene	23751
gene	43382
gene	57268
gene	7217
gene	39370
gene	81670
gene	7359
gene	10883
gene	6366
gene	88523
gene	26150
gene	3287
gene	60889
gene	2177
gene	10819
gene	9470
gene	71436
gene	7580
gene	14843
gene	69480
gene	11481
gene	1467
gene	12127
gene	2957
gene	35575
gene	638
gene	22372
gene	68516
gene	5706
gene	6448
gene	10356
gene	4438
gene	12322
gene	16908
gene	13287
gene	10421
gene	16877
gene	1448
gene	42419
gene	5856
gene	25059
gene	32443
gene	16016
gene	25043
gene	31594
gene	3137
gene	13511
gene	14027
gene	93297
gene	14184
gene	4909
gene	8704
gene	38522
gene	20152
gene	25853
gene	21259
gene	8662
gene	106012
gene	1040
gene	1561
gene	4621
gene	1444
gene	7329
gene	12825
gene	6839
gene	4483
gene	4470
gene	24083
gene	1033
gene	8840
gene	2879
gene	13346
gene	70706
gene	4064
gene	44484
gene	7333
gene	9897
gene	68672
gene	25449
gene	13221
gene	35739
gene	10036
gene	3049
gene	6362
gene	5398
gene	11195
gene	758
gene	12575
gene	21362
gene	13486
gene	40667
gene	1232
gene	2218
gene	5568
gene	7532
gene	4426
gene	2765
gene	18804
gene	3824
gene	83805
gene	26605
gene	6755
gene	5711
gene	4226
gene	17379
gene	50889
gene	3131
gene	12711
gene	170035
gene	9103
gene	9230
gene	23531
gene	3498
gene	4997
gene	15825
gene	13679
gene	3074
gene	3539
gene	23459
gene	6884
gene	5958
gene	21413
gene	5071
gene	155959
gene	2867
gene	5993
gene	2556
gene	3926
gene	6293
gene	62669
gene	67886
gene	41363
gene	14979
gene	8513
gene	5063
gene	5481
gene	21875
gene	3030
gene	5963
gene	11973
gene	3190
gene	13915
gene	14027
gene	17602
gene	156512
gene	37516
gene	85378
gene	6992
gene	8505
gene	13013
gene	42497
gene	2720
gene	81454
gene	25284
gene	8107
gene	27296
gene	15063
gene	13528
gene	3833
gene	31337
gene	11452
gene	2951
gene	123529
gene	111103
gene	166708
gene	13699
gene	50323
gene	18721
gene	63139
gene	85730
gene	8369
gene	20505
gene	26058
gene	46010
gene	25024
gene	2243
gene	57027
gene	22658
gene	64271
gene	31466
gene	27810
gene	7937
gene	18632
gene	65590
gene	3616
gene	17199
gene	202796
gene	1520
gene	35513
gene	5964
gene	42370
gene	6027
gene	3439
gene	2596
gene	2649
gene	25810
gene	22465
gene	1454
gene	5832
gene	4054
gene	76554
gene	19700
gene	13168
gene	3101
gene	107167
gene	7310
gene	11915
gene	17813
gene	2446
gene	8788
gene	11521
gene	2966
gene	16314
gene	5839
gene	3902
gene	2243
gene	3868
gene	4322
gene	2966
gene	2916
gene	3082
gene	2605
gene	2653
gene	4622
gene	5674
gene	10143
gene	9057
gene	3870
gene	5753
gene	8015
gene	20730
gene	6499
gene	3576
gene	6257
gene	9282
gene	7705
gene	6738
gene	14165
gene	23480
gene	2487
gene	10649
gene	27601
gene	10151
gene	4986
gene	75365
gene	1798
gene	2625
gene	4092
gene	22444
gene	15874
gene	64697
gene	43183
gene	799
gene	789
gene	6033
gene	7858
gene	3662
gene	71765
gene	8291
gene	19285
gene	5414
gene	8741
gene	89462
gene	5636
gene	7451
gene	3215
gene	15624
gene	41103
gene	69149
gene	73762
gene	130186
gene	7364
gene	5473
gene	11025
gene	13386
gene	16667
gene	44585
gene	12390
gene	9427
gene	7307
gene	8695
gene	12945
gene	7678
gene	4308
gene	47932
gene	25208
gene	1043
gene	5447
gene	18063
gene	15151
gene	8507
gene	68607
gene	13477
gene	38030
gene	4786
gene	9790
gene	1563
gene	3495
gene	1103
gene	10040
gene	6744
gene	5356
gene	8434
gene	2337
gene	3589
gene	39229
gene	13249
gene	78734
gene	2976
gene	39517
gene	16344
gene	4267
gene	8295
gene	14436
gene	14416
gene	7196
gene	15298
gene	15132
gene	2999
gene	15072
gene	4883
gene	8970
gene	7733
gene	5019
gene	53618
gene	8613
gene	2920
gene	171199
gene	851
gene	14585
gene	8944
gene	1793
gene	9426
gene	8693
gene	135421
gene	3668
gene	38326
gene	4873
gene	20461
gene	8748
gene	2950
gene	14394
gene	19894
gene	2309
gene	10669
gene	3912
gene	11547
gene	5465
gene	23915
gene	8234
gene	10029
gene	5193
gene	5277
gene	9901
gene	5247
gene	12527
gene	11321
gene	2456
gene	9396
gene	22835
gene	6966
gene	44874
gene	5530
gene	27781
gene	66209
gene	22324
gene	8796
gene	10100
gene	3237
gene	102119
gene	8728
gene	4451
gene	11265
gene	8239
gene	253894
gene	10018
gene	18965
gene	5122
gene	3677
gene	22369
gene	21682
gene	14389
gene	13779
gene	8366
gene	15199
gene	12389
gene	84292
gene	8940
gene	7564
gene	1954
gene	12445
gene	9257
gene	8595
gene	4192
gene	50888
