# =========================================================================
# Welcome to GRAMPA -- Gene tree reconciliations with MUL-trees.
# Version 1.3.1 released on April 30, 2021
# GRAMPA was developed by Gregg Thomas, S. Hussain Ather, and Matthew Hahn
# Citation:      https://doi.org/10.1093/sysbio/syx044
# Website:       https://gwct.github.io/grampa/
# Report issues: https://github.com/gwct/grampa
#
# The date and time at the start is: 09.28.2022 | 19:13:47
# The program was called as: /n/home07/gthomas/projects/grampa/grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/ballesteros/ballesteros.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/ballesteros/loci-rearrange-90-rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/ballesteros-r90-full-c15 -c 15 -p 30
#
# 09.28.2022 | 19:13:47 INFO: Number of processes:...................................30
# 09.28.2022 | 19:13:47 INFO: The input species tree with internal nodes labeled.....((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,LRECL)<6>,CSCUL)<7>,(LPOLY,(CROTU,TGIGA)<8>)<9>)<10>,((MOCCI,VDEST)<11>,(ISCAP,HLONG)<12>)<13>)<14>,(TURTI,SSCAB)<15>)<16>,(DMELA,BMORI)<17>)<18>
# 09.28.2022 | 19:13:47 INFO: Input species tree is..................................Singly-labeled
# 09.28.2022 | 19:13:47 INFO: No H1 node defined.....................................Searching all possible H1 nodes.
# 09.28.2022 | 19:13:47 INFO: No H2 node defined.....................................Searching all possible H2 nodes.
# 09.28.2022 | 19:13:47 INFO: Using gene trees in file.............................../n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/ballesteros/loci-rearrange-90-rooted.treefile
# 09.28.2022 | 19:13:47 INFO: Total gene trees.......................................6359
# 09.28.2022 | 19:13:47 INFO: Main results and logs will be written to file........../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/ballesteros-r90-full-c15/grampa_out.txt
# 09.28.2022 | 19:13:47 INFO: The number of groups for each tree will be calculated../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/ballesteros-r90-full-c15/grampa_checknums.txt
# 09.28.2022 | 19:13:47 INFO: Filtered trees will be saved (if necessary)............/n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/ballesteros-r90-full-c15/grampa_trees_filtered.txt
# 09.28.2022 | 19:13:47 INFO: Filtering gene trees with # of polyploid groups over...15
# 09.28.2022 | 19:13:47 INFO: Detailed results will be written to file.............../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/ballesteros-r90-full-c15/grampa_det.txt
# 09.28.2022 | 19:13:47 INFO: Detailed output will contain...........................Reconciliation scores only
# 09.28.2022 | 19:20:12 INFO: Filtered gene trees:...................................8
# 09.28.2022 | 19:20:12 INFO: Final gene tree count for reconciliations:.............6351
# ----------------------------------------
Tree	H1 node	H2 node	Tree string	Total score
ST			((((((((((NCLAV,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,LRECL)<6>,CSCUL)<7>,(LPOLY,(CROTU,TGIGA)<8>)<9>)<10>,((MOCCI,VDEST)<11>,(ISCAP,HLONG)<12>)<13>)<14>,(TURTI,SSCAB)<15>)<16>,(DMELA,BMORI)<17>)<18>	61539
MT-1	NCLAV	NCLAV	(((((((((((NCLAV+,NCLAV*)<1>,TANTI)<2>,ABRUE)<3>,(PTEPI,LHESP)<4>)<5>,SMIMO)<6>,LRECL)<7>,CSCUL)<8>,(LPOLY,(CROTU,TGIGA)<9>)<10>)<11>,((MOCCI,VDEST)<12>,(ISCAP,HLONG)<13>)<14>)<15>,(TURTI,SSCAB)<16>)<17>,(DMELA,BMORI)<18>)<19>	63938
MT-2	NCLAV	TANTI	((((((((((NCLAV+,(TANTI,NCLAV*)<1>)<2>,ABRUE)<3>,(PTEPI,LHESP)<4>)<5>,SMIMO)<6>,LRECL)<7>,CSCUL)<8>,(LPOLY,(CROTU,TGIGA)<9>)<10>)<11>,((MOCCI,VDEST)<12>,(ISCAP,HLONG)<13>)<14>)<15>,(TURTI,SSCAB)<16>)<17>,(DMELA,BMORI)<18>)<19>	67393
MT-3	NCLAV	ABRUE	((((((((((NCLAV+,TANTI)<1>,(ABRUE,NCLAV*)<2>)<3>,(PTEPI,LHESP)<4>)<5>,SMIMO)<6>,LRECL)<7>,CSCUL)<8>,(LPOLY,(CROTU,TGIGA)<9>)<10>)<11>,((MOCCI,VDEST)<12>,(ISCAP,HLONG)<13>)<14>)<15>,(TURTI,SSCAB)<16>)<17>,(DMELA,BMORI)<18>)<19>	66761
MT-4	NCLAV	PTEPI	((((((((((NCLAV+,TANTI)<1>,ABRUE)<2>,((PTEPI,NCLAV*)<3>,LHESP)<4>)<5>,SMIMO)<6>,LRECL)<7>,CSCUL)<8>,(LPOLY,(CROTU,TGIGA)<9>)<10>)<11>,((MOCCI,VDEST)<12>,(ISCAP,HLONG)<13>)<14>)<15>,(TURTI,SSCAB)<16>)<17>,(DMELA,BMORI)<18>)<19>	67362
MT-5	NCLAV	LHESP	((((((((((NCLAV+,TANTI)<1>,ABRUE)<2>,(PTEPI,(LHESP,NCLAV*)<3>)<4>)<5>,SMIMO)<6>,LRECL)<7>,CSCUL)<8>,(LPOLY,(CROTU,TGIGA)<9>)<10>)<11>,((MOCCI,VDEST)<12>,(ISCAP,HLONG)<13>)<14>)<15>,(TURTI,SSCAB)<16>)<17>,(DMELA,BMORI)<18>)<19>	63070
MT-6	NCLAV	SMIMO	((((((((((NCLAV+,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,(SMIMO,NCLAV*)<5>)<6>,LRECL)<7>,CSCUL)<8>,(LPOLY,(CROTU,TGIGA)<9>)<10>)<11>,((MOCCI,VDEST)<12>,(ISCAP,HLONG)<13>)<14>)<15>,(TURTI,SSCAB)<16>)<17>,(DMELA,BMORI)<18>)<19>	65284
MT-7	NCLAV	LRECL	((((((((((NCLAV+,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,(LRECL,NCLAV*)<6>)<7>,CSCUL)<8>,(LPOLY,(CROTU,TGIGA)<9>)<10>)<11>,((MOCCI,VDEST)<12>,(ISCAP,HLONG)<13>)<14>)<15>,(TURTI,SSCAB)<16>)<17>,(DMELA,BMORI)<18>)<19>	62148
MT-8	NCLAV	CSCUL	((((((((((NCLAV+,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,LRECL)<6>,(CSCUL,NCLAV*)<7>)<8>,(LPOLY,(CROTU,TGIGA)<9>)<10>)<11>,((MOCCI,VDEST)<12>,(ISCAP,HLONG)<13>)<14>)<15>,(TURTI,SSCAB)<16>)<17>,(DMELA,BMORI)<18>)<19>	66326
MT-9	NCLAV	LPOLY	((((((((((NCLAV+,TANTI)<1>,ABRUE)<2>,(PTEPI,LHESP)<3>)<4>,SMIMO)<5>,LRECL)<6>,CSCUL)<7>,((LPOLY,NCLAV*)<8>,(CROTU,TGIGA)<9>)<10>)<11>,((MOCCI,VDEST)<12>,(ISCAP,HLONG)<13>)<14>)<15>,(TURTI,SSCAB)<16>)<17>,(DMELA,BMORI)<18>)<19>	68098
