*** Warning! With -c set to 15 or higher, some gene trees may take a very long time to reconcile!

#
# =========================================================================
# Welcome to GRAMPA -- Gene tree reconciliations with MUL-trees.
# Version 1.3.1 released on April 30, 2021
# GRAMPA was developed by Gregg Thomas, S. Hussain Ather, and Matthew Hahn
# Citation:      https://doi.org/10.1093/sysbio/syx044
# Website:       https://gwct.github.io/grampa/
# Report issues: https://github.com/gwct/grampa
#
# The date and time at the start is: 10.21.2022 | 15:39:03
# The program was called as: /n/home07/gthomas/projects/grampa/grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/chelicerate-19spec-astral-pro-rooted.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/loci-rearrange-95-rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r95-full-c15 -c 15 -p 30
#
# 10.21.2022 | 15:39:03 INFO: Number of processes:...................................30
# 10.21.2022 | 15:39:03 --> Step 1: Reading species tree
# 10.21.2022 | 15:39:03 --> STEP 2 03.39.03: Parsing hybrid clades
# 10.21.2022 | 15:39:03 --> STEP 3 03.39.03: Counting MUL-trees
# 10.21.2022 | 15:39:03 --> STEP 4 03.39.03: Reading gene tree(s)
# 10.21.2022 | 15:39:04 INFO: The input species tree with internal nodes labeled.....((DMELA,BMORI)<1>,(((HLONG,ISCAP)<2>,(MOCCI,VDEST)<3>)<4>,(((TGIGA,CROTU)<5>,LPOLY)<6>,((TURTI,SSCAB)<7>,(CSCUL,(LRECL,(SMIMO,((PTEPI,LHESP)<8>,((NCLAV,TANTI)<9>,ABRUE)<10>)<11>)<12>)<13>)<14>)<15>)<16>)<17>)<18>
# 10.21.2022 | 15:39:04 INFO: Input species tree is..................................Singly-labeled
# 10.21.2022 | 15:39:04 INFO: No H1 node defined.....................................Searching all possible H1 nodes.
# 10.21.2022 | 15:39:04 INFO: No H2 node defined.....................................Searching all possible H2 nodes.
# 10.21.2022 | 15:39:04 INFO: Using gene trees in file.............................../n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/cds-iqtree/astral-pro-tree/loci-rearrange-95-rooted.treefile
# 10.21.2022 | 15:39:04 INFO: Total gene trees.......................................6359
# 10.21.2022 | 15:39:04 INFO: Main results and logs will be written to file........../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r95-full-c15/grampa_out.txt
# 10.21.2022 | 15:39:04 INFO: The number of groups for each tree will be calculated../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r95-full-c15/grampa_checknums.txt
# 10.21.2022 | 15:39:04 INFO: Filtered trees will be saved (if necessary)............/n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r95-full-c15/grampa_trees_filtered.txt
# 10.21.2022 | 15:39:04 INFO: Filtering gene trees with # of polyploid groups over...15
# 10.21.2022 | 15:39:04 INFO: Detailed results will be written to file.............../n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa/cds-apro-r95-full-c15/grampa_det.txt
# 10.21.2022 | 15:39:04 INFO: Detailed output will contain...........................Reconciliation scores only
# 10.21.2022 | 15:39:04 --> STEP 5 03.39.04: Building 1187 MUL-tree(s)
# 10.21.2022 | 15:39:05 --> STEP 6 03.39.05: Checking gene tree groupings
# 10.21.2022 | 15:45:06 INFO: Filtered gene trees:...................................7
# 10.21.2022 | 15:45:06 INFO: Final gene tree count for reconciliations:.............6352
# STEP 7 03.45.06: Writing filtered gene trees to file.
# ----------------------------------------
# 10.21.2022 | 15:45:06 --> STEP 8 03.45.06: Beginning reconciliations.
# 10.21.2022 | 16:10:42 --> STEP 9 04.10.42: Getting maps for lowest scoring tree
# 10.21.2022 | 16:10:46 --> STEP 10 04.10.46: Writing output
# GT/MT combo	# dups	# losses	Total score
GT-3 to MT-0	0	5	5
GT-7 to MT-0	0	5	5
GT-21 to MT-0	0	5	5
GT-5 to MT-0	1	3	4
GT-6 to MT-0	1	4	5
GT-9 to MT-0	0	4	4
GT-11 to MT-0	0	5	5
GT-13 to MT-0	3	4	7
GT-12 to MT-0	2	9	11
GT-14 to MT-0	0	7	7
GT-17 to MT-0	0	4	4
GT-31 to MT-0	3	13	16
GT-26 to MT-0	2	9	11
GT-29 to MT-0	1	7	8
GT-25 to MT-0	1	8	9
GT-1 to MT-0	3	15	18
GT-42 to MT-0	2	11	13
GT-30 to MT-0	0	8	8
GT-10 to MT-0	2	15	17
GT-18 to MT-0	0	6	6
GT-27 to MT-0	2	9	11
GT-47 to MT-0	1	8	9
GT-34 to MT-0	4	12	16
GT-32 to MT-0	1	6	7
GT-52 to MT-0	0	8	8
GT-8 to MT-0	1	5	6
GT-55 to MT-0	0	9	9
GT-4 to MT-0	3	1	4
GT-46 to MT-0	1	7	8
GT-16 to MT-0	1	10	11
GT-53 to MT-0	0	8	8
GT-49 to MT-0	1	5	6
GT-57 to MT-0	1	9	10
GT-23 to MT-0	2	8	10
GT-19 to MT-0	5	5	10
GT-40 to MT-0	2	6	8
GT-2 to MT-0	0	5	5
GT-59 to MT-0	0	7	7
GT-35 to MT-0	3	10	13
GT-22 to MT-0	3	13	16
GT-60 to MT-0	0	8	8
GT-63 to MT-0	1	5	6
GT-62 to MT-0	1	11	12
GT-38 to MT-0	1	9	10
GT-64 to MT-0	0	10	10
GT-61 to MT-0	0	6	6
GT-66 to MT-0	1	9	10
GT-65 to MT-0	0	7	7
GT-50 to MT-0	0	3	3
GT-37 to MT-0	4	10	14
GT-39 to MT-0	3	5	8
GT-36 to MT-0	4	12	16
GT-15 to MT-0	0	6	6
GT-24 to MT-0	3	15	18
GT-72 to MT-0	3	9	12
GT-20 to MT-0	4	6	10
GT-82 to MT-0	0	8	8
GT-69 to MT-0	0	10	10
GT-28 to MT-0	5	11	16
GT-44 to MT-0	1	7	8
GT-51 to MT-0	3	13	16
GT-70 to MT-0	0	8	8
GT-76 to MT-0	0	7	7
GT-41 to MT-0	6	15	21
GT-74 to MT-0	0	8	8
GT-54 to MT-0	3	8	11
GT-58 to MT-0	5	12	17
GT-81 to MT-0	0	7	7
GT-67 to MT-0	0	7	7
GT-68 to MT-0	2	7	9
GT-48 to MT-0	2	8	10
GT-88 to MT-0	0	8	8
GT-56 to MT-0	4	9	13
GT-45 to MT-0	3	6	9
GT-100 to MT-0	0	8	8
GT-43 to MT-0	2	2	4
GT-95 to MT-0	0	7	7
GT-77 to MT-0	2	6	8
GT-33 to MT-0	8	19	27
GT-91 to MT-0	0	7	7
GT-78 to MT-0	0	8	8
GT-97 to MT-0	0	8	8
GT-79 to MT-0	3	5	8
GT-89 to MT-0	0	8	8
GT-92 to MT-0	0	8	8
GT-80 to MT-0	6	9	15
GT-104 to MT-0	0	8	8
GT-85 to MT-0	0	7	7
GT-84 to MT-0	0	9	9
GT-103 to MT-0	4	13	17
GT-105 to MT-0	0	9	9
GT-73 to MT-0	4	8	12
GT-75 to MT-0	4	6	10
GT-71 to MT-0	5	9	14
GT-87 to MT-0	4	7	11
GT-109 to MT-0	0	9	9
GT-108 to MT-0	0	10	10
GT-93 to MT-0	1	5	6
GT-99 to MT-0	0	7	7
GT-96 to MT-0	6	12	18
GT-112 to MT-0	0	7	7
GT-111 to MT-0	0	7	7
GT-119 to MT-0	0	10	10
GT-114 to MT-0	0	6	6
GT-94 to MT-0	5	9	14
GT-116 to MT-0	1	7	8
GT-90 to MT-0	4	7	11
GT-121 to MT-0	0	7	7
GT-83 to MT-0	5	9	14
GT-125 to MT-0	0	8	8
GT-126 to MT-0	0	6	6
GT-107 to MT-0	3	8	11
GT-128 to MT-0	1	9	10
GT-131 to MT-0	0	5	5
GT-127 to MT-0	0	9	9
GT-129 to MT-0	0	10	10
GT-136 to MT-0	0	4	4
GT-130 to MT-0	0	8	8
GT-140 to MT-0	0	5	5
GT-141 to MT-0	0	7	7
GT-138 to MT-0	0	10	10
GT-132 to MT-0	2	9	11
GT-86 to MT-0	3	10	13
GT-122 to MT-0	4	13	17
GT-133 to MT-0	0	7	7
GT-98 to MT-0	6	2	8
GT-118 to MT-0	1	6	7
GT-123 to MT-0	1	7	8
GT-139 to MT-0	0	4	4
GT-144 to MT-0	0	8	8
GT-146 to MT-0	0	2	2
GT-135 to MT-0	0	3	3
GT-149 to MT-0	0	8	8
GT-142 to MT-0	1	2	3
GT-152 to MT-0	0	8	8
GT-113 to MT-0	1	8	9
GT-110 to MT-0	4	8	12
GT-156 to MT-0	0	4	4
GT-143 to MT-0	1	9	10
GT-145 to MT-0	0	9	9
GT-120 to MT-0	2	5	7
GT-151 to MT-0	0	5	5
GT-150 to MT-0	1	9	10
GT-137 to MT-0	0	8	8
GT-147 to MT-0	1	8	9
GT-155 to MT-0	0	4	4
