# CDS alignment filter
# PYTHON VERSION: 3.10.0
# Script call:    aln_filter.py -i /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/01-Guidance/ -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/02-Filter/ --overwrite
# Runtime:        01/06/2022 12:43:00
# ----------------
# IO OPTIONS
# Input CDS directory:    /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/01-Guidance
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Min sequences required after filters:4
# Output directory:       /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/02-Filter-spec4-seq20-site50
# --overwrite set:        Overwriting previous files in output directory.
# Log file:               /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/02-Filter-spec4-seq20-site50/aln-stats-spec4-seq20-site50.log
# ----------------
# 01.06.2022 | 12:43:00 Beginning filter.
align	pre guidance codon length	guidance codons rm	pre num seqs	pre num species	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre informative codon sites	pre informative nt sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post num species	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post informative codon sites	post informative nt sites	post stop codons	post percent sites with gap	post gappy sites
ORTHOMCL16792	4293.666666666666	3198.6666666666665	4	4	1095	277.0	4	0	4	0	0	0	0	1095	1095	1087	2	2	8	3.75	4	0	2	0	0	0	0	8	8
ORTHOMCL9772	1164.6666666666665	661.6666666666666	7	7	503	201.28571428571428	7	0	7	0	64	144	0	395	395	314	5	5	189	145.14285714285714	7	0	2	0	58	134	0	87	87
ORTHOMCL8446	370.66666666666663	170.66666666666666	8	8	200	131.625	8	0	8	0	91	232	0	75	75	69	7	7	131	121.5	8	0	1	0	89	229	0	8	8
ORTHOMCL5342	1320.6666666666665	705.6666666666666	12	12	615	255.16666666666666	12	0	12	0	223	559	0	527	418	355	7	7	260	207.25	12	0	5	0	205	519	0	178	78
ORTHOMCL6014	724.6666666666667	402.6666666666667	12	12	322	109.41666666666667	12	0	12	0	86	170	0	233	230	230	11	11	92	87.41666666666667	12	0	1	0	85	169	0	4	1
ORTHOMCL5643	661.6666666666666	69.66666666666667	13	13	592	532.3846153846154	13	0	2	3	497	1073	0	136	47	51	12	7	541	516.9230769230769	13	0	1	3	490	1053	0	88	2
ORTHOMCL12163	241.66666666666666	62.666666666666664	5	5	179	126.6	5	0	4	9	25	80	0	62	62	62	5	5	117	113.0	5	0	0	9	24	78	0	1	1
ORTHOMCL13759	131.66666666666666	28.666666666666668	4	4	103	62.25	4	0	3	4	6	15	0	55	55	53	4	4	50	48.0	4	0	0	4	5	14	0	3	3
ORTHOMCL4455	1709.6666666666667	1026.6666666666667	14	14	683	468.2142857142857	14	0	14	1	453	1060	0	361	256	195	12	12	488	441.92857142857144	14	0	2	1	438	1025	0	174	71
ORTHOMCL1829	3048.666666666667	1488.6666666666667	18	18	1560	243.16666666666666	18	0	17	0	202	457	0	1560	1537	1359	14	13	201	155.0	18	0	4	0	189	420	0	201	181
ORTHOMCL6335	228.66666666666669	88.66666666666667	12	12	140	120.83333333333333	12	0	1	1	116	229	0	21	20	17	11	11	123	114.5	12	0	1	1	111	220	0	9	8
ORTHOMCL16253	328.6666666666667	98.66666666666667	4	4	230	169.25	4	0	2	6	12	18	0	55	55	29	3	3	201	159.75	4	0	1	6	12	18	0	29	29
ORTHOMCL5198	543.6666666666667	276.6666666666667	13	13	267	158.07692307692307	13	0	13	0	141	333	0	119	113	111	11	11	156	140.53846153846155	13	0	2	0	131	312	0	16	11
