# CDS alignment filter
# PYTHON VERSION: 3.7.12
# Script call:    06_aln_filter.py -i /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/18spec/01-Guidance/ -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/18spec/02-Filter/ --overwrite
# Runtime:        07/11/2023 13:57:13
# ----------------
# IO OPTIONS
# Input CDS directory:    /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/18spec/01-Guidance
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Min sequences required after filters:4
# Output directory:       /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/18spec/02-Filter-spec4-seq20-site50
# --overwrite set:        Overwriting previous files in output directory.
# Log file:               /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/18spec/02-Filter-spec4-seq20-site50/aln-stats-spec4-seq20-site50.log
# ----------------
# 07.11.2023 | 13:57:13 Beginning filter.
align	pre guidance codon length	guidance codons rm	pre num seqs	pre num species	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre informative codon sites	pre informative nt sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post num species	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post informative codon sites	post informative nt sites	post stop codons	post percent sites with gap	post gappy sites
ORTHOMCL17065	117.66666666666667	25.666666666666668	4	4	92	73.75	4	0	3	9	8	17	0	25	25	23	4	4	69	66.5	4	0	0	9	8	16	0	4	4
ORTHOMCL13184	424.6666666666667	59.666666666666664	5	5	365	208.6	5	0	4	17	44	90	0	191	191	199	5	5	166	162.0	5	0	0	16	42	87	0	1	1
ORTHOMCL8446	1607.6666666666667	1336.6666666666667	9	5	271	39.888888888888886	6	1	9	0	0	0	0	271	271	270	1	1	1	0.1111111111111111	1	1	8	0	0	0	0	1	1
ORTHOMCL7596	459.66666666666663	205.66666666666666	11	10	254	164.0	11	0	11	1	142	299	0	99	98	100	11	10	154	151.36363636363637	11	0	0	1	139	293	0	2	1
ORTHOMCL5342	749.6666666666666	111.66666666666667	15	15	638	398.93333333333334	15	0	14	3	399	646	0	276	250	229	14	14	409	380.4	15	0	1	3	395	638	0	50	24
ORTHOMCL6014	433.66666666666663	155.66666666666666	14	14	278	206.07142857142858	14	0	6	0	225	496	0	174	153	38	10	10	240	195.28571428571428	14	0	4	0	215	471	0	137	117
ORTHOMCL5643	393.6666666666667	68.66666666666667	14	12	325	241.35714285714286	14	0	11	3	234	482	0	131	80	85	12	10	240	226.07142857142858	14	0	2	3	225	457	0	53	3
ORTHOMCL12163	563.6666666666667	401.6666666666667	6	6	162	96.16666666666667	6	0	2	0	21	42	0	162	162	28	4	4	134	89.33333333333333	6	0	2	0	20	40	0	134	134
ORTHOMCL4455	1911.6666666666667	129.66666666666666	15	8	1782	520.6666666666666	15	0	14	11	414	658	0	1417	1408	1359	14	8	423	398.46666666666664	15	0	1	11	389	599	0	66	57
ORTHOMCL14197	721.6666666666666	209.66666666666666	5	4	512	312.6	5	0	4	10	27	87	0	340	340	161	3	2	351	264.8	5	0	2	10	26	84	0	183	183
ORTHOMCL8021	3747.6666666666665	3001.6666666666665	10	6	746	79.6	10	0	10	0	0	0	0	746	746	745	1	1	1	0.1	1	1	9	0	0	0	0	1	1
ORTHOMCL1292	1986.6666666666667	1320.6666666666667	22	17	666	194.54545454545453	22	0	22	0	191	376	0	611	522	476	15	12	190	160.54545454545453	22	0	7	0	182	359	0	135	51
ORTHOMCL1829	646.6666666666666	254.66666666666666	20	17	392	207.45	20	0	20	0	222	317	0	312	206	164	12	10	228	192.05	20	0	8	0	214	305	0	151	48
ORTHOMCL6335	671.6666666666667	345.6666666666667	13	11	326	85.3076923076923	13	0	13	0	70	174	0	326	326	237	7	6	89	59.69230769230769	11	1	6	0	62	160	0	89	89
ORTHOMCL4351	268.6666666666667	119.66666666666667	16	15	149	77.75	16	0	16	0	75	152	0	102	70	77	14	13	72	65.9375	16	0	2	0	67	133	0	32	1
ORTHOMCL5198	743.6666666666667	403.6666666666667	15	14	340	171.53333333333333	15	0	15	0	185	382	0	340	217	157	10	10	183	145.33333333333334	15	0	5	0	170	348	0	183	70
ORTHOMCL10689	760.6666666666667	334.6666666666667	7	4	426	246.85714285714286	7	0	4	1	71	256	0	266	266	269	6	3	157	149.42857142857142	7	0	1	1	68	248	0	4	4
ORTHOMCL12348	238.66666666666666	46.666666666666664	6	6	192	89.66666666666667	6	0	6	5	30	95	0	123	123	128	6	6	64	63.166666666666664	6	0	0	4	27	88	0	1	1
ORTHOMCL3667	1862.6666666666667	1602.6666666666667	17	9	260	27.88235294117647	12	1	17	0	16	56	0	260	260	259	1	1	1	0.058823529411764705	1	1	16	0	0	0	0	1	1
ORTHOMCL3161	639.6666666666667	313.6666666666667	18	17	326	128.77777777777777	18	0	18	3	118	240	0	251	204	207	15	14	119	108.11111111111111	18	0	3	3	110	225	0	48	5
ORTHOMCL2378	434.6666666666667	97.66666666666667	19	17	337	151.10526315789474	19	0	19	0	145	236	0	248	186	187	17	15	150	137.78947368421052	19	0	2	0	141	230	0	63	3
ORTHOMCL5574	3907.6666666666665	2805.6666666666665	14	12	1102	224.35714285714286	11	1	14	0	52	304	0	1102	1102	1096	7	7	6	2.7857142857142856	7	1	7	0	3	5	0	6	6
ORTHOMCL13227	423.66666666666663	232.66666666666666	5	5	191	112.0	5	0	2	0	0	0	0	191	191	8	3	3	183	109.4	5	0	2	0	0	0	0	183	183
ORTHOMCL15722	540.6666666666666	229.66666666666666	4	4	311	151.5	4	0	3	6	2	10	0	221	221	155	2	2	156	108.5	4	0	2	6	2	10	0	69	69
ORTHOMCL5144	1390.6666666666665	631.6666666666666	15	14	759	437.26666666666665	15	0	15	2	418	695	0	459	335	335	13	12	424	392.1333333333333	15	0	2	2	397	646	0	130	12
ORTHOMCL10349	267.6666666666667	9.666666666666666	7	7	258	239.28571428571428	7	0	1	3	137	294	0	10	10	4	6	6	254	238.14285714285714	7	0	1	3	137	294	0	6	6
ORTHOMCL8808	506.66666666666663	149.66666666666666	9	6	357	276.6666666666667	9	0	3	2	191	292	0	152	152	65	7	5	292	262.0	9	0	2	2	185	284	0	89	89
ORTHOMCL4751	404.66666666666663	197.66666666666666	16	16	207	141.6875	16	0	14	0	146	277	0	94	59	60	14	14	147	133.625	16	0	2	0	143	273	0	35	2
ORTHOMCL1373	1015.6666666666666	133.66666666666666	22	16	882	387.45454545454544	22	0	21	2	367	708	0	568	509	513	22	16	369	356.77272727272725	22	0	0	2	359	691	0	61	4
ORTHOMCL5790	1469.6666666666665	851.6666666666666	14	11	618	346.92857142857144	14	0	14	1	340	623	0	404	278	263	12	10	355	315.07142857142856	14	0	2	1	325	598	0	146	24
ORTHOMCL9234	1771.6666666666667	1259.6666666666667	8	8	512	154.375	8	0	7	1	55	182	0	455	455	399	6	6	113	97.0	8	0	2	1	50	174	0	58	58
ORTHOMCL6470	1729.6666666666667	1137.6666666666667	13	12	592	220.3846153846154	13	0	13	0	209	506	0	592	550	340	9	9	252	179.92307692307693	11	1	4	0	201	491	0	252	211
ORTHOMCL1959	630.6666666666666	252.66666666666666	20	16	378	195.3	20	0	19	0	220	354	0	346	249	156	14	13	222	179.45	20	0	6	0	211	336	0	192	100
ORTHOMCL5648	694.6666666666667	349.6666666666667	14	13	345	201.78571428571428	14	0	14	0	205	446	0	294	220	125	11	11	220	181.64285714285714	14	0	3	0	194	420	0	171	98
ORTHOMCL5698	639.6666666666667	315.6666666666667	14	14	324	199.92857142857142	14	0	13	1	200	463	0	204	163	119	10	10	205	178.14285714285714	14	0	4	1	188	432	0	92	52
ORTHOMCL2325	1009.6666666666666	576.6666666666666	19	18	433	96.15789473684211	17	1	19	1	75	111	0	358	355	358	19	18	75	73.52631578947368	17	1	0	1	71	103	0	3	1
ORTHOMCL10370	1205.6666666666667	437.6666666666667	6	6	768	199.33333333333334	6	0	5	3	21	71	0	681	681	672	5	5	96	81.33333333333333	6	0	1	3	20	69	0	15	15
ORTHOMCL7952	184.66666666666666	36.666666666666664	10	8	148	126.3	10	0	3	0	110	219	0	42	32	16	10	8	132	122.6	10	0	0	0	110	219	0	26	17
ORTHOMCL6842	646.6666666666666	92.66666666666667	12	12	554	288.6666666666667	12	0	12	3	262	506	0	454	364	257	9	9	297	249.33333333333334	12	0	3	2	254	485	0	201	112
ORTHOMCL3252	543.6666666666667	284.6666666666667	18	15	259	133.22222222222223	16	1	18	0	142	306	0	182	156	122	12	11	137	116.33333333333333	16	1	6	0	130	284	0	64	41
ORTHOMCL10180	323.66666666666663	164.66666666666666	7	7	159	101.85714285714286	7	0	7	3	61	136	0	69	69	69	7	7	90	87.0	7	0	0	3	58	131	0	4	4
ORTHOMCL7551	259.66666666666663	129.66666666666666	11	11	130	81.36363636363636	11	0	11	0	66	157	0	74	48	50	9	9	80	73.18181818181819	11	0	2	0	63	147	0	25	2
ORTHOMCL235	699.6666666666667	294.6666666666667	36	18	405	205.33333333333334	36	0	36	0	271	549	0	405	337	139	20	11	266	187.72222222222223	36	0	16	0	252	514	0	266	203
ORTHOMCL5996	234.66666666666669	77.66666666666667	14	14	157	124.78571428571429	14	0	4	1	124	247	0	37	35	32	13	13	125	117.57142857142857	14	0	1	1	119	237	0	9	7
ORTHOMCL12935	196.66666666666666	22.666666666666668	5	5	174	133.8	5	0	2	11	19	50	0	90	90	16	3	3	158	127.4	5	0	2	11	19	50	0	74	74
ORTHOMCL14305	361.6666666666667	21.666666666666668	5	4	340	176.2	3	1	4	6	39	125	0	209	209	202	5	4	138	134.2	3	1	0	6	39	125	0	8	8
ORTHOMCL2049	453.66666666666663	255.66666666666666	19	17	198	108.15789473684211	19	0	18	1	106	198	0	147	88	92	16	15	106	95.78947368421052	19	0	3	1	98	188	0	57	4
ORTHOMCL7874	431.66666666666663	190.66666666666666	10	9	241	123.0	10	0	9	0	105	237	0	237	152	92	6	6	149	111.7	10	0	4	0	103	234	0	146	61
ORTHOMCL2481	521.6666666666666	1.6666666666666667	19	14	520	413.1578947368421	19	0	3	2	416	681	0	202	92	91	17	13	429	405.5263157894737	19	0	2	1	414	676	0	114	4
ORTHOMCL17517	433.6666666666667	48.666666666666664	4	4	385	341.75	4	0	1	40	9	21	0	35	35	16	3	3	369	334.75	4	0	1	40	8	20	0	23	23
ORTHOMCL17279	273.6666666666667	125.66666666666667	4	4	148	72.75	4	0	4	5	8	23	0	111	111	77	2	2	71	51.5	4	0	2	5	8	23	0	35	35
ORTHOMCL11358	342.6666666666667	98.66666666666667	6	6	244	161.0	6	0	5	16	58	84	0	99	99	106	6	6	138	135.83333333333334	6	0	0	15	55	79	0	2	2
ORTHOMCL5313	845.6666666666666	656.6666666666666	15	14	189	48.266666666666666	15	0	15	0	49	92	0	189	186	134	10	10	55	37.06666666666667	12	1	5	0	47	84	0	55	52
ORTHOMCL3826	464.66666666666663	142.66666666666666	17	16	322	217.35294117647058	17	0	16	0	225	530	0	178	94	97	14	13	225	206.41176470588235	17	0	3	0	219	516	0	83	3
ORTHOMCL1707	1764.6666666666665	641.6666666666666	21	14	1123	340.3333333333333	19	1	20	0	427	1207	0	1123	1123	944	8	8	179	119.52380952380952	19	1	13	0	161	337	0	179	179
ORTHOMCL3982	1512.6666666666665	789.6666666666666	17	13	723	253.76470588235293	17	0	17	0	322	707	0	723	723	401	6	5	322	214.35294117647058	17	0	11	0	297	650	0	322	322
ORTHOMCL6281	141.66666666666666	35.666666666666664	13	13	106	88.92307692307692	13	0	2	0	86	185	0	62	9	8	11	11	98	87.46153846153847	13	0	2	0	85	183	0	55	2
ORTHOMCL1616	1405.6666666666665	925.6666666666666	21	16	480	123.04761904761905	19	1	21	0	134	270	0	480	410	355	15	12	125	94.38095238095238	18	1	6	0	120	241	0	125	61
ORTHOMCL13067	229.66666666666666	27.666666666666668	5	5	202	140.6	5	0	2	9	30	44	0	77	77	39	3	3	163	129.6	5	0	2	9	29	43	0	42	42
ORTHOMCL6055	316.6666666666667	73.66666666666667	14	14	243	164.14285714285714	14	0	13	2	165	239	0	156	85	67	11	11	176	156.78571428571428	14	0	3	1	163	236	0	90	21
ORTHOMCL13014	727.6666666666667	295.6666666666667	5	5	432	251.4	5	0	5	11	52	95	0	202	202	188	3	3	244	204.8	5	0	2	11	52	95	0	23	23
ORTHOMCL2088	1167.6666666666665	748.6666666666666	20	17	419	180.2	18	1	20	0	223	467	0	419	354	194	12	12	225	159.05	18	1	8	0	208	435	0	225	164
ORTHOMCL18954	156.66666666666666	54.666666666666664	4	4	102	77.75	4	0	3	11	10	18	0	33	33	29	4	4	73	70.0	4	0	0	11	10	18	0	4	4
ORTHOMCL5293	726.6666666666667	385.6666666666667	15	15	341	149.93333333333334	15	0	15	0	148	367	0	303	192	187	9	9	154	129.8	15	0	6	0	140	347	0	118	14
ORTHOMCL8502	270.66666666666663	155.66666666666666	9	8	115	71.11111111111111	9	0	8	0	48	116	0	57	57	46	7	7	69	59.55555555555556	9	0	2	0	42	105	0	16	16
